;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";58.14;317.23;5528.98;;0;59.38;10.58;0.05;106.04
"triceps_brachii_long_(right)";54.99;369.19;19046.88;;1;54.18;10.88;;105.85
;;;;;2;51.14;11.04;;105.6
;;;;;3;54.51;11.12;;105.34
;;;;;4;56.42;10.77;;105.08
;;;;;5;59.12;9.88;;104.81
;;;;;6;58.42;9.5;;104.55
;;;;;7;50.88;8.93;;104.25
;;;;;8;48.8;8.98;;103.9
;;;;;9;53.02;9.03;;103.6
;;;;;10;57.12;9.19;;103.39
;;;;;11;63.33;9.7;;103.24
;;;;;12;64.22;9.27;;103.06
;;;;;13;61.69;8.4;;102.82
;;;;;14;63.11;9.72;;102.57
;;;;;15;64.28;9.95;;102.32
;;;;;16;67.71;15.38;;102.05
;;;;;17;81.01;27.81;;101.78
;;;;;18;111.31;29.27;;101.48
;;;;;19;110.64;22.06;;101.1
;;;;;20;85.43;116.26;;100.7
;;;;;21;72.85;283.64;;100.32
;;;;;22;62.31;369.19;;99.97
;;;;;23;62.43;274.91;;99.65
;;;;;24;70.04;107.03;;99.36
;;;;;25;71.9;91.03;;99.05
;;;;;26;258.07;162.54;;98.76
;;;;;27;317.23;163.63;;98.48
;;;;;28;215.59;66.93;;98.18
;;;;;29;103.9;44.97;;97.87
;;;;;30;37.08;78.03;;97.57
;;;;;31;23.1;75.75;;97.35
;;;;;32;21.56;35.91;;97.16
;;;;;33;26.44;41.79;;96.92
;;;;;34;50.1;94.26;;96.61
;;;;;35;53.86;97.32;;96.27
;;;;;36;38.04;56.79;;95.96
;;;;;37;106.45;55.82;;95.69
;;;;;38;134.56;48.45;;95.41
;;;;;39;113.37;123.98;;95.1
;;;;;40;114.39;188.46;;94.75
;;;;;41;107.62;149.65;;94.41
