;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";90.41;243.88;5528.98;;0;36.1;8.56;0.05;90.76
"triceps_brachii_long_(right)";55.68;254.97;19046.88;;1;33.61;8.36;;90.45
;;;;;2;35.95;9.33;;90.2
;;;;;3;34.25;8.45;;90.03
;;;;;4;30.55;7.74;;89.91
;;;;;5;28.11;8.56;;89.86
;;;;;6;28.89;8.56;;89.84
;;;;;7;29.72;8.8;;89.84
;;;;;8;28.65;9.17;;89.83
;;;;;9;27.93;8.88;;89.84
;;;;;10;32.09;8.92;;89.88
;;;;;11;35.23;8.85;;89.9
;;;;;12;32.99;8.25;;89.86
;;;;;13;31.97;8.39;;89.78
;;;;;14;32.85;8.83;;89.78
;;;;;15;36.04;9.28;;89.88
;;;;;16;35.07;9.3;;89.99
;;;;;17;32;9.37;;90.04
;;;;;18;33.5;9.81;;90.04
;;;;;19;36.64;9.47;;90.07
;;;;;20;33.64;9.06;;90.09
;;;;;21;35.51;9.23;;90.08
;;;;;22;45.19;15.22;;90.06
;;;;;23;45.26;84.52;;90.06
;;;;;24;40.23;254.97;;90.06
;;;;;25;111.19;241.81;;90.03
;;;;;26;156.77;57.6;;90.01
;;;;;27;222.78;77.83;;89.99
;;;;;28;203.71;65.44;;90.07
;;;;;29;84.39;60.74;;90.28
;;;;;30;52.71;59.2;;90.5
;;;;;31;138.42;44.26;;90.54
;;;;;32;159.79;45.91;;90.38
;;;;;33;114.32;68.73;;90.2
;;;;;34;88.72;75.89;;90.12
;;;;;35;49.81;75.99;;90.08
;;;;;36;36.65;77.82;;90
;;;;;37;78.83;56.11;;89.9
;;;;;38;143.4;51.66;;89.88
;;;;;39;162.42;56.15;;89.95
;;;;;40;124.56;60.58;;89.98
;;;;;41;67.62;83.54;;89.98
;;;;;42;38.21;79.15;;90.03
