;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";102.68;325.64;5528.98;;0;51.63;5.64;0.05;83.14
"triceps_brachii_long_(right)";31.49;113.62;19046.88;;1;69.96;7.5;;83.39
;;;;;2;79.83;15.8;;83.26
;;;;;3;173.25;21.68;;82.72
;;;;;4;202.31;18.87;;81.98
;;;;;5;152.17;11.69;;81.22
;;;;;6;114.24;8.64;;80.96
;;;;;7;82.63;7.55;;81.27
;;;;;8;69.32;6.78;;81.58
;;;;;9;68.55;7.13;;81.72
;;;;;10;73.89;7.15;;81.8
;;;;;11;72.46;6.56;;81.94
;;;;;12;70.95;6.54;;82.46
;;;;;13;65.79;6.27;;84.35
;;;;;14;58.93;5.82;;87.98
;;;;;15;53.9;5.71;;92.41
;;;;;16;68.94;6.61;;96
;;;;;17;86.77;7.3;;96.07
;;;;;18;84.59;7.3;;89.91
;;;;;19;70.65;6.87;;79.49
;;;;;20;73.18;6.78;;70.29
;;;;;21;79.73;6.8;;67.08
;;;;;22;77.63;6.64;;70.32
;;;;;23;68.51;6.52;;76.74
;;;;;24;69.02;6.69;;83.94
;;;;;25;73.93;6.56;;89.58
;;;;;26;68.94;26.17;;92.1
;;;;;27;54.9;48.39;;92.52
;;;;;28;71.45;58.28;;92.17
;;;;;29;123.23;48.12;;91.53
;;;;;30;120.67;27.9;;91.04
;;;;;31;115.54;24.59;;90.8
;;;;;32;140.05;27.46;;90.71
;;;;;33;102.43;37.54;;90.68
;;;;;34;68.48;48.56;;90.62
;;;;;35;184.12;50.57;;90.57
;;;;;36;200.21;38.81;;90.54
;;;;;37;130.09;26.29;;90.42
;;;;;38;83.08;27.38;;90.2
;;;;;39;27.36;23.38;;89.99
;;;;;40;26.27;31.65;;89.83
;;;;;41;112.59;34.75;;89.64
;;;;;42;154.12;26.22;;89.43
;;;;;43;140.64;22.01;;89.23
;;;;;44;107.23;23.55;;89.02
;;;;;45;58.77;23.64;;88.88
;;;;;46;37.75;68.39;;88.91
;;;;;47;112.03;74.12;;88.97
;;;;;48;153.54;39.68;;88.75
;;;;;49;161.68;28.61;;88.37
;;;;;50;120.47;35.2;;88.1
;;;;;51;37.81;38.74;;88.02
;;;;;52;50.49;83.73;;88.11
;;;;;53;64.48;113.62;;88.28
;;;;;54;193.71;89.44;;88.42
;;;;;55;216.61;40.87;;88.48
;;;;;56;117.65;27.97;;88.57
;;;;;57;46.52;28.96;;88.75
;;;;;58;34.36;40.29;;88.99
;;;;;59;55.19;56.3;;89.17
;;;;;60;142.09;49.03;;89.25
;;;;;61;164.74;29.12;;89.32
;;;;;62;98.28;18.88;;89.42
;;;;;63;25.27;21.31;;89.45
;;;;;64;40.26;53.26;;89.41
;;;;;65;43.02;68.1;;89.53
;;;;;66;132.49;57.54;;89.79
;;;;;67;182.07;37.86;;89.92
;;;;;68;180.23;23.09;;89.87
;;;;;69;134.81;25.72;;89.72
;;;;;70;51.66;26.55;;89.5
;;;;;71;47.72;77.62;;89.22
;;;;;72;58.61;100.63;;88.93
;;;;;73;181.85;83.03;;88.63
;;;;;74;210.06;51.47;;88.13
;;;;;75;132.88;25.61;;87.42
;;;;;76;69.71;23.94;;86.93
;;;;;77;39.03;65.61;;86.88
;;;;;78;61.21;86.2;;86.9
;;;;;79;138.88;61.99;;86.64
;;;;;80;162.04;27.6;;86.26
;;;;;81;173.14;27.24;;85.87
;;;;;82;145.59;36.75;;85.54
;;;;;83;47.46;68.4;;85.49
;;;;;84;47.84;92.74;;85.74
;;;;;85;112.55;72.08;;86.1
;;;;;86;183.27;33.46;;86.38
;;;;;87;246.38;36.91;;86.55
;;;;;88;325.64;31.6;;86.76
;;;;;89;283.1;18.68;;87.11
;;;;;90;151.05;11.32;;87.55
;;;;;91;120.15;9.04;;88.01
;;;;;92;82.32;8.49;;88.42
;;;;;93;83.05;7.95;;88.75
;;;;;94;79.99;7.67;;89
;;;;;95;53.8;7.85;;89.18
;;;;;96;49.03;8.42;;89.32
;;;;;97;45.39;8.09;;89.32
;;;;;98;50.5;7.92;;89.11
;;;;;99;54.08;8;;88.79
;;;;;100;34.03;4.67;;88.54
;;;;;;101;;;88.46
;;;;;;102;;;88.49
;;;;;;103;;;88.54
;;;;;;104;;;88.55
;;;;;;105;;;88.59
;;;;;;106;;;88.69
;;;;;;107;;;88.81
;;;;;;108;;;88.96
;;;;;;109;;;89.04
;;;;;;110;;;89
;;;;;;111;;;88.97
;;;;;;112;;;89.04
;;;;;;113;;;89.1
;;;;;;114;;;89.04
;;;;;;115;;;88.88
;;;;;;116;;;88.7
;;;;;;117;;;88.54
;;;;;;118;;;88.44
;;;;;;119;;;88.39
;;;;;;120;;;88.43
;;;;;;121;;;88.5
;;;;;;122;;;88.52
;;;;;;123;;;88.5
;;;;;;124;;;88.49
;;;;;;125;;;88.43
;;;;;;126;;;88.3
;;;;;;127;;;88.17
;;;;;;128;;;88.1
;;;;;;129;;;88.04
;;;;;;130;;;87.99
;;;;;;131;;;87.96
;;;;;;132;;;87.95
;;;;;;133;;;88.03
;;;;;;134;;;88.15
;;;;;;135;;;88.21
;;;;;;136;;;88.17
;;;;;;137;;;88.18
;;;;;;138;;;88.38
;;;;;;139;;;88.71
;;;;;;140;;;87.65
;;;;;;141;;;80.42
;;;;;;142;;;65.56
;;;;;;143;;;47.25
;;;;;;144;;;27.08
;;;;;;145;;;3.68
;;;;;;146;;;-20.5
;;;;;;147;;;-39.09
;;;;;;148;;;-49.08
;;;;;;149;;;-51.08
;;;;;;150;;;-49.26
;;;;;;151;;;-45.54
;;;;;;152;;;-36.98
;;;;;;153;;;-24.69
;;;;;;154;;;-10.63
;;;;;;155;;;5.25
;;;;;;156;;;21.83
;;;;;;157;;;37.85
;;;;;;158;;;52.81
;;;;;;159;;;66.69
;;;;;;160;;;79.26
;;;;;;161;;;92.2
;;;;;;162;;;107.11
;;;;;;163;;;118.03
;;;;;;164;;;118.82
;;;;;;165;;;113.89
;;;;;;166;;;109.9
;;;;;;167;;;108.66
;;;;;;168;;;109.94
;;;;;;169;;;112.46
;;;;;;170;;;113.39
;;;;;;171;;;108.4
;;;;;;172;;;95.3
;;;;;;173;;;77.29
;;;;;;174;;;56.72
;;;;;;175;;;33.99
;;;;;;176;;;8.3
;;;;;;177;;;-21.23
;;;;;;178;;;-44.74
;;;;;;179;;;-53.36
;;;;;;180;;;-54.54
;;;;;;181;;;-54.54
;;;;;;182;;;-52
;;;;;;183;;;-46.99
;;;;;;184;;;-37.84
;;;;;;185;;;-23.56
;;;;;;186;;;-5.93
;;;;;;187;;;13.14
;;;;;;188;;;31.84
;;;;;;189;;;49.65
;;;;;;190;;;66.66
;;;;;;191;;;82.94
;;;;;;192;;;100.17
;;;;;;193;;;117.75
;;;;;;194;;;130.35
;;;;;;195;;;133.73
;;;;;;196;;;129.16
;;;;;;197;;;120.77
;;;;;;198;;;110.74
;;;;;;199;;;99.27
;;;;;;200;;;85.69
;;;;;;201;;;68.77
;;;;;;202;;;48.51
;;;;;;203;;;25.91
;;;;;;204;;;3.87
;;;;;;205;;;-16.1
;;;;;;206;;;-33.91
;;;;;;207;;;-46.81
;;;;;;208;;;-54.42
;;;;;;209;;;-59.11
;;;;;;210;;;-61.39
;;;;;;211;;;-61.75
;;;;;;212;;;-60.81
;;;;;;213;;;-56.32
;;;;;;214;;;-47.97
;;;;;;215;;;-37.7
;;;;;;216;;;-25.42
