;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_deltoideus_anterior_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_deltoideus_anterior_(right)_triceps_brachii_long_(right)
;;;;;;172;;;-42.25
;;;;;;173;;;-54.61
;;;;;;174;;;-66.1
;;;;;;175;;;-74.07
;;;;;;176;;;-77.34
;;;;;;177;;;-77.58
;;;;;;178;;;-75.53
;;;;;;179;;;-70.61
;;;;;;180;;;-63.17
;;;;;;181;;;-53.51
;;;;;;182;;;-41.04
;;;;;;183;;;-26.1
;;;;;;184;;;-9.63
;;;;;;185;;;7.39
;;;;;;186;;;24.43
;;;;;;187;;;40.03
;;;;;;188;;;52.64
;;;;;;189;;;62.1
;;;;;;190;;;68.03
;;;;;;191;;;70.57
;;;;;;192;;;70.08
;;;;;;193;;;67.02
;;;;;;194;;;62.34
;;;;;;195;;;55.42
;;;;;;196;;;44.53
;;;;;;197;;;30.23
;;;;;;198;;;12.71
;;;;;;199;;;-7.11
;;;;;;200;;;-26.31
;;;;;;201;;;-43.59
;;;;;;202;;;-58.21
;;;;;;203;;;-69.79
;;;;;;204;;;-76.7
;;;;;;205;;;-79.39
;;;;;;206;;;-78.87
;;;;;;207;;;-76.09
;;;;;;208;;;-72.69
;;;;;;209;;;-67.4
;;;;;;210;;;-59.92
;;;;;;211;;;-50.81
;;;;;;212;;;-39.57
;;;;;;213;;;-26.28
;;;;;;214;;;-11.91
;;;;;;215;;;2.76
;;;;;;216;;;17.41
;;;;;;217;;;31.74
;;;;;;218;;;44.91
;;;;;;219;;;55.98
;;;;;;220;;;64.6
;;;;;;221;;;71.98
;;;;;;222;;;78.6
;;;;;;223;;;82.93
;;;;;;224;;;83.48
;;;;;;225;;;80.21
;;;;;;226;;;73.84
;;;;;;227;;;63.97
;;;;;;228;;;50.78
;;;;;;229;;;35.44
;;;;;;230;;;17.83
;;;;;;231;;;-1.87
;;;;;;232;;;-22.97
;;;;;;233;;;-43.55
;;;;;;234;;;-58.56
;;;;;;235;;;-66.43
;;;;;;236;;;-69.6
;;;;;;237;;;-69.6
;;;;;;238;;;-67.02
;;;;;;239;;;-62.44
;;;;;;240;;;-55.24
;;;;;;241;;;-43.92
;;;;;;242;;;-28.86
;;;;;;243;;;-11.67
;;;;;;244;;;6.46
;;;;;;245;;;24
;;;;;;246;;;39.22
;;;;;;247;;;51.18
;;;;;;248;;;59.58
;;;;;;249;;;65.86
;;;;;;250;;;71.79
;;;;;;251;;;77
;;;;;;252;;;79.87
;;;;;;253;;;78.67
;;;;;;254;;;72.29
;;;;;;255;;;61.83
;;;;;;256;;;49.32
;;;;;;257;;;35.39
;;;;;;258;;;19.84
;;;;;;259;;;2.55
;;;;;;260;;;-15.84
;;;;;;261;;;-33.11
;;;;;;262;;;-47.57
;;;;;;263;;;-59.14
;;;;;;264;;;-67.72
;;;;;;265;;;-72.96
;;;;;;266;;;-75.26
;;;;;;267;;;-75.23
;;;;;;268;;;-72.82
;;;;;;269;;;-68.51
;;;;;;270;;;-63.28
;;;;;;271;;;-56.73
;;;;;;272;;;-47.21
;;;;;;273;;;-34.95
;;;;;;274;;;-21.12
;;;;;;275;;;-6.08
;;;;;;276;;;9.81
;;;;;;277;;;25.38
;;;;;;278;;;39.4
;;;;;;279;;;51.51
;;;;;;280;;;61.36
;;;;;;281;;;70.66
;;;;;;282;;;79.83
;;;;;;283;;;85.54
;;;;;;284;;;85.56
;;;;;;285;;;80.55
;;;;;;286;;;72.75
;;;;;;287;;;62.55
;;;;;;288;;;49.61
;;;;;;289;;;34.87
;;;;;;290;;;19.37
;;;;;;291;;;3.59
;;;;;;292;;;-13.46
;;;;;;293;;;-31.84
;;;;;;294;;;-48.03
;;;;;;295;;;-58.26
;;;;;;296;;;-64.47
;;;;;;297;;;-69.92
;;;;;;298;;;-73.46
;;;;;;299;;;-73.66
;;;;;;300;;;-70.7
;;;;;;301;;;-66.28
;;;;;;302;;;-60.79
;;;;;;303;;;-53.11
;;;;;;304;;;-43.48
;;;;;;305;;;-31.77
;;;;;;306;;;-17.91
;;;;;;307;;;-2.71
;;;;;;308;;;13.02
;;;;;;309;;;28.38
;;;;;;310;;;42.33
;;;;;;311;;;54.26
;;;;;;312;;;63.83
;;;;;;313;;;72.18
;;;;;;314;;;80.23
;;;;;;315;;;86.29
;;;;;;316;;;88.38
;;;;;;317;;;86.9
;;;;;;318;;;83.51
;;;;;;319;;;79.19
;;;;;;320;;;73.1
;;;;;;321;;;64.24
;;;;;;322;;;52.46
;;;;;;323;;;37.88
;;;;;;324;;;20.63
;;;;;;325;;;0.79
;;;;;;326;;;-19.72
;;;;;;327;;;-37.57
;;;;;;328;;;-50.09
;;;;;;329;;;-58.08
;;;;;;330;;;-63.38
;;;;;;331;;;-65.91
;;;;;;332;;;-66.1
;;;;;;333;;;-63.74
;;;;;;334;;;-58.67
;;;;;;335;;;-50.98
;;;;;;336;;;-39.86
;;;;;;337;;;-25.76
;;;;;;338;;;-10.19
;;;;;;339;;;5.59
;;;;;;340;;;21.08
;;;;;;341;;;35.89
;;;;;;342;;;49.22
;;;;;;343;;;60.3
;;;;;;344;;;68.98
;;;;;;345;;;76.22
;;;;;;346;;;82.4
;;;;;;347;;;86.6
;;;;;;348;;;86.98
;;;;;;349;;;81.54
;;;;;;350;;;70.89
;;;;;;351;;;56.27
;;;;;;352;;;39.03
;;;;;;353;;;21.23
;;;;;;354;;;3.88
;;;;;;355;;;-11.66
;;;;;;356;;;-24.11
;;;;;;357;;;-33.5
;;;;;;358;;;-40.75
;;;;;;359;;;-46
;;;;;;360;;;-49.02
;;;;;;361;;;-49.8
;;;;;;362;;;-48.49
;;;;;;363;;;-44.66
;;;;;;364;;;-37.36
;;;;;;365;;;-26.17
;;;;;;366;;;-11.73
;;;;;;367;;;4.89
;;;;;;368;;;22.44
;;;;;;369;;;39.61
;;;;;;370;;;54.86
;;;;;;371;;;67.13
;;;;;;372;;;76.83
;;;;;;373;;;85.32
;;;;;;374;;;92.67
;;;;;;375;;;96.51
;;;;;;376;;;95.28
;;;;;;377;;;89.82
;;;;;;378;;;81.52
;;;;;;379;;;70.59
;;;;;;380;;;56.82
;;;;;;381;;;41.23
;;;;;;382;;;25.14
;;;;;;383;;;8.12
;;;;;;384;;;-10.45
;;;;;;385;;;-28.41
;;;;;;386;;;-42.76
;;;;;;387;;;-53.12
;;;;;;388;;;-60.54
;;;;;;389;;;-65.15
;;;;;;390;;;-66.72
;;;;;;391;;;-65.47
;;;;;;392;;;-61.96
;;;;;;393;;;-56.8
;;;;;;394;;;-49.46
;;;;;;395;;;-39.22
;;;;;;396;;;-26.26
;;;;;;397;;;-11.29
;;;;;;398;;;4.52
;;;;;;399;;;20.38
;;;;;;400;;;36.03
;;;;;;401;;;50.15
;;;;;;402;;;61.85
;;;;;;403;;;71.43
;;;;;;404;;;79.15
;;;;;;405;;;84.92
;;;;;;406;;;89.13
;;;;;;407;;;91.88
;;;;;;408;;;92.19
;;;;;;409;;;90.36
;;;;;;410;;;87.4
;;;;;;411;;;83.32
;;;;;;412;;;76.84
;;;;;;413;;;66.8
;;;;;;414;;;52.9
;;;;;;415;;;35.61
;;;;;;416;;;15.71
;;;;;;417;;;-4.58
;;;;;;418;;;-22.57
;;;;;;419;;;-37.52
;;;;;;420;;;-49.31
;;;;;;421;;;-57.8
;;;;;;422;;;-62.29
;;;;;;423;;;-62.88
;;;;;;424;;;-60.84
;;;;;;425;;;-57.17
;;;;;;426;;;-51.52
;;;;;;427;;;-42.55
;;;;;;428;;;-29.52
;;;;;;429;;;-13.09
;;;;;;430;;;4.99
;;;;;;431;;;22.62
;;;;;;432;;;38.33
;;;;;;433;;;51.91
;;;;;;434;;;63.75
;;;;;;435;;;73.73
;;;;;;436;;;81.96
;;;;;;437;;;88.92
;;;;;;438;;;94.63
;;;;;;439;;;98.8
;;;;;;440;;;100.95
;;;;;;441;;;101.61
;;;;;;442;;;101.65
;;;;;;443;;;101.15
;;;;;;444;;;100.14
;;;;;;445;;;98.93
;;;;;;446;;;98.07
;;;;;;447;;;97.78
;;;;;;448;;;97.89
;;;;;;449;;;98.21
;;;;;;450;;;98.5
;;;;;;451;;;98.7
;;;;;;452;;;98.77
;;;;;;453;;;98.66
;;;;;;454;;;98.42
;;;;;;455;;;98.18
;;;;;;456;;;97.97
;;;;;;457;;;97.73
;;;;;;458;;;97.42
;;;;;;459;;;97.04
;;;;;;460;;;96.68
;;;;;;461;;;96.4
;;;;;;462;;;96.14
;;;;;;463;;;95.88
;;;;;;464;;;95.65
;;;;;;465;;;95.41
;;;;;;466;;;95.11
;;;;;;467;;;94.77
;;;;;;468;;;94.44
;;;;;;469;;;94.13
;;;;;;470;;;93.81
;;;;;;471;;;93.5
;;;;;;472;;;93.23
;;;;;;473;;;92.91
;;;;;;474;;;92.53
;;;;;;475;;;92.21
;;;;;;476;;;91.96
;;;;;;477;;;91.71
;;;;;;478;;;91.41
;;;;;;479;;;90.96
;;;;;;480;;;90.44
;;;;;;481;;;89.95
;;;;;;482;;;89.59
;;;;;;483;;;89.33
;;;;;;484;;;89.14
;;;;;;485;;;89.03
;;;;;;486;;;88.99
;;;;;;487;;;88.98
;;;;;;488;;;88.89
;;;;;;489;;;88.73
;;;;;;490;;;88.54
;;;;;;491;;;88.33
;;;;;;492;;;88.19
;;;;;;493;;;88.1
;;;;;;494;;;88.06
;;;;;;495;;;87.92
;;;;;;496;;;87.69
;;;;;;497;;;87.57
;;;;;;498;;;87.47
;;;;;;499;;;87.27
;;;;;;500;;;87.06
;;;;;;501;;;86.85
;;;;;;502;;;86.64
;;;;;;503;;;86.5
