;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";46.15;124.25;5528.98;;0;29.41;31.63;0.05;80.81
"triceps_brachii_long_(right)";51.14;277.38;19046.88;;1;30.39;31.74;;80.76
;;;;;2;30.24;32;;80.7
;;;;;3;28.86;31.82;;80.63
;;;;;4;28.86;31.53;;80.58
;;;;;5;30.07;31.73;;80.58
;;;;;6;31.31;31.23;;80.63
;;;;;7;30.01;31.25;;80.66
;;;;;8;28.84;31.42;;80.62
;;;;;9;28.65;31.06;;80.57
;;;;;10;28.15;30.41;;80.61
;;;;;11;28.53;29.65;;80.75
;;;;;12;32.09;29.73;;80.91
;;;;;13;31.36;29.47;;81.02
;;;;;14;30.11;31.43;;81.06
;;;;;15;31.69;33.42;;81.04
;;;;;16;30.51;32.81;;80.98
;;;;;17;29.94;32.1;;80.89
;;;;;18;32.11;32.19;;80.76
;;;;;19;32.75;32.32;;80.54
;;;;;20;32.07;46.62;;80.27
;;;;;21;49.4;70.34;;80.07
;;;;;22;60.77;209.04;;80.06
;;;;;23;59.38;277.38;;80.25
;;;;;24;62.5;210.88;;80.52
;;;;;25;88.71;95.37;;80.77
;;;;;26;87.08;42.13;;80.83
;;;;;27;63.97;38.2;;80.59
;;;;;28;56.34;38.87;;80.25
;;;;;29;35.16;30.22;;80.06
;;;;;30;28.73;29.49;;80.12
;;;;;31;27.89;35.29;;80.3
;;;;;32;26.42;40.34;;80.43
;;;;;33;44.5;85.85;;80.42
;;;;;34;53.27;163.34;;80.25
;;;;;35;44.2;182.21;;80.02
;;;;;36;53.09;121.56;;79.92
;;;;;37;77.58;49.56;;80.03
;;;;;38;82.05;30.32;;80.24
;;;;;39;61.47;29.57;;80.38
;;;;;40;43.99;28.83;;80.38
;;;;;41;39.23;25.98;;80.29
;;;;;42;29.51;26.16;;80.22
;;;;;43;33.33;26.52;;80.23
;;;;;44;36.93;47.11;;80.28
;;;;;45;38.63;121.88;;80.3
;;;;;46;44.61;184.12;;80.25
;;;;;47;48.02;161.88;;80.14
;;;;;48;95.98;82.48;;80.06
;;;;;49;124.25;54.46;;80.02
;;;;;50;102.83;51.44;;80.05
;;;;;51;65.02;36.65;;80.09
;;;;;52;35.19;11.37;;79.94
;;;;;53;48.05;14.71;;79.41
