;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";82.09;303.96;5528.98;;0;36.77;32.85;0.05;86.85
"triceps_brachii_long_(right)";52.94;129.1;19046.88;;1;39.94;25.17;;86.21
;;;;;2;42.37;26.61;;85.78
;;;;;3;41.99;27.48;;85.39
;;;;;4;39.36;25.09;;85.13
;;;;;5;37.89;24.48;;85.01
;;;;;6;36.24;23.15;;84.98
;;;;;7;24.85;19.42;;84.83
;;;;;8;34.09;22.4;;84.71
;;;;;9;60.46;29.36;;84.69
;;;;;10;91.67;40.73;;84.63
;;;;;11;131.53;74.19;;84.51
;;;;;12;148.92;89.3;;84.18
;;;;;13;105.59;62.12;;83.73
;;;;;14;42.45;20.4;;83.62
;;;;;15;41.73;64.33;;83.68
;;;;;16;51.83;67.66;;83.47
;;;;;17;124.03;46.19;;83.04
;;;;;18;206.86;105.87;;82.48
;;;;;19;181.07;106.76;;82.29
;;;;;20;56.67;45.02;;82.53
;;;;;21;34.7;42.24;;82.69
;;;;;22;37.31;59.28;;82.96
;;;;;23;64.25;58.28;;83.27
;;;;;24;258.28;69.04;;83.38
;;;;;25;303.96;84.68;;83.36
;;;;;26;172.22;61.94;;83.25
;;;;;27;24.6;17.71;;83.05
;;;;;28;23.06;31.15;;82.87
;;;;;29;42.5;37.94;;82.74
;;;;;30;131.39;56.61;;82.61
;;;;;31;209.81;110.65;;82.47
;;;;;32;175.17;103.5;;82.34
;;;;;33;58.07;42.38;;82.13
;;;;;34;56.29;39.26;;81.82
;;;;;35;57.9;33.67;;81.5
;;;;;36;109.86;45.62;;81.2
;;;;;37;176.93;96.96;;80.93
;;;;;38;164.75;99.92;;80.65
;;;;;39;81.8;50.88;;80.24
;;;;;40;19.09;51.95;;79.41
;;;;;41;36.6;60.17;;77.2
;;;;;42;96.87;69.95;;71.84
;;;;;43;154.83;129.1;;62.37
;;;;;44;134.96;120.6;;48.67
;;;;;45;52.08;47.57;;29.37
;;;;;46;23.59;49.94;;5.59
;;;;;47;24.51;50.3;;-16.91
;;;;;48;83.1;57.45;;-34.37
;;;;;49;136.27;72.29;;-47.54
;;;;;50;165.11;97.65;;-56.03
;;;;;51;124.79;84.93;;-58.69
;;;;;52;70.2;38.09;;-56.26
