;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";91.34;255.99;5528.98;;0;25;12.25;0.05;101.27
"triceps_brachii_long_(right)";48.38;170.96;19046.88;;1;23.78;7.03;;101.39
;;;;;2;28.68;7.42;;101.49
;;;;;3;30.7;19.02;;101.42
;;;;;4;27.7;24.22;;101.24
;;;;;5;30.2;16.41;;101.12
;;;;;6;32.16;6.41;;101.09
;;;;;7;32.18;6.43;;101.06
;;;;;8;33.1;6.1;;101.03
;;;;;9;34.06;6.85;;100.92
;;;;;10;37.68;6.74;;100.71
;;;;;11;51.33;10.08;;100.43
;;;;;12;47.76;60.02;;100.21
;;;;;13;81.19;72.11;;100.14
;;;;;14;118.48;46.42;;100.15
;;;;;15;113.21;29.58;;100.14
;;;;;16;110.3;36.21;;100.04
;;;;;17;91.34;44.74;;99.97
;;;;;18;74.96;75.07;;100.11
;;;;;19;102.09;99.66;;100.46
;;;;;20;113.11;86.16;;100.63
;;;;;21;113.55;48.72;;100.39
;;;;;22;153.92;45.91;;100.67
;;;;;23;138.88;65.76;;101.93
;;;;;24;59.89;64.54;;103.15
;;;;;25;71.54;65.42;;103.71
;;;;;26;104.39;57.63;;103.38
;;;;;27;110.28;32.41;;102.51
;;;;;28;138.26;37.78;;101.78
;;;;;29;123.88;73.73;;101.41
;;;;;30;42.06;88.76;;101.22
;;;;;31;52.8;95.91;;100.87
;;;;;32;123.01;80.34;;100.36
;;;;;33;133.16;34.29;;100.02
;;;;;34;209.26;41.42;;99.93
;;;;;35;202.76;50.6;;99.87
;;;;;36;42.73;59.32;;99.66
;;;;;37;54.91;88.28;;99.39
;;;;;38;140.63;85.44;;99.14
;;;;;39;143.86;47.15;;98.89
;;;;;40;165.95;38.99;;98.78
;;;;;41;175.13;44.96;;98.99
;;;;;42;86.41;57.19;;99.28
;;;;;43;36.61;91.23;;99.41
;;;;;44;56.95;170.96;;99.44
;;;;;45;87.78;156.96;;99.4
;;;;;46;108.44;47.13;;99.26
;;;;;47;174.39;46.95;;99.06
;;;;;48;157.16;61.28;;98.82
;;;;;49;36.45;65.97;;98.49
;;;;;50;31.55;61.14;;98.13
;;;;;51;61.69;50.13;;97.76
;;;;;52;78.64;30.45;;97.34
;;;;;53;92.99;23.76;;97.12
;;;;;54;85.04;75.74;;97.53
;;;;;55;44.56;97.68;;98.63
;;;;;56;37.21;70.14;;99.7
;;;;;57;80.46;50.07;;99.89
;;;;;58;82.19;48.35;;98.48
;;;;;59;122.4;38.14;;95.42
;;;;;60;121.35;71.79;;92.35
;;;;;61;44.01;86.1;;91.66
;;;;;62;65.35;101.36;;95.51
;;;;;63;89.88;89.02;;103.5
;;;;;64;110.68;39.62;;109.7
;;;;;65;153.13;41.64;;106.26
;;;;;66;138.67;50.42;;91.23
;;;;;67;67.19;69.65;;69.91
;;;;;68;31.83;93.63;;45.77
;;;;;69;36.14;89.45;;19.37
;;;;;70;67.45;104.59;;-4.24
;;;;;71;178.64;104.28;;-21.15
;;;;;72;255.99;100.14;;-31.82
;;;;;73;218.88;90.88;;-36.47
;;;;;74;124.05;28.4;;-34.89
;;;;;75;94.49;16.31;;-27.51
;;;;;76;85.27;16.19;;-15.94
;;;;;77;98.37;13.45;;-1.85
;;;;;78;185.65;14.29;;13.29
;;;;;79;178.98;10.13;;28.01
;;;;;80;112.6;8.01;;42.03
;;;;;81;123.56;9.73;;56.36
;;;;;82;99.32;10.28;;71.96
;;;;;83;73.43;8.41;;90.04
;;;;;84;68.19;7.14;;110.8
;;;;;85;65.51;6.96;;123.47
;;;;;86;62.27;6.63;;120.32
;;;;;87;64.63;6.1;;113.45
;;;;;88;62.95;6.3;;113.02
;;;;;89;59.52;7.25;;115.82
;;;;;90;57.24;8.19;;117.57
;;;;;91;50.14;7.87;;116.73
;;;;;92;48.65;5.54;;111.59
;;;;;;93;;;102.38
;;;;;;94;;;90.54
;;;;;;95;;;76.4
;;;;;;96;;;58.21
;;;;;;97;;;35.93
;;;;;;98;;;11.81
;;;;;;99;;;-11.5
;;;;;;100;;;-29.85
;;;;;;101;;;-39.29
;;;;;;102;;;-40.35
;;;;;;103;;;-37.53
;;;;;;104;;;-32.75
;;;;;;105;;;-25.94
;;;;;;106;;;-16.43
;;;;;;107;;;-3.04
;;;;;;108;;;13.3
;;;;;;109;;;30.51
;;;;;;110;;;47.37
;;;;;;111;;;65.21
;;;;;;112;;;85.74
;;;;;;113;;;105.38
;;;;;;114;;;113.86
;;;;;;115;;;111.13
;;;;;;116;;;109.29
;;;;;;117;;;110.85
;;;;;;118;;;112.54
;;;;;;119;;;113.21
;;;;;;120;;;111.1
;;;;;;121;;;105.32
;;;;;;122;;;95.7
;;;;;;123;;;82.21
;;;;;;124;;;66.64
;;;;;;125;;;51.68
;;;;;;126;;;36.46
