;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";99;306.64;5528.98;;0;71.25;12.67;0.05;67.46
"triceps_brachii_long_(right)";29.66;132.65;19046.88;;1;66.29;12.06;;67.41
;;;;;2;54.76;10.62;;67.39
;;;;;3;51.5;10.3;;67.4
;;;;;4;50.56;10.48;;67.41
;;;;;5;46.81;10.49;;67.4
;;;;;6;50.43;9.54;;67.43
;;;;;7;53.42;9.4;;67.53
;;;;;8;52.71;9.33;;67.55
;;;;;9;55.84;10.32;;67.46
;;;;;10;55.94;10.71;;67.4
;;;;;11;54.98;10.57;;67.45
;;;;;12;53.22;11.51;;67.57
;;;;;13;55.91;11.27;;67.61
;;;;;14;56.14;9.9;;67.55
;;;;;15;53.6;9.47;;67.49
;;;;;16;64.02;10.87;;67.53
;;;;;17;65.56;11.33;;67.62
;;;;;18;50.99;10.1;;67.65
;;;;;19;40.3;8.98;;67.57
;;;;;20;39.21;11.66;;67.47
;;;;;21;37.67;12.4;;67.46
;;;;;22;37.26;13.39;;67.54
;;;;;23;32.08;36.44;;67.62
;;;;;24;25.91;51.16;;67.65
;;;;;25;107.48;46.24;;67.67
;;;;;26;144.74;37.79;;67.68
;;;;;27;132.37;71.69;;67.68
;;;;;28;142.25;69.75;;67.67
;;;;;29;127.68;24.22;;67.66
;;;;;30;81.6;20.48;;67.66
;;;;;31;60.9;21.15;;67.7
;;;;;32;33.51;26.46;;67.75
;;;;;33;54.13;47.37;;67.81
;;;;;34;57.75;54.91;;67.82
;;;;;35;31.42;49.57;;67.78
;;;;;36;113.14;38.75;;67.7
;;;;;37;155.68;28.26;;67.64
;;;;;38;143.11;28.84;;67.62
;;;;;39;286.45;49.25;;67.6
;;;;;40;306.64;49.37;;67.55
;;;;;41;244.8;31.88;;67.51
;;;;;42;200.99;34.91;;67.5
;;;;;43;49.81;28.06;;67.51
;;;;;44;106.61;28.89;;67.52
;;;;;45;111.18;51.09;;67.53
;;;;;46;96.76;79.22;;67.51
;;;;;47;162.22;73.1;;67.49
;;;;;48;198.29;42.67;;67.48
;;;;;49;163.71;35.02;;67.48
;;;;;50;144.08;44.23;;67.48
;;;;;51;175.8;44.74;;67.48
;;;;;52;142.72;25.63;;67.45
;;;;;53;55.16;18.75;;67.4
;;;;;54;20.39;17.06;;67.42
;;;;;55;38.12;23.98;;67.47
;;;;;56;43.52;49.07;;67.47
;;;;;57;39.03;132.65;;67.38
;;;;;58;65.07;132.41;;67.28
;;;;;59;113.55;49.08;;67.25
;;;;;60;119.6;31.11;;67.28
;;;;;61;144.25;50.34;;67.33
;;;;;62;173.45;50.89;;67.36
;;;;;63;134.24;22.42;;67.38
;;;;;64;65.27;18.11;;67.38
;;;;;65;22.15;17.16;;67.36
;;;;;66;23.39;15.64;;67.34
;;;;;67;27.65;22.54;;67.32
;;;;;68;32.14;40.84;;67.35
;;;;;69;62.63;45.47;;67.44
;;;;;70;79.28;34.16;;67.52
;;;;;71;85.5;30.65;;67.54
;;;;;72;91.39;29.05;;67.53
;;;;;73;259.91;52.53;;67.56
;;;;;74;276.3;52.08;;67.66
;;;;;75;161.73;25.31;;67.78
;;;;;76;117.77;21.7;;67.87
;;;;;77;26.81;15.58;;67.89
;;;;;78;67.2;18.26;;67.88
;;;;;79;100.25;28.8;;67.84
;;;;;80;85.77;27.71;;67.69
;;;;;81;60.53;20.78;;67.25
;;;;;82;68.66;25.27;;66.32
;;;;;83;95.3;28.76;;64.92
;;;;;84;124.51;32.23;;63.11
;;;;;85;195.89;35.39;;60.62
;;;;;86;239.2;32.43;;57.4
;;;;;87;183.33;24.8;;54.08
;;;;;88;84.27;18.3;;51.55
;;;;;89;53.6;13.82;;50.21
;;;;;90;57.86;17.93;;49.73
;;;;;91;44.28;30.29;;49.59
;;;;;92;14.85;32.2;;49.55
;;;;;93;52.83;26.31;;49.58
;;;;;94;110.76;37.13;;49.85
;;;;;95;115.92;36.6;;50.32
;;;;;96;258.92;54.45;;50.86
;;;;;97;286.21;55.7;;51.43
;;;;;98;163.25;24.95;;52.07
;;;;;99;93.5;15.18;;52.72
;;;;;100;50.58;10.81;;53.33
;;;;;101;66.44;15.6;;53.86
;;;;;102;52.8;17.92;;54.26
;;;;;103;54.87;30.52;;54.55
;;;;;104;130.69;38.96;;54.81
;;;;;105;151.35;32.82;;55.07
;;;;;106;195.69;35.29;;55.27
;;;;;107;231.26;36.39;;55.41
;;;;;108;204.75;26.89;;55.57
;;;;;109;163.38;20.02;;55.83
