;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
;;;;;;158;;;68.05
;;;;;;159;;;66.37
;;;;;;160;;;63.21
;;;;;;161;;;58.54
;;;;;;162;;;52.01
;;;;;;163;;;44.08
;;;;;;164;;;35.81
;;;;;;165;;;28.43
;;;;;;166;;;22.19
;;;;;;167;;;15.83
;;;;;;168;;;8.09
;;;;;;169;;;-2
;;;;;;170;;;-15.96
;;;;;;171;;;-33.72
;;;;;;172;;;-50.83
;;;;;;173;;;-62.79
;;;;;;174;;;-69.32
;;;;;;175;;;-72.29
;;;;;;176;;;-73.28
;;;;;;177;;;-72.77
;;;;;;178;;;-70.9
;;;;;;179;;;-67.93
;;;;;;180;;;-64.39
;;;;;;181;;;-60.76
;;;;;;182;;;-57.29
;;;;;;183;;;-54.35
;;;;;;184;;;-52.71
;;;;;;185;;;-52.72
;;;;;;186;;;-53.05
;;;;;;187;;;-51.68
;;;;;;188;;;-48.17
;;;;;;189;;;-43.17
;;;;;;190;;;-36.88
;;;;;;191;;;-30.12
;;;;;;192;;;-22.12
;;;;;;193;;;-10.59
;;;;;;194;;;3.96
;;;;;;195;;;19.6
;;;;;;196;;;34.69
;;;;;;197;;;47.79
;;;;;;198;;;58.53
;;;;;;199;;;66.65
;;;;;;200;;;71.49
;;;;;;201;;;73.84
;;;;;;202;;;75.01
;;;;;;203;;;75.22
;;;;;;204;;;74.74
;;;;;;205;;;73.78
;;;;;;206;;;72.34
;;;;;;207;;;70.6
;;;;;;208;;;68.93
;;;;;;209;;;67.69
;;;;;;210;;;66.86
;;;;;;211;;;66.22
;;;;;;212;;;65.52
;;;;;;213;;;64.37
;;;;;;214;;;62
;;;;;;215;;;57.76
;;;;;;216;;;51.79
;;;;;;217;;;44.05
;;;;;;218;;;34.92
;;;;;;219;;;26.43
;;;;;;220;;;19.04
;;;;;;221;;;11.77
;;;;;;222;;;4.56
;;;;;;223;;;-2.62
;;;;;;224;;;-9.57
;;;;;;225;;;-16.07
;;;;;;226;;;-22.83
;;;;;;227;;;-31.41
;;;;;;228;;;-43.15
;;;;;;229;;;-57.22
;;;;;;230;;;-68.65
;;;;;;231;;;-74.08
;;;;;;232;;;-75.79
;;;;;;233;;;-76.05
;;;;;;234;;;-75.52
;;;;;;235;;;-74.76
;;;;;;236;;;-74.15
;;;;;;237;;;-73.84
;;;;;;238;;;-73.47
;;;;;;239;;;-72.56
;;;;;;240;;;-71.07
;;;;;;241;;;-68.56
;;;;;;242;;;-64.97
;;;;;;243;;;-60.05
;;;;;;244;;;-53.3
;;;;;;245;;;-45.07
;;;;;;246;;;-35.21
;;;;;;247;;;-23.38
;;;;;;248;;;-9.84
;;;;;;249;;;3.63
;;;;;;250;;;15.22
;;;;;;251;;;25.18
;;;;;;252;;;33.69
;;;;;;253;;;40.89
;;;;;;254;;;47.22
;;;;;;255;;;52.99
;;;;;;256;;;58.21
;;;;;;257;;;61.29
;;;;;;258;;;61.63
;;;;;;259;;;60.97
;;;;;;260;;;60.51
;;;;;;261;;;60.28
;;;;;;262;;;59.75
;;;;;;263;;;59.11
;;;;;;264;;;58.68
;;;;;;265;;;58.16
;;;;;;266;;;57.49
;;;;;;267;;;56.81
;;;;;;268;;;55.99
;;;;;;269;;;54.89
;;;;;;270;;;53.5
;;;;;;271;;;51.48
;;;;;;272;;;48.4
;;;;;;273;;;44.25
;;;;;;274;;;39.23
;;;;;;275;;;33.31
;;;;;;276;;;27.22
;;;;;;277;;;21.66
;;;;;;278;;;15.62
;;;;;;279;;;8.1
;;;;;;280;;;-1
;;;;;;281;;;-10.98
;;;;;;282;;;-20.29
;;;;;;283;;;-28.62
