;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";48.69;137.81;5528.98;;0;28.72;5.85;0.05;76.98
"triceps_brachii_long_(right)";52.75;231;19046.88;;1;26.11;6.18;;76.92
;;;;;2;26.68;7.58;;76.83
;;;;;3;26.21;7.34;;76.76
;;;;;4;28.07;6.05;;76.74
;;;;;5;26.12;5.48;;76.79
;;;;;6;22.48;5.94;;76.88
;;;;;7;25.23;6.17;;77.09
;;;;;8;26.35;6.59;;77.38
;;;;;9;25.26;6.8;;77.64
;;;;;10;27.59;6.87;;77.79
;;;;;11;27.5;7.72;;77.86
;;;;;12;25.23;8.06;;77.87
;;;;;13;29.11;8.27;;77.86
;;;;;14;27.42;24.81;;77.87
;;;;;15;20.79;47.4;;77.89
;;;;;16;20.84;55.13;;78.03
;;;;;17;25.35;47.68;;78.31
;;;;;18;123.88;49.31;;78.5
;;;;;19;137.81;61.31;;78.44
;;;;;20;88.32;50.75;;78.3
;;;;;21;68.85;27.75;;78.27
;;;;;22;35.48;44.88;;78.27
;;;;;23;24.98;71.56;;78.29
;;;;;24;28.37;68.91;;78.42
;;;;;25;49.02;44.15;;78.74
;;;;;26;63.86;30.55;;79.2
;;;;;27;51.41;33.37;;79.62
;;;;;28;26.19;53.48;;79.99
;;;;;29;32.98;51.28;;80.32
;;;;;30;32.62;34.34;;80.6
;;;;;31;18.36;51.97;;80.86
;;;;;32;21.14;78.66;;81.18
;;;;;33;47.91;66.37;;81.55
;;;;;34;64.53;53.64;;81.89
;;;;;35;60.02;55.09;;82.07
;;;;;36;74.1;29.66;;82.07
;;;;;37;76.88;21.22;;82.04
;;;;;38;46.93;39.47;;81.99
;;;;;39;33.64;100.92;;81.85
;;;;;40;42.34;124.94;;81.64
;;;;;41;98.97;87.72;;81.46
;;;;;42;128.46;36.38;;81.38
;;;;;43;130.78;47.89;;81.38
;;;;;44;119.04;46.45;;81.38
;;;;;45;76.02;37.73;;81.36
;;;;;46;34.99;67.92;;81.31
;;;;;47;28.13;113.9;;81.25
;;;;;48;31.5;118.64;;81.17
;;;;;49;29.84;76.59;;81.18
;;;;;50;60.26;45.16;;81.39
;;;;;51;69.76;96.04;;81.58
;;;;;52;51.42;92.69;;81.6
;;;;;53;60.82;31.76;;81.53
;;;;;54;61.22;38.86;;81.4
;;;;;55;43.73;81.95;;81.26
;;;;;56;37.01;110.84;;81.22
;;;;;57;27.26;119.05;;81.29
;;;;;58;27.14;91.99;;81.35
;;;;;59;55.11;34.53;;81.39
;;;;;60;62.41;52.91;;81.42
;;;;;61;43.4;48.06;;81.42
;;;;;62;28.39;40.4;;81.38
;;;;;63;19.08;63.8;;81.3
;;;;;64;25.83;153.91;;81.21
;;;;;65;41.93;231;;81.11
;;;;;66;47.21;183.85;;80.98
;;;;;67;74.2;47.49;;80.86
;;;;;68;100.32;69.74;;80.79
;;;;;69;133.97;77.86;;80.78
;;;;;70;121.75;47.15;;80.85
;;;;;71;50.84;33.05;;80.96
;;;;;72;19.87;56.49;;81.05
;;;;;73;24.95;88.66;;81.16
;;;;;74;26.99;84.85;;81.3
;;;;;75;80.57;57.07;;81.42
;;;;;76;110.63;84.66;;81.57
;;;;;77;86.53;79.39;;81.82
;;;;;78;40.97;44.62;;82.19
;;;;;79;30.9;39.1;;81.88
;;;;;80;28.49;42.44;;78.74
;;;;;81;26.73;77.36;;70.86
