;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";44.64;160.88;5528.98;;0;13.35;19.72;0.05;82.87
"triceps_brachii_long_(right)";22.21;82.38;19046.88;;1;24.31;14;;83.34
;;;;;2;36.43;15.33;;83.64
;;;;;3;30.94;13.45;;83.8
;;;;;4;16.25;8.5;;83.92
;;;;;5;12.64;8.09;;84.03
;;;;;6;12.35;8.55;;84.21
;;;;;7;12.32;7.75;;84.48
;;;;;8;11.07;6.89;;84.67
;;;;;9;9.16;20.94;;84.64
;;;;;10;27.69;23.48;;84.17
;;;;;11;35.46;15.68;;83.32
;;;;;12;25.89;19.23;;82.48
;;;;;13;58.64;30.37;;81.87
;;;;;14;91.46;44.88;;81.4
;;;;;15;90.81;43.63;;80.98
;;;;;16;69.3;28.9;;80.72
;;;;;17;45.72;19.63;;80.85
;;;;;18;27.63;17.29;;81.4
;;;;;19;20.52;15.74;;82.16
;;;;;20;20.05;12.45;;82.97
;;;;;21;30.04;32.97;;83.8
;;;;;22;40.28;79.08;;84.54
;;;;;23;65.05;82.38;;85.13
;;;;;24;67.86;44.4;;85.54
;;;;;25;50.77;28.6;;85.76
;;;;;26;53.54;28.89;;85.82
;;;;;27;44.8;23.36;;85.77
;;;;;28;22.23;10.71;;85.69
;;;;;29;19.73;11;;85.61
;;;;;30;25.08;12.5;;85.53
;;;;;31;22.31;12.18;;85.48
;;;;;32;16.11;13.46;;85.45
;;;;;33;59.09;24.19;;85.42
;;;;;34;130.69;32.35;;85.42
;;;;;35;138.25;30.51;;85.44
;;;;;36;97.34;27.38;;85.43
;;;;;37;75.03;28.21;;85.45
;;;;;38;52.61;22.52;;85.46
;;;;;39;53.03;13.33;;85.46
;;;;;40;48.32;15.38;;85.49
;;;;;41;29.79;15.34;;85.54
;;;;;42;27.05;12.54;;85.55
;;;;;43;27.65;13.49;;85.49
;;;;;44;19.79;11.54;;85.43
;;;;;45;33.19;17.96;;85.4
;;;;;46;76.65;34.39;;85.44
;;;;;47;84.48;51.64;;85.5
;;;;;48;61.54;49.59;;85.49
;;;;;49;46.83;29.15;;85.43
;;;;;50;28.11;14.37;;85.33
;;;;;51;15.86;31.44;;85.18
;;;;;52;22.3;32.52;;84.95
;;;;;53;26.73;29.38;;84.42
;;;;;54;33.36;45.4;;82.72
;;;;;55;52.59;46.43;;78.02
;;;;;56;91.24;44.11;;69.34
;;;;;57;106.85;40.38;;57.58
;;;;;58;87.38;29.53;;43.82
;;;;;59;52.55;19.66;;28.44
;;;;;60;17.37;10.31;;11.41
;;;;;61;19.12;11.53;;-7.19
;;;;;62;19.91;14.78;;-26.35
;;;;;63;17.9;15.21;;-44.09
;;;;;64;26.45;16.14;;-58.33
;;;;;65;30.49;18.47;;-68.04
;;;;;66;36.3;45.43;;-72.74
;;;;;67;30.92;45.31;;-74.2
;;;;;68;119.42;22.08;;-75.1
;;;;;69;160.88;31.31;;-75.06
;;;;;70;156.1;34.22;;-73.68
;;;;;71;120.37;29.67;;-71.36
;;;;;72;47.35;23.27;;-67.7
;;;;;73;27.04;16.71;;-62.57
;;;;;74;20.56;11.55;;-56.05
;;;;;75;14.75;8.55;;-47.98
;;;;;76;20.87;12.19;;-38.03
;;;;;77;27.37;14.05;;-26.23
;;;;;78;26.89;15.2;;-13.24
;;;;;79;18.72;14.93;;0.19
;;;;;80;14.65;16.85;;13.46
;;;;;81;34.57;21.91;;26.26
;;;;;82;59.38;28.83;;38.55
;;;;;83;73.47;34.43;;50.57
;;;;;84;67.48;29.83;;61.74
;;;;;85;45.66;17.88;;71.22
;;;;;86;23.72;11.59;;79.62
;;;;;87;18.4;12.02;;87.97
;;;;;88;32.8;18.32;;96.85
;;;;;89;32.35;18.48;;105.36
;;;;;90;13.01;11.43;;110.31
;;;;;91;90.77;25.41;;110.16
;;;;;92;111;37.69;;106.54
;;;;;93;81.14;34.31;;101.59
;;;;;94;62.82;25.11;;96.58
;;;;;95;43.74;21.04;;91.58
;;;;;96;26.91;17.48;;86.34
;;;;;97;18.49;16.44;;80.9
;;;;;98;12.51;17.12;;75.02
;;;;;99;26;15.12;;68.55
;;;;;100;32.68;13.08;;62.28
;;;;;101;51.41;60.54;;56.84
;;;;;102;61.16;62.47;;52.24
;;;;;103;78.73;32.1;;48.11
;;;;;104;111.36;34.13;;43.72
;;;;;105;92.84;24.06;;38.39
;;;;;106;70.64;13.69;;31.58
;;;;;107;78;12.88;;23.1
;;;;;108;52.73;15.46;;13.21
;;;;;109;30.74;16.51;;2.28
;;;;;110;32.72;16.29;;-9.36
;;;;;111;42.72;14.21;;-21.98
;;;;;112;32.93;9.56;;-35.53
;;;;;113;27.32;8.02;;-48.19
;;;;;114;57.89;20.43;;-57.86
;;;;;115;87.63;29.62;;-64.22
;;;;;116;83.52;27.61;;-69.14
;;;;;117;53.15;21.24;;-71.73
;;;;;118;36.96;15.86;;-69.73
;;;;;119;26.87;11.1;;-64.43
;;;;;120;16.12;8.82;;-57.56
;;;;;121;22.81;10.3;;-48.82
;;;;;122;31.58;12.54;;-38.05
;;;;;123;27.38;10.83;;-26.17
;;;;;124;16.71;8.97;;-13.84
;;;;;125;18.15;10.48;;-1.37
;;;;;126;16.78;10.47;;10.88
;;;;;127;15.72;9.05;;22.4
;;;;;128;14.05;7.46;;33.04
;;;;;129;9.74;8.34;;42.73
;;;;;130;10.95;7.96;;51.49
;;;;;131;11.81;5.65;;59.21
;;;;;132;7.94;5.58;;65.97
;;;;;;133;;;71.91
;;;;;;134;;;76.92
;;;;;;135;;;81.35
;;;;;;136;;;85.57
;;;;;;137;;;89.82
;;;;;;138;;;94.17
;;;;;;139;;;97.53
;;;;;;140;;;98.97
;;;;;;141;;;98.65
;;;;;;142;;;97.02
;;;;;;143;;;94.89
;;;;;;144;;;92.65
;;;;;;145;;;90.33
;;;;;;146;;;88.12
;;;;;;147;;;85.92
;;;;;;148;;;83.34
;;;;;;149;;;80.1
;;;;;;150;;;76.05
;;;;;;151;;;71.22
;;;;;;152;;;65.85
;;;;;;153;;;60.35
;;;;;;154;;;54.55
;;;;;;155;;;47.57
;;;;;;156;;;39.25
;;;;;;157;;;30.14
;;;;;;158;;;20.7
;;;;;;159;;;11.28
;;;;;;160;;;2.04
;;;;;;161;;;-6.84
;;;;;;162;;;-15.73
;;;;;;163;;;-25.34
;;;;;;164;;;-36.66
;;;;;;165;;;-49.26
;;;;;;166;;;-58.82
;;;;;;167;;;-61.92
;;;;;;168;;;-60.18
;;;;;;169;;;-56.69
;;;;;;170;;;-52.83
;;;;;;171;;;-49.25
;;;;;;172;;;-46.36
;;;;;;173;;;-44.12
;;;;;;174;;;-42.1
;;;;;;175;;;-39.79
;;;;;;176;;;-36.77
;;;;;;177;;;-32.87
;;;;;;178;;;-28.07
;;;;;;179;;;-22.59
;;;;;;180;;;-16.58
;;;;;;181;;;-9.95
;;;;;;182;;;-2.44
;;;;;;183;;;6.04
;;;;;;184;;;14.77
;;;;;;185;;;22.96
;;;;;;186;;;30.69
;;;;;;187;;;38.27
;;;;;;188;;;45.7
;;;;;;189;;;52.97
;;;;;;190;;;60.07
;;;;;;191;;;66.87
;;;;;;192;;;73.84
;;;;;;193;;;81.72
;;;;;;194;;;89.87
;;;;;;195;;;96.74
;;;;;;196;;;100.64
;;;;;;197;;;101.27
;;;;;;198;;;99.83
;;;;;;199;;;97.63
;;;;;;200;;;95.79
;;;;;;201;;;94.72
;;;;;;202;;;94.07
;;;;;;203;;;93.45
;;;;;;204;;;92.55
;;;;;;205;;;91.53
;;;;;;206;;;91.07
;;;;;;207;;;91.05
;;;;;;208;;;90.78
;;;;;;209;;;89.89
;;;;;;210;;;88.37
;;;;;;211;;;85.99
;;;;;;212;;;82.31
;;;;;;213;;;77.22
;;;;;;214;;;71.04
;;;;;;215;;;64.15
;;;;;;216;;;56.59
;;;;;;217;;;48.62
;;;;;;218;;;40.6
;;;;;;219;;;32.72
;;;;;;220;;;24.92
;;;;;;221;;;17.03
;;;;;;222;;;8.67
;;;;;;223;;;0.04
;;;;;;224;;;-8.03
;;;;;;225;;;-15.63
;;;;;;226;;;-23.35
;;;;;;227;;;-31.05
;;;;;;228;;;-38.51
;;;;;;229;;;-45.31
;;;;;;230;;;-50.25
;;;;;;231;;;-52.7
;;;;;;232;;;-52.99
;;;;;;233;;;-51.45
;;;;;;234;;;-47.98
;;;;;;235;;;-44.19
;;;;;;236;;;-41.7
;;;;;;237;;;-39.52
;;;;;;238;;;-36.25
;;;;;;239;;;-31.36
;;;;;;240;;;-24.75
;;;;;;241;;;-16.25
;;;;;;242;;;-6.48
;;;;;;243;;;3.94
;;;;;;244;;;14.4
;;;;;;245;;;24.48
;;;;;;246;;;35.07
;;;;;;247;;;46.63
;;;;;;248;;;58.51
;;;;;;249;;;69.8
;;;;;;250;;;80.07
;;;;;;251;;;88.68
;;;;;;252;;;94.62
;;;;;;253;;;97.94
;;;;;;254;;;99.42
;;;;;;255;;;99.58
;;;;;;256;;;98.81
;;;;;;257;;;97.76
;;;;;;258;;;97
;;;;;;259;;;96.63
;;;;;;260;;;96.42
;;;;;;261;;;95.98
;;;;;;262;;;95.09
;;;;;;263;;;93.64
;;;;;;264;;;91.42
;;;;;;265;;;88.31
;;;;;;266;;;84.33
;;;;;;267;;;79.34
;;;;;;268;;;72.67
;;;;;;269;;;63.72
;;;;;;270;;;52.14
;;;;;;271;;;37.74
;;;;;;272;;;20.43
;;;;;;273;;;0.46
;;;;;;274;;;-18.83
;;;;;;275;;;-32.36
;;;;;;276;;;-40.08
;;;;;;277;;;-44.93
;;;;;;278;;;-47.52
;;;;;;279;;;-47.97
;;;;;;280;;;-47.36
;;;;;;281;;;-46.81
;;;;;;282;;;-46.81
;;;;;;283;;;-46.95
;;;;;;284;;;-47.05
;;;;;;285;;;-47.29
;;;;;;286;;;-47.63
;;;;;;287;;;-47.6
;;;;;;288;;;-46.39
;;;;;;289;;;-43.1
;;;;;;290;;;-37.24
;;;;;;291;;;-29.02
;;;;;;292;;;-19.27
;;;;;;293;;;-8.54
;;;;;;294;;;2.94
;;;;;;295;;;14.5
;;;;;;296;;;25.4
;;;;;;297;;;35.23
;;;;;;298;;;43.95
;;;;;;299;;;51.75
;;;;;;300;;;59.17
;;;;;;301;;;66.78
;;;;;;302;;;74.69
;;;;;;303;;;82.37
;;;;;;304;;;89.92
;;;;;;305;;;97.78
;;;;;;306;;;105.04
;;;;;;307;;;110.49
;;;;;;308;;;113.65
;;;;;;309;;;114.25
;;;;;;310;;;112.5
;;;;;;311;;;109.58
;;;;;;312;;;106.48
;;;;;;313;;;103.56
;;;;;;314;;;100.87
;;;;;;315;;;98.28
;;;;;;316;;;95.63
;;;;;;317;;;93.4
;;;;;;318;;;92.11
;;;;;;319;;;91.2
;;;;;;320;;;89.96
;;;;;;321;;;88.52
;;;;;;322;;;87.33
;;;;;;323;;;85.94
;;;;;;324;;;83.42
;;;;;;325;;;79.42
;;;;;;326;;;73.74
;;;;;;327;;;66.34
;;;;;;328;;;58.05
;;;;;;329;;;50.37
;;;;;;330;;;43.39
;;;;;;331;;;36.51
;;;;;;332;;;29.61
;;;;;;333;;;22.31
;;;;;;334;;;14.63
;;;;;;335;;;7.2
;;;;;;336;;;0.47
;;;;;;337;;;-5.99
;;;;;;338;;;-12.59
;;;;;;339;;;-19.36
;;;;;;340;;;-26.12
;;;;;;341;;;-32.62
;;;;;;342;;;-38.16
;;;;;;343;;;-41.85
;;;;;;344;;;-43.83
;;;;;;345;;;-44.9
;;;;;;346;;;-45.48
;;;;;;347;;;-45.38
;;;;;;348;;;-44.57
;;;;;;349;;;-43.74
;;;;;;350;;;-42.77
;;;;;;351;;;-40.6
;;;;;;352;;;-36.92
;;;;;;353;;;-32.08
;;;;;;354;;;-26.96
;;;;;;355;;;-21.52
;;;;;;356;;;-15.13
;;;;;;357;;;-7.76
;;;;;;358;;;0.38
;;;;;;359;;;8.98
;;;;;;360;;;17.87
;;;;;;361;;;27.32
;;;;;;362;;;37.38
;;;;;;363;;;47.39
;;;;;;364;;;56.8
;;;;;;365;;;65.41
;;;;;;366;;;73.08
;;;;;;367;;;79.88
;;;;;;368;;;86.03
;;;;;;369;;;90.92
;;;;;;370;;;93.73
;;;;;;371;;;94.8
;;;;;;372;;;94.72
;;;;;;373;;;93.82
;;;;;;374;;;92.55
;;;;;;375;;;91.25
;;;;;;376;;;90.15
;;;;;;377;;;89.41
;;;;;;378;;;89.03
;;;;;;379;;;88.76
;;;;;;380;;;88.51
;;;;;;381;;;88.19
;;;;;;382;;;87.63
;;;;;;383;;;86.72
;;;;;;384;;;85.55
;;;;;;385;;;84.15
;;;;;;386;;;82.58
;;;;;;387;;;80.78
;;;;;;388;;;78.29
;;;;;;389;;;74.55
;;;;;;390;;;69.38
;;;;;;391;;;63.2
;;;;;;392;;;56.13
;;;;;;393;;;48.35
;;;;;;394;;;40.39
;;;;;;395;;;32.41
;;;;;;396;;;24.45
;;;;;;397;;;16.69
;;;;;;398;;;9.22
;;;;;;399;;;2.29
;;;;;;400;;;-4.13
;;;;;;401;;;-10.19
;;;;;;402;;;-15.9
;;;;;;403;;;-21.21
;;;;;;404;;;-26.25
;;;;;;405;;;-31.05
;;;;;;406;;;-34.96
;;;;;;407;;;-37.56
;;;;;;408;;;-39.25
;;;;;;409;;;-40.58
;;;;;;410;;;-41.52
;;;;;;411;;;-42.09
;;;;;;412;;;-42.7
;;;;;;413;;;-43.55
;;;;;;414;;;-44.37
;;;;;;415;;;-44.84
;;;;;;416;;;-44.79
;;;;;;417;;;-44.17
;;;;;;418;;;-42.46
;;;;;;419;;;-38.8
;;;;;;420;;;-32.88
;;;;;;421;;;-25.24
;;;;;;422;;;-16.71
;;;;;;423;;;-7.9
;;;;;;424;;;1.23
;;;;;;425;;;10.62
;;;;;;426;;;20.07
;;;;;;427;;;29.52
;;;;;;428;;;38.65
;;;;;;429;;;47.6
;;;;;;430;;;56.58
;;;;;;431;;;65.1
;;;;;;432;;;72.89
;;;;;;433;;;80.3
;;;;;;434;;;87.19
;;;;;;435;;;92.92
;;;;;;436;;;97.07
;;;;;;437;;;99.49
;;;;;;438;;;100.1
;;;;;;439;;;99.31
;;;;;;440;;;97.44
;;;;;;441;;;94.88
;;;;;;442;;;92.23
;;;;;;443;;;89.19
;;;;;;444;;;85.22
;;;;;;445;;;80.69
;;;;;;446;;;76.17
;;;;;;447;;;71.01
;;;;;;448;;;63.92
;;;;;;449;;;54.3
;;;;;;450;;;42.72
;;;;;;451;;;29.94
;;;;;;452;;;16.98
;;;;;;453;;;5.11
;;;;;;454;;;-5.19
;;;;;;455;;;-13.82
;;;;;;456;;;-21.69
;;;;;;457;;;-30.08
;;;;;;458;;;-38.41
;;;;;;459;;;-44.54
;;;;;;460;;;-47.05
;;;;;;461;;;-46.86
;;;;;;462;;;-45.53
;;;;;;463;;;-43.83
;;;;;;464;;;-42.09
;;;;;;465;;;-40.65
;;;;;;466;;;-39.64
;;;;;;467;;;-37.92
;;;;;;468;;;-34.06
;;;;;;469;;;-28.38
;;;;;;470;;;-22.12
;;;;;;471;;;-15.57
;;;;;;472;;;-8.24
;;;;;;473;;;0.76
;;;;;;474;;;11.54
;;;;;;475;;;23.4
;;;;;;476;;;35.48
;;;;;;477;;;46.85
;;;;;;478;;;57.51
;;;;;;479;;;67.41
;;;;;;480;;;75.96
;;;;;;481;;;83.57
;;;;;;482;;;90.81
;;;;;;483;;;97.52
;;;;;;484;;;103.8
;;;;;;485;;;109.14
;;;;;;486;;;112.42
;;;;;;487;;;113.23
;;;;;;488;;;112.03
;;;;;;489;;;109.59
;;;;;;490;;;106.8
;;;;;;491;;;104.32
;;;;;;492;;;102.58
;;;;;;493;;;101.52
;;;;;;494;;;101.01
;;;;;;495;;;100.97
;;;;;;496;;;101.09
;;;;;;497;;;101.2
;;;;;;498;;;101.08
;;;;;;499;;;100.64
;;;;;;500;;;99.89
;;;;;;501;;;98.69
;;;;;;502;;;96.87
;;;;;;503;;;94
;;;;;;504;;;89.96
;;;;;;505;;;84.93
;;;;;;506;;;78.75
;;;;;;507;;;70.93
;;;;;;508;;;61.19
;;;;;;509;;;49.5
;;;;;;510;;;36.21
;;;;;;511;;;22.14
;;;;;;512;;;7.95
;;;;;;513;;;-5.79
;;;;;;514;;;-18.63
;;;;;;515;;;-30.34
;;;;;;516;;;-40.29
;;;;;;517;;;-47.58
;;;;;;518;;;-51.83
;;;;;;519;;;-53.26
;;;;;;520;;;-52.72
;;;;;;521;;;-51.27
;;;;;;522;;;-49.3
;;;;;;523;;;-46.7
;;;;;;524;;;-43.66
;;;;;;525;;;-40.51
;;;;;;526;;;-37.02
;;;;;;527;;;-32.77
;;;;;;528;;;-27.61
;;;;;;529;;;-21.38
;;;;;;530;;;-14.1
;;;;;;531;;;-6.05
;;;;;;532;;;3.04
