;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";52.29;172.38;5528.98;;0;22.2;26.7;0.05;-148.87
"triceps_brachii_long_(right)";54.97;218.23;19046.88;;1;21.68;25.1;;-152.97
;;;;;2;21.15;21.75;;-157.97
;;;;;3;22.19;23.51;;-163.82
;;;;;4;22.49;23.48;;-170.03
;;;;;5;22.09;21.87;;-89.36
;;;;;6;20.13;20.63;;81.77
;;;;;7;20.79;22.11;;169.12
;;;;;8;20.58;22.94;;161.75
;;;;;9;19.58;22;;155.28
;;;;;10;20.17;18.43;;150.04
;;;;;11;20.93;18.04;;145.01
;;;;;12;19.96;21.13;;139.63
;;;;;13;20.18;21.32;;134.83
;;;;;14;21.51;20.16;;131.12
;;;;;15;20.59;19.56;;127.97
;;;;;16;19.94;21.89;;125.06
;;;;;17;20.19;22.31;;122.34
;;;;;18;21.46;19.02;;119.83
;;;;;19;21.25;19.07;;117.5
;;;;;20;19.76;20.4;;115.25
;;;;;21;17.02;19.74;;113.01
;;;;;22;20.88;82.41;;110.89
;;;;;23;20.02;83.69;;109.02
;;;;;24;16.16;48.12;;107.42
;;;;;25;84.15;80.15;;106.07
;;;;;26;102.16;90.98;;104.9
;;;;;27;148.43;83.36;;103.85
;;;;;28;158.42;72.01;;102.86
;;;;;29;92.5;58.41;;101.91
;;;;;30;52.96;38.86;;101.08
;;;;;31;33.32;26.82;;100.39
;;;;;32;29.51;32.81;;99.86
;;;;;33;28.67;29.05;;99.38
;;;;;34;28.26;45;;98.9
;;;;;35;56.94;75.14;;98.39
;;;;;36;79.62;77.32;;97.89
;;;;;37;113.45;67.31;;97.4
;;;;;38;139.81;74.41;;96.9
;;;;;39;120.22;91.93;;96.42
;;;;;40;86.53;86.98;;95.92
;;;;;41;84.62;46.36;;95.39
;;;;;42;87.51;20.59;;94.86
;;;;;43;79.57;27;;94.36
;;;;;44;56.39;30.01;;93.77
;;;;;45;35.95;36.87;;93.08
;;;;;46;34.25;47.18;;92.33
;;;;;47;63.66;64.11;;91.57
;;;;;48;85.94;79.91;;90.8
;;;;;49;72.75;68.36;;90.08
