;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";105.39;341;5528.98;;0;79.95;24.25;0.05;73.54
"triceps_brachii_long_(right)";55.61;117.7;19046.88;;1;74.59;23.51;;73.48
;;;;;2;76.97;24.17;;73.37
;;;;;3;78.04;24.39;;73.23
;;;;;4;80.21;23.69;;73.1
;;;;;5;74.06;22.99;;73.03
;;;;;6;80.46;22.32;;73.02
;;;;;7;85.75;22.8;;73.01
;;;;;8;80.9;23.25;;72.99
;;;;;9;78.31;22.06;;72.97
;;;;;10;76.25;22.86;;72.93
;;;;;11;68.54;22.93;;72.89
;;;;;12;80.46;25.64;;72.82
;;;;;13;94.83;29.52;;72.72
;;;;;14;77.21;34.37;;72.58
;;;;;15;55.41;83.94;;72.46
;;;;;16;54.02;103.19;;72.43
;;;;;17;49.74;73.72;;72.44
;;;;;18;80.73;45.22;;72.43
;;;;;19;165.16;43.47;;72.42
;;;;;20;175.84;52.44;;72.37
;;;;;21;108.24;61.76;;72.28
;;;;;22;72.97;59.67;;72.21
;;;;;23;52.68;63.01;;72.14
;;;;;24;17.32;79.29;;72.02
;;;;;25;46.29;71.79;;71.92
;;;;;26;75.69;47.29;;71.86
;;;;;27;139.31;66.86;;71.84
;;;;;28;151.96;65.29;;71.8
;;;;;29;92.95;32.63;;71.74
;;;;;30;45.02;69.08;;71.66
;;;;;31;30.88;88.09;;71.56
;;;;;32;18.61;68.95;;71.47
;;;;;33;43.75;43.71;;71.35
;;;;;34;78.03;34.77;;71.24
;;;;;35;171.88;70.57;;71.17
;;;;;36;219.65;79.31;;71.08
;;;;;37;159.04;50.28;;70.94
;;;;;38;59.24;26.41;;70.82
;;;;;39;41.36;74.52;;70.75
;;;;;40;31.65;105.22;;70.67
;;;;;41;62.11;84.05;;70.54
;;;;;42;106.04;53.14;;70.38
;;;;;43;137.55;60.21;;70.29
;;;;;44;197.85;73.68;;70.26
;;;;;45;214.41;74.32;;70.24
;;;;;46;140.62;51.59;;70.24
;;;;;47;49.64;49.17;;70.23
;;;;;48;32.26;109.49;;70.26
;;;;;49;50.1;112.21;;70.33
;;;;;50;120.62;62.59;;70.38
;;;;;51;165.38;63.15;;70.41
;;;;;52;177.14;63.49;;70.44
;;;;;53;147.25;49.37;;70.47
;;;;;54;82.4;29.23;;70.5
;;;;;55;51.12;55.49;;70.51
;;;;;56;35.46;102.47;;70.5
;;;;;57;66.03;117.7;;70.53
;;;;;58;151.26;84.08;;70.61
;;;;;59;205.64;59.34;;70.68
;;;;;60;176.64;60.78;;70.74
;;;;;61;98.59;39.87;;70.87
;;;;;62;52.92;21.98;;71.02
;;;;;63;31.7;45.97;;71.13
;;;;;64;67.19;82.37;;71.19
;;;;;65;122.46;80.64;;71.27
;;;;;66;323.57;78.63;;71.38
;;;;;67;341;88.86;;71.55
;;;;;68;172.64;63.34;;71.7
;;;;;69;108.06;35.39;;71.86
;;;;;70;87.02;42.17;;72.03
;;;;;71;64.62;84.15;;72.15
;;;;;72;53.11;83.15;;72.23
;;;;;73;114.54;46.72;;72.32
;;;;;74;197.08;76.04;;72.51
;;;;;75;200.56;85.44;;72.94
;;;;;76;136.73;57.11;;73.93
;;;;;77;87.42;36.3;;74.68
;;;;;78;35.81;39.75;;71.4
;;;;;79;31.97;37;;61.76
;;;;;80;78.9;47.35;;48.17
;;;;;81;127.09;59.46;;32.79
;;;;;82;169.31;62.51;;16.62
;;;;;83;168.6;61.9;;0.89
;;;;;84;125.91;50.21;;-14.43
;;;;;85;94.45;40.98;;-29.96
;;;;;86;69.88;52.07;;-40.72
;;;;;87;48.29;48.57;;-43.06
;;;;;88;74.2;37.94;;-42.34
;;;;;89;123.2;52.5;;-42.22
;;;;;90;195.66;78.56;;-43.43
;;;;;91;214.49;90.95;;-46.97
;;;;;92;174.33;77.89;;-49.89
;;;;;93;139.95;55.22;;-47.58
;;;;;94;115.27;38.22;;-39.22
;;;;;95;104.79;33.77;;-27.12
;;;;;96;101.59;33.53;;-12.63
;;;;;97;101.22;34.88;;4.36
;;;;;98;102.05;35.06;;22.46
;;;;;99;101.12;32.03;;39.23
;;;;;100;93.75;23.64;;53.73
;;;;;;101;;;66.25
;;;;;;102;;;78.32
;;;;;;103;;;90.56
;;;;;;104;;;101.63
;;;;;;105;;;108.26
;;;;;;106;;;107.79
;;;;;;107;;;103.24
;;;;;;108;;;99.16
;;;;;;109;;;96.71
;;;;;;110;;;95.12
;;;;;;111;;;92.75
;;;;;;112;;;87.69
;;;;;;113;;;79.7
;;;;;;114;;;69.79
;;;;;;115;;;58.23
;;;;;;116;;;45.43
;;;;;;117;;;31.99
;;;;;;118;;;18.08
;;;;;;119;;;3.6
;;;;;;120;;;-11.67
;;;;;;121;;;-28.87
;;;;;;122;;;-46.41
;;;;;;123;;;-59.14
;;;;;;124;;;-64.64
;;;;;;125;;;-65.38
;;;;;;126;;;-64.22
;;;;;;127;;;-62.18
;;;;;;128;;;-59.8
;;;;;;129;;;-57.79
;;;;;;130;;;-56.7
;;;;;;131;;;-54.9
