;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";45.35;142.99;5528.98;;0;16.98;12.87;0.05;58.41
"triceps_brachii_long_(right)";30.26;77.85;19046.88;;1;13.22;10.79;;58.37
;;;;;2;12.33;10.66;;58.33
;;;;;3;13.21;10.77;;58.3
;;;;;4;12.86;10.89;;58.31
;;;;;5;14.38;11.56;;58.32
;;;;;6;13.94;10.67;;58.35
;;;;;7;11.93;10.28;;58.4
;;;;;8;11.69;10.5;;58.47
;;;;;9;11.43;12.03;;58.53
;;;;;10;16.67;14.08;;58.59
;;;;;11;17.05;12.6;;58.65
;;;;;12;11.31;9.77;;58.7
;;;;;13;12.66;10.18;;58.67
;;;;;14;14.39;12.22;;58.66
;;;;;15;14.07;13.22;;58.74
;;;;;16;15.84;14.13;;58.86
;;;;;17;16.33;14.52;;58.97
;;;;;18;15.49;13.28;;59.06
;;;;;19;18.46;15.61;;59.15
;;;;;20;16.9;16.44;;59.25
;;;;;21;18.67;20.66;;59.34
;;;;;22;21.98;26.68;;59.37
;;;;;23;17.4;23.8;;59.36
;;;;;24;42.63;26.57;;59.38
;;;;;25;77.76;41.53;;59.4
;;;;;26;107.97;54.47;;59.41
;;;;;27;142.99;77.85;;59.4
;;;;;28;119.7;68.34;;59.4
;;;;;29;38.9;24.57;;59.43
;;;;;30;29.57;23.15;;59.45
;;;;;31;21.6;18.65;;59.43
;;;;;32;15.99;13.63;;59.41
;;;;;33;25.17;24.76;;59.39
;;;;;34;26.23;25.75;;59.37
;;;;;35;39.07;25.55;;59.37
;;;;;36;75.14;38.44;;59.37
;;;;;37;111.56;53.59;;59.34
;;;;;38;116.4;62.61;;59.28
;;;;;39;83.48;54.13;;59.2
;;;;;40;46.43;32.52;;59.13
;;;;;41;28.3;17.04;;59.11
;;;;;42;19.38;14.68;;59.15
;;;;;43;20.96;16.54;;59.23
;;;;;44;23.26;20.85;;59.28
;;;;;45;24.84;21.56;;59.32
;;;;;46;41.35;22.86;;59.35
;;;;;47;77.95;37.13;;59.41
;;;;;48;100.18;48.79;;59.47
;;;;;49;108.8;61.18;;59.49
;;;;;50;104.5;67.31;;59.46
;;;;;51;69.74;47.78;;59.36
;;;;;52;24.74;16.92;;59.17
;;;;;53;16.21;14.74;;58.94
;;;;;54;17.2;15.4;;58.64
;;;;;55;21.34;23.89;;58.26
;;;;;56;26.43;30.08;;57.87
;;;;;57;36.04;28.18;;57.55
;;;;;58;52.83;31.53;;57.24
;;;;;59;55.17;33.36;;56.91
;;;;;60;63.54;37.2;;56.66
;;;;;61;86.72;50.61;;56.46
;;;;;62;77.16;47.81;;56.29
;;;;;63;45.39;33.19;;56.22
;;;;;64;26.96;22.08;;56.22
;;;;;65;27.59;17.48;;56.24
;;;;;66;32.28;21.51;;56.23
;;;;;67;31.54;23.91;;56.24
;;;;;68;26.46;22.5;;56.35
;;;;;69;31.17;23.55;;56.51
;;;;;70;65.12;34.88;;56.68
;;;;;71;88.51;48.81;;56.79
;;;;;72;90.18;52.93;;56.86
;;;;;73;75.26;45.45;;56.98
;;;;;74;46.44;30.14;;57.19
;;;;;75;19.48;15.58;;57.45
;;;;;76;19.55;15.37;;57.72
;;;;;77;20.8;19.99;;58.02
;;;;;78;26.18;28.26;;58.35
;;;;;79;23.09;28.45;;58.65
;;;;;80;28.85;21.92;;58.8
;;;;;81;70.06;35.65;;58.82
;;;;;82;115.87;62.07;;58.75
;;;;;83;113.34;62.37;;58.59
;;;;;84;102.66;60.31;;58.27
;;;;;85;90.64;54.38;;57.66
;;;;;86;47.79;29.43;;56.71
;;;;;87;35.29;23.56;;55.6
;;;;;88;24.2;18.44;;54.66
;;;;;89;24.39;19.76;;53.99
;;;;;90;18.27;20.88;;53.5
;;;;;91;11.64;19.04;;53.11
;;;;;92;34.07;19.74;;52.75
;;;;;93;65.34;33.06;;52.45
;;;;;94;92.2;49.39;;52.23
;;;;;95;102.75;56.04;;52.02
;;;;;96;96.7;60.16;;51.83
;;;;;97;70.51;51.73;;51.76
;;;;;98;33.72;26.53;;51.86
;;;;;99;25.17;18.49;;52.1
;;;;;100;19.41;20.42;;52.47
;;;;;101;14.68;21.91;;53.08
;;;;;102;16.21;26.51;;54.21
;;;;;103;20.98;24.06;;55.95
;;;;;104;73.28;31.78;;57.99
;;;;;105;87.55;40.66;;59.69
;;;;;106;76.25;45.49;;60.15
;;;;;107;73.95;47.1;;58.65
;;;;;108;58.41;40.19;;54.9
;;;;;109;40.9;31.1;;48.7
;;;;;110;27.82;24.8;;39.6
;;;;;111;20.54;19.98;;27.99
;;;;;112;20.73;17.27;;14.91
;;;;;113;40.16;24.73;;-0.3
;;;;;114;45.48;27.94;;-14.8
;;;;;115;32.8;22.27;;-24.96
;;;;;116;37.88;19.83;;-31.05
;;;;;117;67.25;31.33;;-33.34
;;;;;118;79.93;41.66;;-32.64
;;;;;119;77.78;49.33;;-30.18
;;;;;120;61.22;42.16;;-26.92
;;;;;121;34.89;23.95;;-23.65
;;;;;122;28.23;17.74;;-20.77
;;;;;123;19.14;14.53;;-18.45
;;;;;124;16.99;16.81;;-16.79
;;;;;125;15.96;26.41;;-15.7
;;;;;126;12.29;24.51;;-14.64
;;;;;127;42.31;19.44;;-13.08
;;;;;128;63.52;26.38;;-11.21
