;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";69.82;203.73;5528.98;;0;56.42;22.33;0.05;70.9
"triceps_brachii_long_(right)";48.85;87.72;19046.88;;1;53.96;21.59;;70.92
;;;;;2;55.83;22.22;;70.92
;;;;;3;58.93;22.03;;70.87
;;;;;4;57.57;21.21;;70.79
;;;;;5;54.08;21.81;;70.73
;;;;;6;55.7;24.2;;70.71
;;;;;7;56.56;23.1;;70.71
;;;;;8;53.01;21.86;;70.67
;;;;;9;50.98;23.91;;70.59
;;;;;10;51.87;23.6;;70.53
;;;;;11;54.67;20.77;;70.48
;;;;;12;54.29;22.48;;70.42
;;;;;13;52.29;22.7;;70.38
;;;;;14;54.03;19.62;;70.36
;;;;;15;54.1;22.35;;70.4
;;;;;16;50.94;21.87;;70.43
;;;;;17;51.23;20.72;;70.41
;;;;;18;54.09;22.08;;70.4
;;;;;19;56.31;22.13;;70.38
;;;;;20;54.23;23.56;;70.33
;;;;;21;52.82;23.78;;70.27
;;;;;22;54.42;20.95;;70.27
;;;;;23;55.17;22.17;;70.3
;;;;;24;180.72;40.6;;70.29
;;;;;25;192.66;44.74;;70.24
;;;;;26;102.45;51.63;;70.17
;;;;;27;95.74;77.69;;70.13
;;;;;28;85.43;68.6;;70.12
;;;;;29;59.01;36.38;;70.13
;;;;;30;41.26;73.46;;70.14
;;;;;31;60.4;76.08;;70.14
;;;;;32;80.57;64.16;;70.1
;;;;;33;76.87;83.07;;70.05
;;;;;34;69.48;65.06;;70.04
;;;;;35;66.79;33.43;;70.06
;;;;;36;50.88;42.47;;70.11
;;;;;37;60.3;44.87;;70.16
;;;;;38;107;61.65;;70.21
;;;;;39;111;87.72;;70.26
;;;;;40;76.6;76.71;;70.27
;;;;;41;68.47;39.44;;70.28
;;;;;42;56.21;29.85;;70.29
;;;;;43;47.13;40.89;;70.29
;;;;;44;83.81;50.51;;70.25
;;;;;45;94.97;64.14;;70.19
;;;;;46;78.04;60.82;;70.12
;;;;;47;77.35;37.97;;70.08
;;;;;48;67.25;52.99;;70.09
;;;;;49;61.13;81.35;;70.17
;;;;;50;83.91;78.97;;70.26
;;;;;51;89.97;79.33;;70.34
;;;;;52;87.33;75.87;;70.38
;;;;;53;84.42;45.42;;70.36
;;;;;54;62.83;35.08;;70.3
;;;;;55;51.64;63.04;;70.24
;;;;;56;117.33;72.93;;70.18
;;;;;57;137.17;79.96;;70.14
;;;;;58;106.94;78.98;;70.15
;;;;;59;82.6;44.61;;70.21
;;;;;60;55.6;27.3;;70.26
;;;;;61;45.88;34.31;;70.26
;;;;;62;84.21;48.1;;70.24
;;;;;63;86.94;63.59;;70.27
;;;;;64;92.55;63.59;;70.34
;;;;;65;106.67;46.06;;70.4
;;;;;66;73.94;29.58;;70.41
;;;;;67;46.68;68;;70.41
;;;;;68;79.6;75.18;;70.45
;;;;;69;90.14;58.48;;70.52
;;;;;70;106;59.53;;70.56
;;;;;71;114.69;41.59;;70.52
;;;;;72;76.92;26.12;;70.41
;;;;;73;41.26;29.32;;70.31
;;;;;74;83.1;39.13;;70.22
;;;;;75;101.79;53.81;;70.12
;;;;;76;98.19;68.39;;70.1
;;;;;77;94.19;64.48;;70.17
;;;;;78;72.03;44.93;;70.22
;;;;;79;51.58;33.49;;70.18
;;;;;80;56.92;32.35;;70.14
;;;;;81;95.4;61.65;;70.12
;;;;;82;119.85;83.38;;70.12
;;;;;83;203.73;84.84;;70.14
;;;;;84;187.85;75.47;;70.18
;;;;;85;41.37;64.17;;70.24
;;;;;86;34.7;65.36;;70.27
;;;;;87;31.64;67.2;;70.24
;;;;;88;22.84;63.3;;70.2
;;;;;89;25.03;56.95;;70.15
;;;;;90;29.96;57;;70.09
;;;;;91;31.36;68.04;;70.02
;;;;;92;31.08;64.26;;69.98
;;;;;93;27.44;56.84;;69.98
;;;;;94;22.24;60.97;;70.01
;;;;;95;22.13;58.24;;70.07
;;;;;96;23.18;53.62;;70.15
;;;;;97;22.15;54.56;;70.24
;;;;;98;22.03;56.38;;70.31
;;;;;99;22.01;56.59;;70.34
;;;;;100;17.35;43.72;;70.33
;;;;;;101;;;70.3
;;;;;;102;;;70.26
;;;;;;103;;;70.19
;;;;;;104;;;70.16
;;;;;;105;;;70.17
;;;;;;106;;;70.17
;;;;;;107;;;70.13
;;;;;;108;;;70.09
;;;;;;109;;;70.06
;;;;;;110;;;70.06
;;;;;;111;;;70.04
;;;;;;112;;;70.02
;;;;;;113;;;70.04
;;;;;;114;;;70.09
;;;;;;115;;;70.14
;;;;;;116;;;70.18
;;;;;;117;;;70.18
;;;;;;118;;;70.15
;;;;;;119;;;70.19
;;;;;;120;;;70.36
;;;;;;121;;;70.56
;;;;;;122;;;70.74
;;;;;;123;;;70.84
;;;;;;124;;;69.9
;;;;;;125;;;64.06
;;;;;;126;;;48.95
;;;;;;127;;;27.41
;;;;;;128;;;5.11
;;;;;;129;;;-17.72
;;;;;;130;;;-38.87
;;;;;;131;;;-53.12
;;;;;;132;;;-59.49
;;;;;;133;;;-59.38
;;;;;;134;;;-53.77
;;;;;;135;;;-43.66
;;;;;;136;;;-31
;;;;;;137;;;-16.79
;;;;;;138;;;-0.75
;;;;;;139;;;16.43
;;;;;;140;;;32.92
;;;;;;141;;;47.15
;;;;;;142;;;59.36
;;;;;;143;;;71.83
;;;;;;144;;;84.07
;;;;;;145;;;89.24
;;;;;;146;;;83.52
;;;;;;147;;;71.63
;;;;;;148;;;58.26
;;;;;;149;;;43.83
;;;;;;150;;;28.8
;;;;;;151;;;14.03
;;;;;;152;;;0.03
;;;;;;153;;;-13.59
;;;;;;154;;;-27.49
;;;;;;155;;;-41.23
;;;;;;156;;;-53.98
;;;;;;157;;;-64.12
;;;;;;158;;;-69.71
;;;;;;159;;;-70.76
;;;;;;160;;;-68.69
;;;;;;161;;;-64.22
;;;;;;162;;;-57.42
;;;;;;163;;;-48.35
;;;;;;164;;;-37.03
;;;;;;165;;;-23.33
;;;;;;166;;;-7.6
;;;;;;167;;;8.97
;;;;;;168;;;24.86
;;;;;;169;;;39.35
;;;;;;170;;;51.84
;;;;;;171;;;62.01
;;;;;;172;;;71.32
;;;;;;173;;;80.51
;;;;;;174;;;87.24
;;;;;;175;;;88.29
;;;;;;176;;;82.81
;;;;;;177;;;73.61
;;;;;;178;;;62.77
;;;;;;179;;;49.92
;;;;;;180;;;35.72
;;;;;;181;;;21.34
;;;;;;182;;;7.23
;;;;;;183;;;-6.79
;;;;;;184;;;-20.29
;;;;;;185;;;-32.48
;;;;;;186;;;-43.68
;;;;;;187;;;-53.69
;;;;;;188;;;-61.23
;;;;;;189;;;-65.49
;;;;;;190;;;-66.33
;;;;;;191;;;-64.39
;;;;;;192;;;-60.01
;;;;;;193;;;-52.87
;;;;;;194;;;-43.04
;;;;;;195;;;-30.89
;;;;;;196;;;-16.89
;;;;;;197;;;-1.72
;;;;;;198;;;13.54
;;;;;;199;;;28.45
;;;;;;200;;;42.57
;;;;;;201;;;54.82
;;;;;;202;;;64.62
;;;;;;203;;;73.42
;;;;;;204;;;82.58
;;;;;;205;;;89.91
