;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";54.61;149.74;5528.98;;0;27.83;7.91;0.05;83.52
"triceps_brachii_long_(right)";29.88;99.7;19046.88;;1;27.23;7.85;;83.92
;;;;;2;30.17;9.39;;84.32
;;;;;3;50.15;98.04;;84.33
;;;;;4;58.63;99.7;;84.02
;;;;;5;61.67;24.22;;83.79
;;;;;6;57.76;17.39;;83.7
;;;;;7;36.21;16.11;;83.39
;;;;;8;26.51;13.49;;82.71
;;;;;9;24.55;8.26;;82.03
;;;;;10;71.88;75.73;;81.7
;;;;;11;71.12;76.27;;81.56
;;;;;12;23.78;12.38;;81.41
;;;;;13;29.12;8.86;;81.38
;;;;;14;94.88;10.41;;81.45
;;;;;15;103.37;10.3;;81.48
;;;;;16;59.98;9.48;;81.55
;;;;;17;47.11;8.66;;81.79
;;;;;18;39.52;8.43;;82.01
;;;;;19;35.36;8.02;;82.08
;;;;;20;32.35;7.69;;82.36
;;;;;21;31.75;8.12;;83.3
;;;;;22;32.71;7.48;;84.87
;;;;;23;32.23;6.76;;86.88
;;;;;24;31.3;7.17;;89.29
;;;;;25;32.05;7.58;;91.29
;;;;;26;30.69;8.34;;91.57
;;;;;27;28.55;7.87;;90.17
;;;;;28;28.26;7.38;;88.25
;;;;;29;25.22;7.64;;86.59
;;;;;30;25.94;7.14;;84.92
;;;;;31;27.46;7.54;;83.35
;;;;;32;24.4;8.14;;82.29
;;;;;33;24.57;7.86;;81.53
;;;;;34;24.47;7.46;;80.66
;;;;;35;26.91;7.28;;79.89
;;;;;36;27.38;6.61;;79.61
;;;;;37;28.1;6.72;;79.42
;;;;;38;29.37;7.24;;78.96
;;;;;39;26.41;7.14;;78.49
;;;;;40;26.07;6.95;;78.21
;;;;;41;27.22;7.2;;77.9
;;;;;42;27.17;7.56;;77.18
;;;;;43;26.84;11.83;;76.29
;;;;;44;38.22;57.98;;75.7
;;;;;45;43.59;77.53;;75.09
;;;;;46;41.97;66.91;;73.95
;;;;;47;90;55.06;;73.04
;;;;;48;101.26;41.45;;73.22
;;;;;49;85.51;22.5;;74.08
;;;;;50;66.98;47.75;;74.86
;;;;;51;66.98;94.78;;75.37
;;;;;52;69.49;90.96;;75.95
;;;;;53;75.53;53.58;;76.61
;;;;;54;123.37;41.74;;76.89
;;;;;55;104.41;23.03;;76.87
;;;;;56;38.64;17.83;;76.94
;;;;;57;42.17;54.78;;77.31
;;;;;58;40.99;63.96;;77.89
;;;;;59;74.47;54.26;;78.37
;;;;;60;99.25;49.75;;78.67
;;;;;61;145.31;29.54;;78.78
;;;;;62;139.48;18.94;;78.5
;;;;;63;70.1;60.88;;77.94
;;;;;64;70.1;86.32;;77.53
;;;;;65;86.66;79.3;;77.34
;;;;;66;111.22;53.56;;77.29
;;;;;67;104.63;26.78;;77.22
;;;;;68;53.41;21.21;;77.19
;;;;;69;62.37;49.23;;77.26
;;;;;70;82.46;59.59;;77.27
;;;;;71;81.04;47.49;;77.11
;;;;;72;79.89;39.29;;77.02
;;;;;73;61.99;29.64;;77.13
;;;;;74;45.65;45.45;;77.3
;;;;;75;67.8;48.75;;77.44
;;;;;76;62.87;35.13;;77.22
;;;;;77;104.56;40.91;;76.38
;;;;;78;149.74;32.64;;75.4
;;;;;79;128.29;15.6;;74.88
;;;;;80;68.21;16.39;;74.84
;;;;;81;42.09;60.35;;74.92
;;;;;82;55.24;81.73;;74.92
;;;;;83;55.6;63.02;;75
;;;;;84;73.57;36.74;;75.21
;;;;;85;80.2;27.48;;75.36
;;;;;86;54.3;15.26;;75.35
;;;;;87;30.67;23.59;;75.3
;;;;;88;44;59.16;;75.26
;;;;;89;46.8;68.4;;75.11
;;;;;90;78.22;55.67;;74.87
;;;;;91;130.35;44.18;;74.68
;;;;;92;111.8;24.63;;74.6
;;;;;93;40.72;21.65;;74.48
;;;;;94;77.54;79.98;;74.32
;;;;;95;78.45;83.93;;74.22
;;;;;96;74.02;37.7;;74.11
;;;;;97;107.91;31.7;;73.92
;;;;;98;95.29;26.25;;73.62
;;;;;99;62.57;23.72;;73.28
