;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";99.52;270.21;5528.98;;0;52.99;20.56;0.05;67.21
"triceps_brachii_long_(right)";66.16;347.12;19046.88;;1;49.15;17.83;;67.26
;;;;;2;43.28;17.59;;67.21
;;;;;3;42.88;17.27;;67.08
;;;;;4;38.49;15.9;;66.91
;;;;;5;38.46;17.04;;66.8
;;;;;6;44.93;17.76;;66.79
;;;;;7;46.12;19.03;;66.76
;;;;;8;40.75;18.77;;66.69
;;;;;9;38.92;16.34;;66.73
;;;;;10;35.66;29.14;;66.83
;;;;;11;61.25;58.87;;66.85
;;;;;12;91;81.15;;66.76
;;;;;13;126.52;72.67;;66.69
;;;;;14;122.68;79.95;;66.74
;;;;;15;160.72;82.19;;66.9
;;;;;16;151.02;46.66;;67.03
;;;;;17;46.81;33.9;;67.1
;;;;;18;50.4;46.72;;67.11
;;;;;19;86.28;43.51;;67.08
;;;;;20;101.95;35.76;;67.01
;;;;;21;136.06;59.57;;66.95
;;;;;22;126.43;59.41;;66.93
;;;;;23;56.29;35.09;;66.94
;;;;;24;74.62;42.18;;66.93
;;;;;25;88.33;46.23;;66.9
;;;;;26;90.16;46.27;;66.86
;;;;;27;168.15;69.05;;66.8
;;;;;28;157.6;65.74;;66.74
;;;;;29;39.04;39.93;;66.68
;;;;;30;26.51;34.12;;66.63
;;;;;31;84.24;31.87;;66.65
;;;;;32;103.93;42.49;;66.69
;;;;;33;95.35;71.54;;66.75
;;;;;34;119.18;69.65;;66.81
;;;;;35;99.87;43.51;;66.85
;;;;;36;41.6;40.59;;66.86
;;;;;37;69.06;45.14;;66.88
;;;;;38;125.47;53.66;;67
;;;;;39;140.66;78.76;;67.18
;;;;;40;138.8;98.19;;67.29
;;;;;41;110.24;87.68;;67.29
;;;;;42;52.44;88.73;;67.23
;;;;;43;65.36;347.12;;67.16
;;;;;44;108.44;346.03;;67
;;;;;45;134.21;95.77;;66.79
;;;;;46;210.61;87.57;;66.62
;;;;;47;192;74.78;;66.53
;;;;;48;40.57;59.79;;66.51
;;;;;49;42.69;89.5;;66.52
;;;;;50;95.6;93.65;;66.6
;;;;;51;136.33;56.78;;66.71
;;;;;52;200.08;128.19;;66.85
;;;;;53;180.18;129.22;;67.02
;;;;;54;66.44;68.59;;67.18
;;;;;55;45.99;104.95;;67.35
;;;;;56;63.59;115.62;;67.46
;;;;;57;100.27;108.51;;67.05
;;;;;58;168.54;107.82;;65.26
;;;;;59;192.18;80.27;;59.52
;;;;;60;134.41;52.71;;46.4
;;;;;61;53.41;51.95;;25.28
;;;;;62;52.91;81.54;;-2.58
;;;;;63;107.22;80.39;;-33.56
;;;;;64;145.56;61.37;;-58.08
;;;;;65;147.12;82.08;;-70.14
;;;;;66;103.55;87.78;;-73.55
;;;;;67;42.25;84.99;;-72.32
;;;;;68;64.07;169.99;;-67.17
;;;;;69;127.91;178.93;;-58.08
;;;;;70;140.86;87.46;;-44.37
;;;;;71;231.18;75.53;;-25.85
;;;;;72;270.21;82.01;;-4.78
;;;;;73;199.16;53.6;;14.95
;;;;;74;148.65;37.3;;31.25
;;;;;75;128.28;28.24;;44.47
;;;;;76;119.27;31.11;;55.55
;;;;;77;113.68;29.2;;65.64
;;;;;78;99.99;24.5;;74.86
;;;;;79;75;20.18;;80.76
;;;;;80;65.84;18.14;;81.44
;;;;;81;63.8;19.76;;78.47
;;;;;82;59.19;20.56;;75.57
;;;;;83;55.53;18.95;;74.79
;;;;;84;52.87;13.51;;74.82
;;;;;;85;;;73.99
;;;;;;86;;;71
;;;;;;87;;;65.11
;;;;;;88;;;56.33
;;;;;;89;;;45.01
;;;;;;90;;;30.32
;;;;;;91;;;11.64
;;;;;;92;;;-8.83
;;;;;;93;;;-28.85
;;;;;;94;;;-46.04
;;;;;;95;;;-57.46
;;;;;;96;;;-62.41
;;;;;;97;;;-63.62
;;;;;;98;;;-62.46
;;;;;;99;;;-59.01
;;;;;;100;;;-53.48
;;;;;;101;;;-45.33
;;;;;;102;;;-32.85
;;;;;;103;;;-15.38
;;;;;;104;;;5.59
;;;;;;105;;;27.26
;;;;;;106;;;46.34
;;;;;;107;;;61.53
;;;;;;108;;;73.11
;;;;;;109;;;81.5
;;;;;;110;;;86.86
;;;;;;111;;;88.74
;;;;;;112;;;86.34
;;;;;;113;;;82.44
;;;;;;114;;;80.12
;;;;;;115;;;78.71
;;;;;;116;;;76.91
;;;;;;117;;;73.72
;;;;;;118;;;68.26
;;;;;;119;;;59.34
;;;;;;120;;;47.22
;;;;;;121;;;32.96
;;;;;;122;;;15.81
;;;;;;123;;;-5.22
;;;;;;124;;;-28.51
;;;;;;125;;;-48.24
;;;;;;126;;;-61.01
;;;;;;127;;;-67.79
;;;;;;128;;;-68.99
;;;;;;129;;;-65.97
;;;;;;130;;;-60.48
;;;;;;131;;;-52.77
;;;;;;132;;;-42.16
;;;;;;133;;;-27.79
;;;;;;134;;;-8.8
;;;;;;135;;;13.33
;;;;;;136;;;34.48
;;;;;;137;;;51.77
;;;;;;138;;;66.04
;;;;;;139;;;78.4
;;;;;;140;;;88.15
;;;;;;141;;;93.81
;;;;;;142;;;94.17
;;;;;;143;;;90.51
