;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";53.83;143.86;5528.98;;0;30.12;4.22;0.05;53.45
"triceps_brachii_long_(right)";42.66;166.82;19046.88;;1;30.73;4.32;;53.31
;;;;;2;31.46;4.53;;53.22
;;;;;3;32.35;4.58;;53.22
;;;;;4;29.34;4.51;;53.27
;;;;;5;30.42;4.2;;53.34
;;;;;6;33.48;4.16;;53.38
;;;;;7;31.03;4.18;;53.36
;;;;;8;28.98;3.91;;53.32
;;;;;9;31.38;4.08;;53.33
;;;;;10;32.94;4.4;;53.39
;;;;;11;31.94;4.17;;53.41
;;;;;12;29.9;3.85;;53.34
;;;;;13;29.55;4.32;;53.25
;;;;;14;32.56;4.64;;53.25
;;;;;15;33.27;4.24;;53.34
;;;;;16;31.45;4;;53.41
;;;;;17;33.9;4.54;;53.36
;;;;;18;35.78;5.21;;53.25
;;;;;19;36.32;6.06;;53.18
;;;;;20;33.85;6.6;;53.19
;;;;;21;25.27;83.96;;53.21
;;;;;22;28.88;102.57;;53.24
;;;;;23;51.91;144.45;;53.3
;;;;;24;50.09;152.9;;53.34
;;;;;25;89.07;85.91;;53.3
;;;;;26;121.14;40.2;;53.23
;;;;;27;100.7;31.7;;53.19
;;;;;28;103.76;36.18;;53.22
;;;;;29;108.79;26.98;;53.28
;;;;;30;76.61;13.96;;53.29
;;;;;31;47.03;11.9;;53.25
;;;;;32;24.5;14.04;;53.2
;;;;;33;22.82;39.23;;53.17
;;;;;34;27.64;110.84;;53.21
;;;;;35;31.18;159;;53.27
;;;;;36;27.85;132.31;;53.28
;;;;;37;79.11;76.9;;53.22
;;;;;38;113.51;61.86;;53.13
;;;;;39;125.84;29.99;;53.08
;;;;;40;141.78;34.19;;53.09
;;;;;41;119.97;27.56;;53.15
;;;;;42;68.74;12.46;;53.18
;;;;;43;42.88;9.99;;53.16
;;;;;44;28.32;14.02;;53.1
;;;;;45;23.34;67.66;;53.02
;;;;;46;29.92;108.28;;52.95
;;;;;47;28.89;102;;52.94
;;;;;48;32.59;56.85;;52.97
;;;;;49;100.85;37.4;;52.99
;;;;;50;143.86;40.46;;52.97
;;;;;51;124.51;30.3;;52.9
