;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";84.6;240.7;5528.98;;0;38.49;9.73;0.05;70.13
"triceps_brachii_long_(right)";58.83;159.32;19046.88;;1;37.5;9.98;;69.92
;;;;;2;40.11;10.57;;69.56
;;;;;3;49.59;11.01;;69.23
;;;;;4;51.79;10.99;;69.11
;;;;;5;49.29;11.27;;69.16
;;;;;6;47.04;10.98;;69.23
;;;;;7;49.32;11.95;;69.29
;;;;;8;45.82;13.46;;69.38
;;;;;9;41.2;13.56;;69.49
;;;;;10;42.9;11.82;;69.58
;;;;;11;42.97;9.46;;69.59
;;;;;12;44.78;9.7;;69.53
;;;;;13;45.95;10.26;;69.45
;;;;;14;44.9;11.62;;69.41
;;;;;15;43;12.36;;69.63
;;;;;16;45.78;10.67;;70.07
;;;;;17;44.7;11.48;;70.45
;;;;;18;51.53;14.02;;70.61
;;;;;19;60.65;20.18;;70.59
;;;;;20;64.11;19.49;;70.55
;;;;;21;59.55;23.28;;70.58
;;;;;22;81.6;137.92;;70.64
;;;;;23;79.57;158.87;;70.62
;;;;;24;44.37;132.47;;70.5
;;;;;25;70.81;114.75;;70.33
;;;;;26;110.6;73.45;;70.15
;;;;;27;107.13;68.33;;70.09
;;;;;28;97.95;52.43;;70.18
;;;;;29;99.25;39.95;;70.27
;;;;;30;73.18;24.2;;70.26
;;;;;31;57.96;27.44;;70.22
;;;;;32;71.29;32.61;;70.25
;;;;;33;91.94;39.02;;70.38
;;;;;34;76.87;74.51;;70.6
;;;;;35;39.79;96.13;;70.78
;;;;;36;44.4;83.39;;70.78
;;;;;37;190.21;52.07;;70.61
;;;;;38;220.7;43.34;;70.49
;;;;;39;137.79;68.44;;70.56
;;;;;40;91.25;75.12;;70.67
;;;;;41;110.46;59.17;;70.77
;;;;;42;102.59;38.09;;70.96
;;;;;43;59.96;25.09;;71.1
;;;;;44;56.59;36.93;;71.14
;;;;;45;65;53.04;;71.18
;;;;;46;67.62;139.01;;71.27
;;;;;47;51.36;159.32;;71.4
;;;;;48;78.46;104.48;;71.58
;;;;;49;137.4;68.71;;71.82
;;;;;50;161.19;72.08;;72.08
;;;;;51;138.47;83.81;;72.3
;;;;;52;107.6;66.34;;72.45
;;;;;53;75.88;34.95;;72.5
;;;;;54;51.24;43.65;;72.45
;;;;;55;58.71;117.34;;72.3
;;;;;56;66.18;113.9;;72.09
;;;;;57;55.13;65.02;;71.88
;;;;;58;39.41;75.95;;71.77
;;;;;59;84.58;51.84;;71.79
;;;;;60;147.17;55.9;;71.88
;;;;;61;142.01;66.16;;71.9
;;;;;62;103.82;69.24;;71.86
;;;;;63;124.59;72.76;;71.79
;;;;;64;106.54;65.66;;71.65
;;;;;65;47.28;52.19;;71.55
;;;;;66;35.86;28.7;;71.52
;;;;;67;46.69;55.13;;71.51
;;;;;68;82.02;90.16;;71.47
;;;;;69;82.7;90.06;;71.38
;;;;;70;99.44;58.98;;71.24
;;;;;71;117.06;52.98;;71.16
;;;;;72;98.63;63.29;;71.2
;;;;;73;86.53;56.6;;71.26
;;;;;74;87.27;68.77;;71.24
;;;;;75;77.26;67.46;;71.04
;;;;;76;47.96;35.63;;70.68
;;;;;77;47.86;44.67;;70.42
;;;;;78;60.94;58.04;;70.31
;;;;;79;54.59;64.43;;70.17
;;;;;80;54.76;61.34;;69.97
;;;;;81;153.14;53.81;;69.85
;;;;;82;173.96;72.86;;69.81
;;;;;83;133.75;85.74;;69.83
;;;;;84;118.54;72.77;;69.85
;;;;;85;113.47;49;;69.74
;;;;;86;92.23;35.07;;69.51
;;;;;87;48.58;25.68;;69.32
;;;;;88;51.43;45.36;;69.22
;;;;;89;69.6;60.66;;69.16
;;;;;90;68.34;57.69;;69.09
;;;;;91;44.79;79.09;;69.04
;;;;;92;85.89;122.71;;69.1
;;;;;93;191.79;115.37;;69.39
;;;;;94;217.79;79.76;;69.91
;;;;;95;156.29;68.42;;70.4
;;;;;96;116.78;49.42;;70.67
;;;;;97;88.76;39.31;;70.86
;;;;;98;64.76;33.25;;71.27
;;;;;99;67.45;31.04;;71.93
;;;;;100;103.19;44.74;;72.79
;;;;;101;98.79;72.34;;73.89
;;;;;102;45.35;94.11;;75.21
;;;;;103;49.46;80.06;;75.97
;;;;;104;184.95;43.59;;75.07
;;;;;105;210.38;49.89;;72.33
;;;;;106;119.34;61.59;;68.17
;;;;;107;79.98;64.69;;62.35
;;;;;108;82;50.79;;54.56
;;;;;109;60.57;32.02;;45.12
;;;;;110;34.16;35.94;;34.99
;;;;;111;57.7;55.82;;25.62
;;;;;112;70.29;111.88;;16.94
;;;;;113;62.64;151.25;;7.78
;;;;;114;58.28;147.44;;-2.7
;;;;;115;73.93;100.1;;-15.76
;;;;;116;128.62;58.74;;-32.18
;;;;;117;139.31;81.24;;-49.22
;;;;;118;107.58;78.28;;-60.9
;;;;;119;130.02;88.21;;-66.1
;;;;;120;128.41;87;;-68.4
;;;;;121;78.07;81.67;;-69.53
;;;;;122;51.69;76.45;;-70.01
;;;;;123;66.49;54.28;;-70.48
;;;;;124;69.35;122.69;;-71
;;;;;125;51.59;148.41;;-71.39
;;;;;126;41.52;113.6;;-71.86
;;;;;127;75.88;64.74;;-72.48
;;;;;128;146.3;32.28;;-73.14
;;;;;129;215.52;64.1;;-73.8
;;;;;130;240.7;96.12;;-74.19
;;;;;131;185.45;145.61;;-73.83
;;;;;132;120.88;131.73;;-72.08
;;;;;133;103.08;50.24;;-68.19
;;;;;134;68.59;27.31;;-61.73
