;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";43.67;194.77;5528.98;;0;56.17;6.82;0.05;64.45
"triceps_brachii_long_(right)";54.96;264.16;19046.88;;1;49.72;6.88;;64.61
;;;;;2;44.3;6.33;;64.76
;;;;;3;37.55;6.8;;64.89
;;;;;4;34.57;6.56;;64.96
;;;;;5;45.79;6.01;;64.99
;;;;;6;45.42;6.43;;65
;;;;;7;36;6.12;;65.04
;;;;;8;37.83;5.58;;65.15
;;;;;9;36.95;5.9;;65.29
;;;;;10;40.37;6.47;;65.39
;;;;;11;40.69;6.46;;65.41
;;;;;12;38.2;5.93;;65.38
;;;;;13;36.15;5.87;;65.33
;;;;;14;39.28;7.24;;65.3
;;;;;15;47.2;7.6;;65.27
;;;;;16;45.84;6.89;;65.2
;;;;;17;41.13;6.16;;65.15
;;;;;18;43.6;6.34;;65.14
;;;;;19;46.75;7.22;;65.22
;;;;;20;44.17;9.64;;65.38
;;;;;21;35.03;33.71;;65.6
;;;;;22;37.16;91.07;;65.8
;;;;;23;32.48;88.87;;65.95
;;;;;24;18.87;42.38;;66.05
;;;;;25;45.38;43.14;;66.1
;;;;;26;71.66;48.78;;66.1
;;;;;27;75.37;45.37;;66.09
;;;;;28;58.27;28.74;;66.04
;;;;;29;43.17;22.29;;65.97
;;;;;30;36.01;18.77;;65.92
;;;;;31;28.03;43.36;;65.91
;;;;;32;30.72;120.25;;65.91
;;;;;33;31.28;117.58;;65.9
;;;;;34;21.54;43.84;;65.89
;;;;;35;16.17;54.18;;65.9
;;;;;36;40.52;62.11;;65.92
;;;;;37;61.64;54.96;;65.96
;;;;;38;64.99;40.74;;65.96
;;;;;39;60.82;33.23;;65.86
;;;;;40;51.8;25.73;;65.68
;;;;;41;42.23;13;;65.54
;;;;;42;32.45;43.43;;65.5
;;;;;43;25.53;55.84;;65.53
;;;;;44;39.33;109.72;;65.58
;;;;;45;36.17;124;;65.64
;;;;;46;20.17;132.55;;65.67
;;;;;47;21.13;120.66;;65.67
;;;;;48;134.46;89.58;;65.69
;;;;;49;141.71;264.16;;65.74
;;;;;50;53.85;252.18;;65.78
;;;;;51;40.01;27.04;;65.79
;;;;;52;36.99;26.97;;65.76
;;;;;53;22.22;36.99;;65.7
;;;;;54;25.58;141.95;;65.68
;;;;;55;29.22;144.32;;65.73
;;;;;56;23.84;54.26;;65.78
;;;;;57;23.43;64.54;;65.78
;;;;;58;55.53;62.04;;65.85
;;;;;59;118.2;72.66;;65.92
;;;;;60;115.43;70.8;;65.69
;;;;;61;58.27;31.8;;65.42
;;;;;62;44.85;24.51;;65.6
;;;;;63;33.62;11.13;;66.25
;;;;;64;21.55;18.04;;66.95
;;;;;65;36.32;75.7;;67.22
;;;;;66;45.03;154.5;;66.9
;;;;;67;33.64;159.1;;66.28
;;;;;68;23.94;104.86;;66.07
;;;;;69;31.35;75.88;;66.41
;;;;;70;179.25;166.21;;66.6
;;;;;71;194.77;170.55;;66.33
;;;;;72;98.22;60.96;;65.86
;;;;;73;67.31;26.59;;65.49
;;;;;74;41.11;14.52;;65.31
;;;;;75;21.4;16.99;;65.27
;;;;;76;14.47;23.15;;65.23
;;;;;77;20.16;50.67;;65.13
;;;;;78;44.22;148.44;;65.01
;;;;;79;50.91;181.2;;64.89
;;;;;80;35.79;123.03;;64.72
;;;;;81;66.52;47.11;;64.56
;;;;;82;77.82;21.7;;64.46
;;;;;83;56.55;65.59;;64.38
;;;;;84;44.91;74.61;;64.26
;;;;;85;33.19;41.95;;64.15
;;;;;86;29.07;18.57;;64.11
;;;;;87;27.46;33.81;;64.05
;;;;;88;20.52;46.64;;63.99
;;;;;89;23.98;72.51;;63.98
;;;;;90;29.48;101.06;;64.01
;;;;;91;33.12;93.34;;64.05
