;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";88.37;273.09;5528.98;;0;26.75;21.14;0.05;74.21
"triceps_brachii_long_(right)";57.9;198.21;19046.88;;1;17.62;19.55;;74.89
;;;;;2;15.59;16.23;;75.4
;;;;;3;18.44;11.59;;75.37
;;;;;4;17.67;12.39;;75.11
;;;;;5;14.56;13.47;;74.88
;;;;;6;12.68;12.81;;74.66
;;;;;7;11.56;12.45;;74.34
;;;;;8;11.25;12.16;;73.84
;;;;;9;12.58;12.04;;73.47
;;;;;10;12.29;12.88;;73.29
;;;;;11;11.68;13.85;;73.26
;;;;;12;12.65;14.49;;73.28
;;;;;13;13.24;14.01;;73.24
;;;;;14;13.38;13.97;;73.11
;;;;;15;11.58;13.62;;73.02
;;;;;16;18.8;13.64;;72.99
;;;;;17;20.82;13.88;;72.83
;;;;;18;15.67;13;;72.54
;;;;;19;16.43;12.77;;72.31
;;;;;20;15.34;14.08;;72.22
;;;;;21;18.44;16.61;;72.27
;;;;;22;35.7;24.45;;72.4
;;;;;23;62.86;48.23;;72.45
;;;;;24;67.12;161.4;;72.4
;;;;;25;88.4;198.21;;72.37
;;;;;26;147.99;126.23;;72.38
;;;;;27;173.63;74.06;;72.33
;;;;;28;222.39;86.53;;72.26
;;;;;29;191.38;63.84;;72.22
;;;;;30;63.1;129.09;;72.19
;;;;;31;89.53;154.74;;72.21
;;;;;32;167.02;100.76;;72.24
;;;;;33;204.99;70.05;;72.23
;;;;;34;186.14;64.37;;72.19
;;;;;35;127.76;84.46;;72.18
;;;;;36;65.92;122.89;;72.27
;;;;;37;92.41;110.11;;72.39
;;;;;38;101.83;62.01;;72.5
;;;;;39;193.27;66.95;;72.52
;;;;;40;273.09;81.62;;72.49
;;;;;41;213.4;96.66;;72.5
;;;;;42;78.59;123.82;;72.57
;;;;;43;65.3;100.65;;72.68
;;;;;44;156.79;48.14;;72.77
;;;;;45;212.57;64.61;;72.76
;;;;;46;212.98;67.89;;72.73
;;;;;47;156.66;69.8;;72.75
;;;;;48;59.29;135.76;;72.79
;;;;;49;59.56;133.59;;72.83
;;;;;50;105.44;62.35;;72.87
;;;;;51;155.05;75.81;;72.93
;;;;;52;180.64;77.54;;72.99
;;;;;53;147.13;54.76;;73
;;;;;54;88.02;82.79;;73.06
;;;;;55;77.51;79.29;;73.19
;;;;;56;126.07;54.38;;73.25
;;;;;57;177.66;59.69;;73.23
;;;;;58;157.21;75.67;;73.22
;;;;;59;102.57;74.21;;73.23
;;;;;60;69.58;68.42;;73.24
;;;;;61;55.09;84.9;;73.22
;;;;;62;89.16;71.87;;73.13
;;;;;63;163.21;48.68;;72.95
;;;;;64;173.66;58.78;;72.7
;;;;;65;121.59;54.34;;72.47
;;;;;66;111.27;88.91;;72.3
;;;;;67;97.45;99.28;;72.2
;;;;;68;91.16;58.29;;72.2
;;;;;69;127.37;38.16;;72.21
;;;;;70;145.09;52.34;;72.14
;;;;;71;117.84;69.48;;71.98
;;;;;72;62.14;98.86;;71.85
;;;;;73;71.19;162.37;;71.79
;;;;;74;141.99;150.27;;71.75
;;;;;75;184.13;66.47;;71.59
;;;;;76;186.36;70.22;;71.29
;;;;;77;137.7;68.91;;71.06
;;;;;78;67.48;101.73;;71.11
;;;;;79;79.06;111.8;;71.32
;;;;;80;130.75;66.76;;71.41
;;;;;81;162.69;61.44;;71.31
;;;;;82;144.2;57.97;;71.16
;;;;;83;100.62;31.22;;71.12
;;;;;84;54.16;21.54;;71.21
;;;;;85;39.28;19.41;;71.34
;;;;;86;39.73;18.7;;71.4
;;;;;87;39.5;17.64;;71.37
;;;;;88;43.9;17.92;;71.2
;;;;;89;51.58;16.85;;70.95
;;;;;90;52.57;16.18;;70.81
;;;;;91;43.03;18.06;;70.79
;;;;;92;33.73;17.93;;70.79
;;;;;93;31.44;16.67;;70.78
;;;;;94;28.7;15.83;;70.8
;;;;;95;27.32;16.18;;70.9
;;;;;96;32.34;17.11;;71.03
;;;;;97;38.5;20.42;;71.08
;;;;;98;39.06;24.56;;71.04
;;;;;99;38.18;25.94;;70.99
;;;;;100;35.47;27.89;;70.98
;;;;;;101;;;70.97
;;;;;;102;;;70.95
;;;;;;103;;;70.99
;;;;;;104;;;71.12
;;;;;;105;;;71.21
;;;;;;106;;;71.17
;;;;;;107;;;71.11
;;;;;;108;;;71.12
;;;;;;109;;;71.21
;;;;;;110;;;71.33
;;;;;;111;;;71.44
;;;;;;112;;;71.55
;;;;;;113;;;71.63
;;;;;;114;;;71.7
;;;;;;115;;;71.79
;;;;;;116;;;71.86
;;;;;;117;;;71.85
;;;;;;118;;;71.74
;;;;;;119;;;71.39
;;;;;;120;;;70.37
;;;;;;121;;;68.49
;;;;;;122;;;66.31
;;;;;;123;;;64.28
;;;;;;124;;;62.55
;;;;;;125;;;61.76
;;;;;;126;;;61.58
;;;;;;127;;;59.05
;;;;;;128;;;49.42
;;;;;;129;;;32.18
;;;;;;130;;;10.66
;;;;;;131;;;-12.69
;;;;;;132;;;-33.84
;;;;;;133;;;-48.2
;;;;;;134;;;-57.35
;;;;;;135;;;-64.33
;;;;;;136;;;-67.62
;;;;;;137;;;-66.94
;;;;;;138;;;-62.74
;;;;;;139;;;-54.77
;;;;;;140;;;-43.32
;;;;;;141;;;-28.68
;;;;;;142;;;-11.7
;;;;;;143;;;6.14
;;;;;;144;;;23.56
;;;;;;145;;;39.9
;;;;;;146;;;55
;;;;;;147;;;69.33
;;;;;;148;;;83.4
;;;;;;149;;;96.73
;;;;;;150;;;106.75
;;;;;;151;;;111.32
;;;;;;152;;;111.07
;;;;;;153;;;108.36
;;;;;;154;;;104.25
;;;;;;155;;;97.38
;;;;;;156;;;86.28
;;;;;;157;;;71.29
;;;;;;158;;;54.07
;;;;;;159;;;35.45
;;;;;;160;;;16.07
;;;;;;161;;;-3.68
;;;;;;162;;;-24.5
;;;;;;163;;;-42.39
;;;;;;164;;;-53.73
;;;;;;165;;;-61.16
;;;;;;166;;;-65.66
;;;;;;167;;;-66.49
;;;;;;168;;;-65.52
;;;;;;169;;;-63.61
;;;;;;170;;;-59.49
;;;;;;171;;;-52.5
;;;;;;172;;;-41.99
;;;;;;173;;;-26.95
;;;;;;174;;;-7.56
;;;;;;175;;;14.42
;;;;;;176;;;36.91
;;;;;;177;;;57.32
;;;;;;178;;;74.9
;;;;;;179;;;88.61
;;;;;;180;;;94.94
;;;;;;181;;;94.62
;;;;;;182;;;91.79
;;;;;;183;;;87.99
;;;;;;184;;;81.75
;;;;;;185;;;71.83
;;;;;;186;;;57.01
;;;;;;187;;;36.92
;;;;;;188;;;15.4
;;;;;;189;;;-5.03
;;;;;;190;;;-25.77
;;;;;;191;;;-46.84
;;;;;;192;;;-62.78
;;;;;;193;;;-69.84
;;;;;;194;;;-71.23
;;;;;;195;;;-71.42
;;;;;;196;;;-71.47
;;;;;;197;;;-68.79
;;;;;;198;;;-62.97
;;;;;;199;;;-55.81
;;;;;;200;;;-46.58
;;;;;;201;;;-34.31
;;;;;;202;;;-20.08
;;;;;;203;;;-4.78
;;;;;;204;;;11.1
;;;;;;205;;;27.11
;;;;;;206;;;43.13
