;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";91.91;271.64;5528.98;;0;46.38;15.02;0.05;88.69
"triceps_brachii_long_(right)";40.04;169.58;19046.88;;1;68.31;16.05;;88.64
;;;;;2;66.39;10.9;;88.59
;;;;;3;39.71;9.71;;88.61
;;;;;4;38.67;9.68;;88.64
;;;;;5;42.56;8.14;;88.62
;;;;;6;44.98;7.27;;88.57
;;;;;7;41.37;7.35;;88.47
;;;;;8;33.59;7.24;;88.17
;;;;;9;31.47;6.81;;86.94
;;;;;10;32.41;6.29;;83.65
;;;;;11;31.13;6.79;;79.05
;;;;;12;30.54;7.82;;76.03
;;;;;13;31.12;7.62;;76.01
;;;;;14;32.58;6.75;;77.92
;;;;;15;33.63;6.93;;80.03
;;;;;16;35.7;7.5;;81.57
;;;;;17;33.83;7.07;;82.57
;;;;;18;29.7;6.34;;83.15
;;;;;19;29.35;6.2;;83.48
;;;;;20;28.93;6.89;;83.64
;;;;;21;28.9;6.99;;83.71
;;;;;22;31.55;6.6;;83.75
;;;;;23;35.99;6.61;;83.82
;;;;;24;35.2;7.07;;83.84
;;;;;25;31.93;7.37;;83.78
;;;;;26;33.36;7.4;;83.77
;;;;;27;32.55;6.98;;83.91
;;;;;28;29.89;6.16;;84.11
;;;;;29;31.02;7.95;;84.27
;;;;;30;31.26;8.87;;84.33
;;;;;31;30.75;7.34;;84.28
;;;;;32;30.15;7.57;;84.17
;;;;;33;34.16;7.95;;84.12
;;;;;34;35.53;23.97;;84.16
;;;;;35;100.27;99.22;;84.21
;;;;;36;235.5;153.15;;84.18
;;;;;37;271.64;125.07;;84.06
;;;;;38;188.68;42.09;;84.01
;;;;;39;127.6;34.07;;84.03
;;;;;40;104.61;43.23;;83.94
;;;;;41;59.79;65.79;;83.76
;;;;;42;110.83;117.34;;83.63
;;;;;43;185.02;112.77;;83.61
;;;;;44;182.95;51.79;;83.58
;;;;;45;137.27;51.52;;83.51
;;;;;46;120.14;54.09;;83.44
;;;;;47;82.92;33.47;;83.44
;;;;;48;88.8;70.95;;83.52
;;;;;49;162.71;99.94;;83.57
;;;;;50;194.29;76.55;;83.51
;;;;;51;169.06;34.1;;83.4
;;;;;52;119.11;37.99;;83.33
;;;;;53;67.86;42.86;;83.32
;;;;;54;62.84;68.29;;83.36
;;;;;55;136.17;102.15;;83.42
;;;;;56;214.92;85.88;;83.46
;;;;;57;186.71;31.82;;83.47
;;;;;58;149.73;31.38;;83.48
;;;;;59;148.7;37.08;;83.49
;;;;;60;84.14;38.49;;83.5
;;;;;61;124.87;144.64;;83.48
;;;;;62;185.26;151.62;;83.48
;;;;;63;195.01;59.97;;83.54
;;;;;64;134.78;45.62;;83.62
;;;;;65;53.14;37.73;;83.63
;;;;;66;50.21;20.79;;83.54
;;;;;67;89.29;93.49;;83.42
;;;;;68;154.22;123.42;;83.37
;;;;;69;189.41;84.41;;83.4
;;;;;70;165.92;30.81;;83.43
;;;;;71;123.67;33.37;;83.41
;;;;;72;91.07;34.23;;83.37
;;;;;73;137.53;117.64;;83.34
;;;;;74;155.95;128.18;;83.38
;;;;;75;219.85;58.54;;83.5
;;;;;76;210.44;24.16;;83.66
;;;;;77;86.62;25.5;;83.8
;;;;;78;79.02;23.91;;83.86
;;;;;79;98.32;60.13;;83.87
;;;;;80;106.5;103.05;;83.9
;;;;;81;187.1;87.18;;84.01
;;;;;82;190.58;27.49;;84.18
;;;;;83;101.96;36.24;;84.38
;;;;;84;90.08;41.51;;84.59
;;;;;85;97.92;34.12;;84.74
;;;;;86;119.97;50.75;;84.78
;;;;;87;136.34;62.84;;84.84
;;;;;88;169.88;48.02;;85.06
;;;;;89;160.78;38.23;;85.36
;;;;;90;105.41;43.63;;85.54
;;;;;91;85.8;54.58;;85.54
;;;;;92;125.86;155.97;;85.43
