;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";72.85;258.98;5528.98;;0;35.8;4.54;0.05;63.13
"triceps_brachii_long_(right)";29.29;118.28;19046.88;;1;36.38;4.28;;63.08
;;;;;2;32.85;4.02;;63.04
;;;;;3;30.96;4.03;;63.03
;;;;;4;34.7;4.24;;63.05
;;;;;5;36.41;4;;63.02
;;;;;6;37.37;3.95;;62.97
;;;;;7;37.12;3.98;;62.94
;;;;;8;36.09;3.95;;62.96
;;;;;9;39.07;3.73;;63
;;;;;10;39.41;3.6;;63.04
;;;;;11;34.24;4.01;;63.08
;;;;;12;32.75;4.22;;63.08
;;;;;13;34.83;4.25;;63.07
;;;;;14;35.15;4.16;;63.07
;;;;;15;34.29;4;;63.09
;;;;;16;35.45;3.8;;63.1
;;;;;17;36.66;4.42;;63.15
;;;;;18;35;4.37;;63.23
;;;;;19;34.14;3.51;;63.29
;;;;;20;34.1;27.88;;63.32
;;;;;21;44.31;38.01;;63.31
;;;;;22;51.59;29.35;;63.26
;;;;;23;45.63;68.04;;63.2
;;;;;24;83.59;73.49;;63.13
;;;;;25;206.23;40.1;;63.09
;;;;;26;250.18;28.52;;63.08
;;;;;27;171.4;13.95;;63.09
;;;;;28;67.47;9.22;;63.09
;;;;;29;49.85;9.44;;63.05
;;;;;30;44.05;10.28;;63.02
;;;;;31;47.5;15.79;;63.02
;;;;;32;52.76;23.81;;63.02
;;;;;33;42.36;54.32;;62.98
;;;;;34;68.43;56.73;;62.95
;;;;;35;89.16;31.86;;62.94
;;;;;36;151.1;25.54;;62.91
;;;;;37;203.66;19.67;;62.84
;;;;;38;154.66;16.5;;62.79
;;;;;39;51.58;15.93;;62.78
;;;;;40;47.62;10.85;;62.79
;;;;;41;54.53;12.79;;62.82
;;;;;42;47.68;16.91;;62.83
;;;;;43;39.93;28.8;;62.81
;;;;;44;46.23;73.68;;62.77
;;;;;45;46.44;109.32;;62.74
;;;;;46;38.15;110.81;;62.74
;;;;;47;103.15;90.14;;62.73
;;;;;48;146.05;62.38;;62.67
;;;;;49;160.2;33.81;;62.63
;;;;;50;128.36;19.01;;62.63
;;;;;51;59.76;12.92;;62.65
;;;;;52;53.41;12.79;;62.71
;;;;;53;40.39;15.89;;62.77
;;;;;54;40.71;19.19;;62.79
;;;;;55;47.3;20.06;;62.75
;;;;;56;37.79;70.37;;62.73
;;;;;57;57.5;88.1;;62.75
;;;;;58;91.21;57.14;;62.77
;;;;;59;119.06;22.01;;62.75
;;;;;60;111.71;20.48;;62.7
;;;;;61;69.26;15.36;;62.69
;;;;;62;42.35;9.4;;62.71
;;;;;63;34.86;13.88;;62.78
;;;;;64;33.69;15.29;;62.87
;;;;;65;40.7;15.84;;62.98
;;;;;66;38;69.32;;63.09
;;;;;67;32.39;118.28;;63.18
;;;;;68;52.13;100.08;;63.22
;;;;;69;74.92;30.62;;63.21
;;;;;70;86.39;19.87;;63.23
;;;;;71;102.49;18.23;;63.31
;;;;;72;94.51;19.18;;63.38
;;;;;73;55.49;14.15;;63.43
;;;;;74;52.87;17.1;;63.52
;;;;;75;56.2;45.68;;63.62
;;;;;76;51.61;49.67;;63.68
;;;;;77;45.66;32.62;;63.71
;;;;;78;31.44;65.46;;63.69
;;;;;79;33.15;100.42;;63.66
;;;;;80;85.28;88.9;;63.7
;;;;;81;110.83;51.87;;63.76
;;;;;82;137.4;38.88;;63.74
;;;;;83;158.51;24.52;;63.72
;;;;;84;129.36;16.28;;63.75
;;;;;85;84.37;15.44;;63.79
;;;;;86;54.24;23.09;;63.8
;;;;;87;62.5;25.58;;63.85
;;;;;88;62.12;23.81;;64.01
;;;;;89;28.4;27.52;;64.21
;;;;;90;10.29;33.55;;64.34
;;;;;91;25.37;30.28;;64.42
;;;;;92;133.13;21.32;;64.48
;;;;;93;197.06;33.25;;64.53
;;;;;94;175.2;32.88;;64.61
;;;;;95;119.55;23.24;;64.67
;;;;;96;86.12;22.51;;64.65
;;;;;97;53.69;18.12;;64.55
;;;;;98;65.01;13.6;;64.52
;;;;;99;65.81;10.64;;64.61
;;;;;100;48.03;18.32;;64.65
;;;;;101;39.83;21.36;;64.61
;;;;;102;16.53;40.86;;64.57
