;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";52.66;163.07;5528.98;;0;33.42;22.69;0.05;84.66
"triceps_brachii_long_(right)";55.24;193.09;19046.88;;1;26.72;19.7;;84.13
;;;;;2;25.28;18.9;;83.5
;;;;;3;26.76;19.55;;82.98
;;;;;4;27.25;20.18;;82.56
;;;;;5;25.15;19.45;;82.25
;;;;;6;27.92;18.06;;82.02
;;;;;7;28.8;19.7;;81.76
;;;;;8;26.03;20.67;;81.46
;;;;;9;26.07;19.15;;81.1
;;;;;10;26.97;20.19;;80.76
;;;;;11;28.57;20.55;;80.59
;;;;;12;29.74;20;;80.5
;;;;;13;30.4;20.64;;80.21
;;;;;14;27.04;22.78;;79.7
;;;;;15;27.65;81.12;;79.28
;;;;;16;26.49;91.72;;79
;;;;;17;66.02;56.11;;78.88
;;;;;18;157.84;63.41;;78.85
;;;;;19;163.07;71.25;;78.91
;;;;;20;84.12;57.65;;79.02
;;;;;21;34.48;41.2;;79.04
;;;;;22;22.14;32.8;;78.91
;;;;;23;37.86;50.29;;78.71
;;;;;24;46.39;134.8;;78.57
;;;;;25;52.13;193.09;;78.51
;;;;;26;77.93;160.56;;78.43
;;;;;27;72.18;89.3;;78.36
;;;;;28;43.71;71.44;;78.27
;;;;;29;31.58;46.68;;78.11
;;;;;30;23.28;48.61;;77.89
;;;;;31;41.09;111.1;;77.75
;;;;;32;40.61;133.15;;77.72
;;;;;33;50.63;99.79;;77.79
;;;;;34;57.08;62.58;;77.87
;;;;;35;93.57;114.2;;77.91
;;;;;36;94.68;123.89;;77.88
;;;;;37;38.84;72.43;;77.78
;;;;;38;23.28;86.33;;77.68
;;;;;39;21.12;101.36;;77.65
;;;;;40;19.2;85.88;;77.66
;;;;;41;59.24;78.55;;77.68
;;;;;42;96.25;65.35;;77.74
;;;;;43;95.19;55.29;;77.77
;;;;;44;60.22;48.07;;77.65
;;;;;45;26.56;35.36;;77.47
;;;;;46;22.49;39.76;;77.43
;;;;;47;19.65;61.44;;77.5
;;;;;48;22.57;64.45;;77.57
;;;;;49;104.62;73.38;;77.7
;;;;;50;114.59;91.08;;77.88
;;;;;51;60.89;71.79;;78.02
;;;;;52;43.81;38.66;;78.11
;;;;;53;29.43;27.87;;78.22
;;;;;54;94.94;35.11;;78.33
;;;;;55;95.87;41.13;;78.42
;;;;;56;21.4;41.25;;78.53
;;;;;57;82.36;59.05;;78.68
;;;;;58;121.86;79.51;;78.78
;;;;;59;98.23;71.47;;78.79
;;;;;60;41.53;41.87;;78.79
;;;;;61;22.15;32.75;;78.78
;;;;;62;23.33;37.78;;78.77
;;;;;63;22.89;43.78;;78.76
;;;;;64;12.58;39.87;;78.72
;;;;;65;91.64;52.23;;78.66
;;;;;66;98.66;62.45;;78.58
;;;;;67;51.74;54.23;;78.51
;;;;;68;43.05;43.43;;78.45
;;;;;69;25.65;24.68;;78.34
;;;;;70;40.02;24.71;;78.23
;;;;;71;42.91;31.15;;78.24
;;;;;72;20.61;32.86;;78.35
;;;;;73;57.83;54.91;;78.49
;;;;;74;89.61;89.8;;78.62
;;;;;75;138.82;81.14;;78.72
;;;;;76;132.11;38.64;;78.8
;;;;;77;65.27;26;;78.96
;;;;;78;55.24;26.71;;79.19
;;;;;79;50.89;76.89;;79.14
;;;;;80;44.64;98.74;;76.26
;;;;;81;89.94;93.69;;64.47
;;;;;82;153.04;85.12;;43.09
;;;;;83;136.06;84.32;;16.45
;;;;;84;52.2;79.49;;-10.9
;;;;;85;32.71;49.73;;-30.16
;;;;;86;17.99;26.77;;-40.06
;;;;;87;20.2;26.15;;-46.68
;;;;;88;25.52;24.51;;-50.69
;;;;;89;86.98;59.96;;-51.96
;;;;;90;104.41;122.15;;-52.21
;;;;;91;75.41;120.75;;-52.31
;;;;;92;55.31;58.43;;-52.06
;;;;;93;39.46;30.44;;-50.55
;;;;;94;32.96;25.63;;-46.72
;;;;;95;34.31;24.04;;-40.18
;;;;;96;31.25;23.74;;-31.8
;;;;;97;31.6;23.54;;-22.1
;;;;;98;32.04;22.68;;-10.11
;;;;;99;29.42;24.25;;5.38
;;;;;100;28.2;23.04;;23.81
;;;;;101;30.1;21.81;;42.25
;;;;;102;30.42;23.53;;57.95
;;;;;103;28.02;24.53;;70.66
;;;;;104;27.64;26.22;;81.56
;;;;;;105;;;91.3
;;;;;;106;;;99.57
;;;;;;107;;;104.96
;;;;;;108;;;106.13
;;;;;;109;;;104.08
;;;;;;110;;;101.07
;;;;;;111;;;98.51
;;;;;;112;;;96.97
;;;;;;113;;;96.3
;;;;;;114;;;95.97
;;;;;;115;;;95.91
;;;;;;116;;;96.02
;;;;;;117;;;94.98
;;;;;;118;;;90.41
;;;;;;119;;;79.89
;;;;;;120;;;62.56
;;;;;;121;;;40.63
;;;;;;122;;;18.8
;;;;;;123;;;-0.09
;;;;;;124;;;-16.45
;;;;;;125;;;-29.58
;;;;;;126;;;-40.76
;;;;;;127;;;-51.62
;;;;;;128;;;-60.73
;;;;;;129;;;-67.33
;;;;;;130;;;-72.42
;;;;;;131;;;-77.71
;;;;;;132;;;-81.91
;;;;;;133;;;-81.4
;;;;;;134;;;-75.63
;;;;;;135;;;-66.91
;;;;;;136;;;-55.97
;;;;;;137;;;-40.86
;;;;;;138;;;-20.86
;;;;;;139;;;0.75
;;;;;;140;;;20.13
;;;;;;141;;;35.74
;;;;;;142;;;48.47
;;;;;;143;;;59.25
;;;;;;144;;;68.85
;;;;;;145;;;77.24
;;;;;;146;;;83.24
;;;;;;147;;;85.92
;;;;;;148;;;85.79
;;;;;;149;;;85.06
;;;;;;150;;;85.04
;;;;;;151;;;85.16
;;;;;;152;;;84.72
;;;;;;153;;;83.86
;;;;;;154;;;82.56
;;;;;;155;;;80.15
;;;;;;156;;;74.64
;;;;;;157;;;63.59
;;;;;;158;;;46.06
;;;;;;159;;;23.47
;;;;;;160;;;-1.07
;;;;;;161;;;-24.58
;;;;;;162;;;-47.02
;;;;;;163;;;-67.3
;;;;;;164;;;-82.52
;;;;;;165;;;-91.18
;;;;;;166;;;-93.52
;;;;;;167;;;-92.18
;;;;;;168;;;-90.31
;;;;;;169;;;-88.32
;;;;;;170;;;-85.81
;;;;;;171;;;-84.24
;;;;;;172;;;-82.57
;;;;;;173;;;-77.87
;;;;;;174;;;-66.28
;;;;;;175;;;-49.62
;;;;;;176;;;-31.46
;;;;;;177;;;-10.69
;;;;;;178;;;10.67
;;;;;;179;;;29.06
;;;;;;180;;;43.89
;;;;;;181;;;57.21
;;;;;;182;;;69.57
;;;;;;183;;;81.15
;;;;;;184;;;92.38
;;;;;;185;;;98.99
;;;;;;186;;;98.8
;;;;;;187;;;96.8
;;;;;;188;;;95.42
;;;;;;189;;;94.45
;;;;;;190;;;94.9
;;;;;;191;;;95.49
;;;;;;192;;;95.01
;;;;;;193;;;93.91
;;;;;;194;;;92.12
;;;;;;195;;;88.37
;;;;;;196;;;80.64
;;;;;;197;;;68.14
;;;;;;198;;;51.12
;;;;;;199;;;31.47
;;;;;;200;;;10.79
;;;;;;201;;;-9.46
;;;;;;202;;;-27.3
;;;;;;203;;;-43.43
;;;;;;204;;;-55.82
;;;;;;205;;;-62.4
;;;;;;206;;;-65.78
;;;;;;207;;;-68.32
;;;;;;208;;;-70.35
;;;;;;209;;;-71.5
;;;;;;210;;;-70.53
;;;;;;211;;;-66.28
;;;;;;212;;;-59.07
;;;;;;213;;;-47.67
;;;;;;214;;;-31.22
;;;;;;215;;;-11.2
;;;;;;216;;;10.33
;;;;;;217;;;31.73
;;;;;;218;;;52.08
;;;;;;219;;;70.74
;;;;;;220;;;90.03
;;;;;;221;;;109.69
;;;;;;222;;;120.28
;;;;;;223;;;118.27
;;;;;;224;;;112.75
;;;;;;225;;;110.77
;;;;;;226;;;110.78
;;;;;;227;;;109.68
;;;;;;228;;;108.4
;;;;;;229;;;108.16
;;;;;;230;;;108.06
;;;;;;231;;;106.52
;;;;;;232;;;102.36
;;;;;;233;;;94.27
;;;;;;234;;;82.52
;;;;;;235;;;68.8
;;;;;;236;;;53.14
;;;;;;237;;;36.73
;;;;;;238;;;20.66
;;;;;;239;;;4.2
;;;;;;240;;;-13.92
;;;;;;241;;;-33.81
;;;;;;242;;;-51.79
;;;;;;243;;;-64.69
;;;;;;244;;;-72.42
;;;;;;245;;;-75.89
;;;;;;246;;;-76.46
;;;;;;247;;;-75.18
;;;;;;248;;;-73.74
;;;;;;249;;;-72.47
;;;;;;250;;;-70.65
;;;;;;251;;;-68.57
;;;;;;252;;;-65.22
;;;;;;253;;;-58.94
;;;;;;254;;;-48.98
;;;;;;255;;;-35.03
;;;;;;256;;;-16.75
;;;;;;257;;;5.83
;;;;;;258;;;29.78
;;;;;;259;;;50.21
;;;;;;260;;;66.04
;;;;;;261;;;79.2
;;;;;;262;;;90.91
;;;;;;263;;;100.8
;;;;;;264;;;107.16
;;;;;;265;;;109.06
;;;;;;266;;;107.82
;;;;;;267;;;106.15
;;;;;;268;;;105.78
;;;;;;269;;;106.25
;;;;;;270;;;106.45
;;;;;;271;;;106.34
;;;;;;272;;;106.2
;;;;;;273;;;105.08
;;;;;;274;;;101.52
;;;;;;275;;;93.73
;;;;;;276;;;80.28
;;;;;;277;;;61.47
;;;;;;278;;;35.91
;;;;;;279;;;7.64
;;;;;;280;;;-13.45
;;;;;;281;;;-26.43
;;;;;;282;;;-36.29
;;;;;;283;;;-46.31
;;;;;;284;;;-55.72
;;;;;;285;;;-61.53
;;;;;;286;;;-63.19
;;;;;;287;;;-62.37
;;;;;;288;;;-61.1
;;;;;;289;;;-59.94
;;;;;;290;;;-58.67
;;;;;;291;;;-56.75
;;;;;;292;;;-53.64
;;;;;;293;;;-48.58
;;;;;;294;;;-41.56
;;;;;;295;;;-32.53
;;;;;;296;;;-18.87
;;;;;;297;;;1.09
;;;;;;298;;;24.62
;;;;;;299;;;47.77
;;;;;;300;;;68.65
;;;;;;301;;;85.94
;;;;;;302;;;98.99
;;;;;;303;;;108.53
;;;;;;304;;;114.12
;;;;;;305;;;116.11
;;;;;;306;;;116.02
;;;;;;307;;;114.83
;;;;;;308;;;113.49
;;;;;;309;;;112.56
;;;;;;310;;;112.08
;;;;;;311;;;111.68
;;;;;;312;;;110.71
;;;;;;313;;;108.76
;;;;;;314;;;104.98
;;;;;;315;;;98.1
;;;;;;316;;;88.17
;;;;;;317;;;75.56
;;;;;;318;;;59.52
;;;;;;319;;;39.27
;;;;;;320;;;17.05
;;;;;;321;;;-4.72
;;;;;;322;;;-26.56
;;;;;;323;;;-47.02
;;;;;;324;;;-62.9
;;;;;;325;;;-71.69
;;;;;;326;;;-75.43
;;;;;;327;;;-76.5
;;;;;;328;;;-73.95
;;;;;;329;;;-69.75
;;;;;;330;;;-66.4
;;;;;;331;;;-63.89
;;;;;;332;;;-61.7
;;;;;;333;;;-59.45
;;;;;;334;;;-55.2
;;;;;;335;;;-46.71
;;;;;;336;;;-32.51
;;;;;;337;;;-11.88
;;;;;;338;;;12.5
;;;;;;339;;;35.97
;;;;;;340;;;55.99
;;;;;;341;;;72.24
;;;;;;342;;;85.18
;;;;;;343;;;95.19
;;;;;;344;;;101.87
;;;;;;345;;;103.94
;;;;;;346;;;100.99
;;;;;;347;;;95.19
;;;;;;348;;;91.47
;;;;;;349;;;92.11
;;;;;;350;;;94.16
;;;;;;351;;;95.34
;;;;;;352;;;95.66
;;;;;;353;;;95
;;;;;;354;;;92.54
;;;;;;355;;;87.49
;;;;;;356;;;79.52
;;;;;;357;;;68.07
;;;;;;358;;;51.97
;;;;;;359;;;30.52
;;;;;;360;;;6.81
;;;;;;361;;;-12.48
;;;;;;362;;;-24.01
;;;;;;363;;;-31.92
;;;;;;364;;;-39.64
;;;;;;365;;;-46.18
;;;;;;366;;;-51.63
;;;;;;367;;;-56.01
;;;;;;368;;;-58.61
;;;;;;369;;;-59.65
;;;;;;370;;;-60.02
;;;;;;371;;;-60.1
;;;;;;372;;;-59.94
;;;;;;373;;;-59.57
;;;;;;374;;;-57.98
;;;;;;375;;;-53.26
;;;;;;376;;;-44.25
;;;;;;377;;;-30.81
;;;;;;378;;;-13.53
;;;;;;379;;;6.09
;;;;;;380;;;25.52
;;;;;;381;;;42.67
;;;;;;382;;;56.93
;;;;;;383;;;68.92
;;;;;;384;;;79.35
;;;;;;385;;;87.9
;;;;;;386;;;93.42
;;;;;;387;;;95.54
;;;;;;388;;;95.39
;;;;;;389;;;94.54
;;;;;;390;;;94.41
;;;;;;391;;;94.62
;;;;;;392;;;94.06
;;;;;;393;;;92.64
;;;;;;394;;;91.16
;;;;;;395;;;89.48
;;;;;;396;;;86.48
;;;;;;397;;;82.23
;;;;;;398;;;75
;;;;;;399;;;62.79
;;;;;;400;;;45.37
;;;;;;401;;;22.45
;;;;;;402;;;-1.91
;;;;;;403;;;-23.46
;;;;;;404;;;-40.37
;;;;;;405;;;-53.01
;;;;;;406;;;-60.76
;;;;;;407;;;-64.79
;;;;;;408;;;-68.66
;;;;;;409;;;-70.58
;;;;;;410;;;-69.97
;;;;;;411;;;-68.07
;;;;;;412;;;-65.29
;;;;;;413;;;-60.5
;;;;;;414;;;-51.79
;;;;;;415;;;-38.98
;;;;;;416;;;-22.67
;;;;;;417;;;-4.17
;;;;;;418;;;14.87
;;;;;;419;;;33.03
;;;;;;420;;;50.39
;;;;;;421;;;67.43
;;;;;;422;;;81.53
;;;;;;423;;;89.61
;;;;;;424;;;93.1
;;;;;;425;;;96.22
;;;;;;426;;;97.67
;;;;;;427;;;94.75
;;;;;;428;;;91.3
;;;;;;429;;;91.01
;;;;;;430;;;92.08
;;;;;;431;;;91.77
;;;;;;432;;;90.56
;;;;;;433;;;90.3
;;;;;;434;;;90.7
;;;;;;435;;;90.27
;;;;;;436;;;88.59
;;;;;;437;;;84.23
;;;;;;438;;;75.38
;;;;;;439;;;62.06
;;;;;;440;;;45.78
;;;;;;441;;;26.96
;;;;;;442;;;6.52
;;;;;;443;;;-12.24
;;;;;;444;;;-28.08
;;;;;;445;;;-41.53
;;;;;;446;;;-51.72
;;;;;;447;;;-56.97
;;;;;;448;;;-57.9
;;;;;;449;;;-57.27
;;;;;;450;;;-56.3
;;;;;;451;;;-55.29
;;;;;;452;;;-54.55
;;;;;;453;;;-53.38
;;;;;;454;;;-51.42
;;;;;;455;;;-49.12
;;;;;;456;;;-44.82
;;;;;;457;;;-35.49
;;;;;;458;;;-19.44
;;;;;;459;;;2.55
;;;;;;460;;;26.76
;;;;;;461;;;49.86
;;;;;;462;;;70.29
;;;;;;463;;;85.62
;;;;;;464;;;94.65
;;;;;;465;;;98.36
;;;;;;466;;;97.94
;;;;;;467;;;96.12
;;;;;;468;;;94.91
;;;;;;469;;;94.75
;;;;;;470;;;95.49
;;;;;;471;;;96.01
;;;;;;472;;;95.7
;;;;;;473;;;95.26
;;;;;;474;;;95.03
;;;;;;475;;;94.65
;;;;;;476;;;94.21
;;;;;;477;;;94.14
;;;;;;478;;;94.4
;;;;;;479;;;94.56
;;;;;;480;;;94.63
;;;;;;481;;;94.66
;;;;;;482;;;94.59
;;;;;;483;;;94.42
;;;;;;484;;;94.25
;;;;;;485;;;94.18
