;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";89.5;272;5528.98;;0;25.1;18.57;0.05;53.9
"triceps_brachii_long_(right)";46.06;152.47;19046.88;;1;24.63;19.56;;53.92
;;;;;2;22.58;17.39;;53.93
;;;;;3;21.83;15.76;;53.93
;;;;;4;24.78;17.28;;53.91
;;;;;5;24.05;19.78;;53.84
;;;;;6;24.21;22.5;;53.72
;;;;;7;26.02;21.28;;53.67
;;;;;8;24.42;18.73;;53.69
;;;;;9;26.48;18.93;;53.74
;;;;;10;26.62;19.74;;53.76
;;;;;11;26.41;20.61;;53.75
;;;;;12;30.56;23.1;;53.78
;;;;;13;33.52;23.36;;53.84
;;;;;14;60.22;64.1;;53.88
;;;;;15;57.94;66.19;;53.92
;;;;;16;20.95;37.61;;53.94
;;;;;17;71.83;44.06;;53.92
;;;;;18;127.61;45.24;;53.86
;;;;;19;161.55;61.38;;53.88
;;;;;20;146.22;71.81;;53.97
;;;;;21;88.48;52.48;;53.97
;;;;;22;38.75;22.73;;53.93
;;;;;23;24.43;27.67;;53.91
;;;;;24;139.94;40.93;;53.95
;;;;;25;186.33;45.6;;54.02
;;;;;26;178.65;44.43;;54.04
;;;;;27;170.62;66.15;;53.98
;;;;;28;120.11;63.98;;53.91
;;;;;29;50.81;29.39;;53.85
;;;;;30;29;21.77;;53.82
;;;;;31;100.49;97.65;;53.81
;;;;;32;116.33;152.47;;53.72
;;;;;33;198.47;136.42;;53.64
;;;;;34;240.29;79.96;;53.68
;;;;;35;201.17;83.28;;53.76
;;;;;36;144.73;77.14;;53.77
;;;;;37;74.52;34.47;;53.64
;;;;;38;64.59;26.68;;53.45
;;;;;39;37.95;50.15;;53.3
;;;;;40;22.2;59.45;;53.2
;;;;;41;75.04;50.39;;53.2
;;;;;42;133.41;49.43;;53.35
;;;;;43;149.11;62.62;;53.46
;;;;;44;124.22;62.88;;53.43
;;;;;45;87.59;58.85;;53.33
;;;;;46;59.38;68.4;;53.22
;;;;;47;42.44;76.57;;53.18
;;;;;48;29.05;67.69;;53.2
;;;;;49;79.01;44.88;;53.26
;;;;;50;115.4;43.05;;53.37
;;;;;51;145.77;62.79;;53.43
;;;;;52;136.03;65.22;;53.44
;;;;;53;83.71;43.41;;53.44
;;;;;54;55.47;27.19;;53.42
;;;;;55;70.16;20.6;;53.45
;;;;;56;65.52;18.62;;53.6
;;;;;57;66.26;29.88;;53.75
;;;;;58;148.83;51.2;;53.83
;;;;;59;158.47;56.81;;53.88
;;;;;60;94.68;42.78;;53.91
;;;;;61;46.38;23.76;;53.95
;;;;;62;24.1;23.69;;54
;;;;;63;21.16;34.66;;54.04
;;;;;64;16.68;34.46;;54.08
;;;;;65;227.47;48.74;;54.12
;;;;;66;272;59.62;;54.18
;;;;;67;201.56;64.02;;54.26
;;;;;68;152.45;59.8;;54.33
;;;;;69;77.55;35.76;;54.39
;;;;;70;71.36;76.05;;54.44
;;;;;71;84.19;92.46;;54.49
;;;;;72;59.28;66.78;;54.51
;;;;;73;50.67;43.3;;54.5
;;;;;74;132.02;37.78;;54.48
;;;;;75;183.8;61.17;;54.45
;;;;;76;174.59;78.5;;54.29
;;;;;77;112.05;59.48;;53.03
;;;;;78;59.45;26.89;;48.04
;;;;;79;54.42;29.62;;37.48
;;;;;80;13.28;35.28;;22.4
;;;;;81;97.25;46.08;;4.25
;;;;;82;160.03;53.87;;-16.34
;;;;;83;169.82;53.25;;-34.79
;;;;;84;132.32;44.53;;-46.91
;;;;;85;72.79;34.61;;-54.31
;;;;;86;33.36;25.09;;-59.22
;;;;;87;33.18;26.95;;-62.43
;;;;;88;34.25;28.67;;-63.99
;;;;;89;108.06;36.6;;-64.14
;;;;;90;161.4;45.02;;-63.15
;;;;;91;159.91;55.67;;-61.21
;;;;;92;128.39;57.17;;-58.2
;;;;;93;93.16;45.92;;-53.93
;;;;;94;61.33;34.34;;-47.85
;;;;;95;53.1;30.77;;-38.75
;;;;;96;66.32;39.28;;-25.66
;;;;;97;66.41;36.58;;-8.68
;;;;;98;62.09;29.08;;9.38
;;;;;99;71.72;28.94;;25.72
;;;;;100;84.87;25.1;;40.7
;;;;;;101;;;54.92
;;;;;;102;;;67.67
;;;;;;103;;;78.61
;;;;;;104;;;88.05
;;;;;;105;;;92.58
;;;;;;106;;;89.85
;;;;;;107;;;84.53
;;;;;;108;;;81.25
;;;;;;109;;;80.18
;;;;;;110;;;79.02
;;;;;;111;;;75.38
;;;;;;112;;;68.34
;;;;;;113;;;59.5
;;;;;;114;;;50
;;;;;;115;;;39.4
;;;;;;116;;;27.4
;;;;;;117;;;13.97
;;;;;;118;;;-0.32
;;;;;;119;;;-14
;;;;;;120;;;-26.26
;;;;;;121;;;-38.02
;;;;;;122;;;-49.52
;;;;;;123;;;-59.11
;;;;;;124;;;-65.26
;;;;;;125;;;-68.01
;;;;;;126;;;-68.33
;;;;;;127;;;-67.41
;;;;;;128;;;-66.25
;;;;;;129;;;-64.76
;;;;;;130;;;-61.43
;;;;;;131;;;-55.16
;;;;;;132;;;-46.2
;;;;;;133;;;-34.75
;;;;;;134;;;-20.76
;;;;;;135;;;-4.86
;;;;;;136;;;11.3
;;;;;;137;;;27.33
;;;;;;138;;;43.41
;;;;;;139;;;58.68
;;;;;;140;;;72.26
;;;;;;141;;;83.06
;;;;;;142;;;90.59
;;;;;;143;;;93.98
;;;;;;144;;;92.97
;;;;;;145;;;90.32
;;;;;;146;;;88.01
;;;;;;147;;;85.83
;;;;;;148;;;82.91
;;;;;;149;;;78.3
;;;;;;150;;;72.88
;;;;;;151;;;67.5
;;;;;;152;;;61.31
;;;;;;153;;;53.74
;;;;;;154;;;43.99
;;;;;;155;;;31.39
;;;;;;156;;;18.14
;;;;;;157;;;7.01
;;;;;;158;;;-3.19
;;;;;;159;;;-15.1
;;;;;;160;;;-28.65
;;;;;;161;;;-41.85
;;;;;;162;;;-53.85
;;;;;;163;;;-63.6
;;;;;;164;;;-69.39
;;;;;;165;;;-71.44
;;;;;;166;;;-70.77
;;;;;;167;;;-68.42
;;;;;;168;;;-65.95
;;;;;;169;;;-63.73
