;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";83.9;203.2;5528.98;;0;32.22;8.75;0.05;63.13
"triceps_brachii_long_(right)";32.89;113.8;19046.88;;1;32.88;9.22;;62.86
;;;;;2;32.48;11.43;;62.68
;;;;;3;31.69;13.47;;62.57
;;;;;4;37.54;16.19;;62.45
;;;;;5;42.42;14.94;;62.33
;;;;;6;41.28;17.49;;62.19
;;;;;7;37.29;17.33;;62.02
;;;;;8;38.05;9.35;;61.91
;;;;;9;41.04;9.56;;61.81
;;;;;10;38.77;9.38;;61.68
;;;;;11;41.27;9.55;;61.59
;;;;;12;41.51;9.67;;61.51
;;;;;13;32.01;10.34;;61.41
;;;;;14;25.67;40.05;;61.24
;;;;;15;53.98;113.8;;60.96
;;;;;16;76.45;109.19;;60.76
;;;;;17;94.24;29.75;;60.82
;;;;;18;125.15;28.34;;61.21
;;;;;19;140.6;32.83;;61.85
;;;;;20;101.24;28.92;;62.47
;;;;;21;65.92;30.16;;62.78
;;;;;22;81.96;52.7;;62.61
;;;;;23;66.06;51.89;;62.24
;;;;;24;70.62;33.2;;62.06
;;;;;25;131.15;34.68;;62.08
;;;;;26;136.4;34.28;;62.14
;;;;;27;98.65;24.8;;62.14
;;;;;28;78.54;18.68;;62.24
;;;;;29;50.22;22.83;;62.44
;;;;;30;41.62;22.29;;62.35
;;;;;31;90.26;25.02;;61.9
;;;;;32;140.3;32.09;;61.65
;;;;;33;129.4;27.86;;62
;;;;;34;112.83;25.65;;62.65
;;;;;35;149.09;38.43;;63.12
;;;;;36;131.53;34.16;;63.15
;;;;;37;58.49;17.94;;62.72
;;;;;38;23.4;35.24;;61.99
;;;;;39;32.34;40.36;;61.21
;;;;;40;93.14;29.32;;60.63
;;;;;41;124.5;30.92;;60.25
;;;;;42;124.76;30.8;;59.84
;;;;;43;151.54;38.59;;59.31
;;;;;44;128.85;39.17;;58.9
;;;;;45;43.46;22.39;;58.85
;;;;;46;51.3;37.72;;59.69
;;;;;47;64.64;105.2;;61.65
;;;;;48;90.24;104.36;;63.86
;;;;;49;136.04;45.74;;65.64
;;;;;50;169.49;44.96;;67.07
;;;;;51;193.96;65.41;;68.02
;;;;;52;157.58;60;;68.52
;;;;;53;65.95;26.42;;68.77
;;;;;54;43.96;36.46;;69.01
;;;;;55;59.03;49.92;;69.39
;;;;;56;69.58;42.53;;69.85
;;;;;57;125.6;26.29;;70.13
;;;;;58;141.38;28.01;;69.97
;;;;;59;141.58;38.8;;69.43
;;;;;60;128.51;36.11;;68.76
;;;;;61;60.22;26.3;;68.27
;;;;;62;28.29;44.95;;68.08
;;;;;63;32.23;53.89;;68.04
;;;;;64;67.7;41.41;;67.98
;;;;;65;107.1;26.15;;67.89
