;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";105.92;297.2;5528.98;;0;64.19;7.27;0.05;100.13
"triceps_brachii_long_(right)";53.16;110.26;19046.88;;1;83.72;9.06;;100.08
;;;;;2;86.66;9.59;;99.96
;;;;;3;66.71;8.38;;99.84
;;;;;4;68.71;10.35;;99.8
;;;;;5;70.97;10.17;;99.77
;;;;;6;68.15;8.44;;99.68
;;;;;7;62.42;8.39;;99.5
;;;;;8;53.91;8.06;;99.23
;;;;;9;59.2;7.39;;98.87
;;;;;10;64.92;6.94;;98.04
;;;;;11;57.01;6.48;;96.77
;;;;;12;40.75;51.26;;96.14
;;;;;13;105.85;98.69;;96.35
;;;;;14;187.73;93.01;;96.79
;;;;;15;285.02;58.29;;97.24
;;;;;16;251.67;67.84;;97.55
;;;;;17;88.44;53.99;;97.67
;;;;;18;38.05;59.3;;97.6
;;;;;19;163.69;69.11;;97.33
;;;;;20;214.64;54.82;;96.87
;;;;;21;151.97;53.94;;96.16
;;;;;22;71.66;62.24;;95.29
;;;;;23;45.33;57.82;;94.27
;;;;;24;62.05;44.8;;93.25
;;;;;25;255.55;50.33;;92.45
;;;;;26;261.6;51.6;;91.88
;;;;;27;100.73;69.4;;91.5
;;;;;28;61.65;62.03;;91.3
;;;;;29;17.27;80.26;;91.1
;;;;;30;34.94;84.7;;90.87
;;;;;31;118.2;51.54;;90.65
;;;;;32;127.14;53.06;;90.43
;;;;;33;89.45;76.67;;90.24
;;;;;34;70.02;70.37;;90.06
;;;;;35;16.82;25.26;;89.85
;;;;;36;15.93;90.66;;89.6
;;;;;37;127.24;93.67;;89.35
;;;;;38;297.2;54.56;;89.13
;;;;;39;290.84;85.99;;88.94
;;;;;40;115.79;80;;88.78
;;;;;41;41.68;57.9;;88.59
;;;;;42;36.11;56.05;;88.36
;;;;;43;55.66;34.8;;88.14
;;;;;44;192.2;43.29;;87.97
;;;;;45;209.84;89.15;;87.87
;;;;;46;140.7;100.61;;87.83
;;;;;47;108.11;70.66;;87.76
;;;;;48;53.55;55.15;;87.63
;;;;;49;56.95;76.7;;87.45
;;;;;50;161.05;70.7;;87.32
;;;;;51;226.69;45.14;;87.26
;;;;;52;178.64;83.04;;87.21
;;;;;53;78.43;86.26;;87.12
;;;;;54;46.63;56.42;;87.06
;;;;;55;31.23;51.52;;87.14
;;;;;56;93.05;40.95;;87.37
;;;;;57;131.99;49.49;;87.67
;;;;;58;126.48;67.03;;87.86
;;;;;59;112.79;79.7;;87.87
;;;;;60;78.15;67.82;;87.78
