;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";67.97;179.52;5528.98;;0;29.85;18.29;0.05;78.25
"triceps_brachii_long_(right)";38.25;81.92;19046.88;;1;29.46;18.64;;78.29
;;;;;2;27.09;16.7;;78.25
;;;;;3;29.96;18.26;;78.17
;;;;;4;34.48;20.09;;78.12
;;;;;5;33.15;20.38;;78.12
;;;;;6;29.11;21.23;;78.13
;;;;;7;28.76;21.87;;78.14
;;;;;8;29.66;22.4;;78.14
;;;;;9;29.84;21.72;;78.15
;;;;;10;33.91;20.72;;78.15
;;;;;11;41.31;20.92;;78.13
;;;;;12;36.93;20.42;;78.11
;;;;;13;28.05;19.5;;78.14
;;;;;14;27.77;19.32;;78.2
;;;;;15;29.01;17.93;;78.26
;;;;;16;32.48;17.98;;78.33
;;;;;17;34.4;19.26;;78.35
;;;;;18;34.11;18.66;;78.29
;;;;;19;31.78;19.9;;78.22
;;;;;20;31.86;22.24;;78.21
;;;;;21;27.47;28.1;;78.19
;;;;;22;26.89;26.8;;78.18
;;;;;23;32.18;20.89;;78.19
;;;;;24;44.26;18.24;;78.21
;;;;;25;84.34;20.17;;78.23
;;;;;26;99.45;25.09;;78.25
;;;;;27;107.49;27.6;;78.25
;;;;;28;154.47;66.83;;78.24
;;;;;29;153.86;73.07;;78.24
;;;;;30;93.62;40.14;;78.29
;;;;;31;45.33;20.64;;78.35
;;;;;32;28.18;15.7;;78.34
;;;;;33;47.27;19;;78.28
;;;;;34;46.47;49.75;;78.25
;;;;;35;23.8;74.18;;78.23
;;;;;36;37.67;64.84;;78.23
;;;;;37;156.47;49.79;;78.24
;;;;;38;179.52;49.62;;78.19
;;;;;39;141.28;44.73;;78.1
;;;;;40;143.91;58.58;;78.03
;;;;;41;113.57;55.92;;78
;;;;;42;71.28;36.91;;78
;;;;;43;55.29;58.3;;78
;;;;;44;45.4;57.33;;77.98
;;;;;45;98.1;54.88;;77.98
;;;;;46;95.97;62.32;;78.02
;;;;;47;25.4;44.22;;78.01
;;;;;48;118.07;35.34;;77.99
;;;;;49;143.62;32.21;;78.02
;;;;;50;120.1;30.17;;78.07
;;;;;51;122.44;43.61;;78.11
;;;;;52;116.8;57.08;;78.16
;;;;;53;92.54;52.73;;78.17
;;;;;54;54.42;32.85;;78.17
;;;;;55;33.19;17.94;;78.19
;;;;;56;32;18.73;;78.18
;;;;;57;22.5;22.33;;78.12
;;;;;58;15.11;29.17;;77.97
;;;;;59;68.18;28.24;;77.81
;;;;;60;95.99;28.42;;77.71
;;;;;61;108.66;38.2;;77.67
;;;;;62;115.06;47.65;;77.66
;;;;;63;139.5;67.57;;77.66
;;;;;64;129.64;65.07;;77.72
;;;;;65;68.94;33.94;;77.81
;;;;;66;38.04;16.01;;77.88
;;;;;67;40.13;16.14;;77.95
;;;;;68;51.45;44.08;;77.99
;;;;;69;42.43;63.92;;78.02
;;;;;70;31.12;52.59;;78.08
;;;;;71;89.24;31.92;;78.13
;;;;;72;122.5;33.06;;78.15
;;;;;73;136.31;40.91;;78.16
;;;;;74;122.06;44.03;;78.17
;;;;;75;73.86;35.12;;78.2
;;;;;76;44.29;24.12;;78.24
;;;;;77;22.71;15.37;;78.22
;;;;;78;25.67;14.78;;78.16
;;;;;79;27.84;19.26;;78.15
;;;;;80;22.27;37.39;;78.15
;;;;;81;26.25;48.87;;78.15
;;;;;82;77.36;45.87;;78.12
;;;;;83;103.45;47.01;;78.06
;;;;;84;112.22;54.68;;78.02
;;;;;85;146.05;78.42;;77.98
;;;;;86;139.77;81.92;;77.93
;;;;;87;92.4;55.23;;77.87
;;;;;88;73.77;41.6;;77.81
;;;;;89;56.65;33;;77.76
;;;;;90;26.72;19.17;;77.7
;;;;;91;39.45;20.11;;77.6
;;;;;92;40.03;28.99;;77.5
;;;;;93;16.65;30.65;;77.57
;;;;;94;26.42;21.29;;77.86
;;;;;95;62.55;26.12;;78.32
;;;;;96;118.03;48.34;;78.78
;;;;;97;163.15;76.53;;79.1
