;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";59.96;160.11;5528.98;;0;20.51;17.55;0.05;71.09
"triceps_brachii_long_(right)";49.13;171.33;19046.88;;1;21;18.07;;71.13
;;;;;2;19.64;18.44;;71.19
;;;;;3;18.13;18.34;;71.2
;;;;;4;18.66;20.2;;71.2
;;;;;5;18.32;19.21;;71.21
;;;;;6;18.02;20.39;;71.19
;;;;;7;19.23;21.68;;71.09
;;;;;8;19.81;20.01;;70.98
;;;;;9;19.77;19.54;;70.93
;;;;;10;20.25;18.65;;70.95
;;;;;11;19.49;19.45;;70.98
;;;;;12;20.41;19.41;;70.99
;;;;;13;21.24;18.78;;70.99
;;;;;14;21.34;20.69;;70.99
;;;;;15;23.65;23;;70.98
;;;;;16;25.03;24.46;;70.98
;;;;;17;26.95;26.02;;70.93
;;;;;18;32.9;28.91;;70.81
;;;;;19;43.35;35.15;;70.68
;;;;;20;36.2;30.2;;70.65
;;;;;21;36.57;81.96;;70.69
;;;;;22;40.37;86.29;;70.69
;;;;;23;23.34;31.8;;70.61
;;;;;24;13.42;14.47;;70.47
;;;;;25;31.37;18.79;;70.34
;;;;;26;78.19;60.74;;70.19
;;;;;27;94.74;96.25;;69.98
;;;;;28;80.27;91.47;;69.75
;;;;;29;85.71;71;;69.57
;;;;;30;87.71;70.65;;69.52
;;;;;31;57.73;55.25;;69.52
;;;;;32;31.88;40.37;;69.49
;;;;;33;33.95;40.49;;69.49
;;;;;34;25.85;30.52;;69.55
;;;;;35;21.18;21.05;;69.67
;;;;;36;46.21;26.47;;69.8
;;;;;37;93.03;65.88;;69.93
;;;;;38;104.4;94.89;;70.14
;;;;;39;99.16;118.41;;70.49
;;;;;40;96.33;107.71;;70.88
;;;;;41;84.78;74.53;;71.12
;;;;;42;83.77;73.08;;71.16
;;;;;43;89.84;55.43;;71.15
;;;;;44;73.09;25.3;;71.16
;;;;;45;26.03;25.11;;71.14
;;;;;46;8.89;22.17;;71.02
;;;;;47;52.25;23.15;;70.87
;;;;;48;81.52;49.91;;70.74
;;;;;49;96.56;64.74;;70.6
;;;;;50;113.72;83.62;;70.48
;;;;;51;111.56;76.79;;70.41
;;;;;52;80.31;47.25;;70.4
;;;;;53;53.95;41.84;;70.4
;;;;;54;66.38;52.67;;70.35
;;;;;55;66.42;50.59;;70.3
;;;;;56;42.28;38.54;;70.34
;;;;;57;29.22;46.47;;70.48
;;;;;58;31.68;40.52;;70.62
;;;;;59;76.41;63.33;;70.63
;;;;;60;103.03;75.49;;70.55
;;;;;61;87.59;73.64;;70.52
;;;;;62;66.19;88.75;;70.55
;;;;;63;56.69;79.52;;70.59
;;;;;64;46.31;47.3;;70.63
;;;;;65;52.78;43.55;;70.7
;;;;;66;55.24;43.32;;70.79
;;;;;67;45.94;37.19;;70.87
;;;;;68;29.5;155.61;;70.94
;;;;;69;12.49;162.37;;70.98
;;;;;70;31.53;58.24;;70.99
;;;;;71;65.57;53.62;;70.99
;;;;;72;88.49;79.35;;71.04
;;;;;73;104.18;87.35;;71.14
;;;;;74;92.28;66.26;;71.19
;;;;;75;80.58;30.52;;71.19
;;;;;76;107.61;24.56;;71.23
;;;;;77;98.14;24.55;;71.36
;;;;;78;64.15;19.38;;71.56
;;;;;79;47.89;16.31;;71.79
;;;;;80;31.32;16.26;;72.02
;;;;;81;63.72;32.4;;72.24
;;;;;82;90.3;58.2;;72.53
;;;;;83;96.78;67.49;;72.85
;;;;;84;102.16;72.96;;73.05
;;;;;85;102.72;70.99;;73.09
;;;;;86;98.9;45.05;;73.12
;;;;;87;137.5;44.11;;73.26
;;;;;88;160.11;44.55;;73.4
;;;;;89;135.25;19.72;;73.43
;;;;;90;91.13;17.18;;73.35
;;;;;91;50.58;22.42;;73.22
;;;;;92;41.4;22.1;;73.16
;;;;;93;52.85;32.75;;73.28
;;;;;94;85.71;57.79;;73.58
;;;;;95;110.22;67.87;;74.01
;;;;;96;116.81;83.03;;74.58
;;;;;97;106.71;73.38;;75.22
;;;;;98;107.62;39.84;;75.91
;;;;;99;98.94;35.27;;76.82
;;;;;100;78.64;39.48;;78.14
;;;;;101;67.57;39.35;;79.88
;;;;;102;33.65;21.45;;81.77
;;;;;103;35.36;34.25;;83.6
;;;;;104;61.12;45.66;;85.22
;;;;;105;75.58;47.82;;85.98
;;;;;106;77.63;49.1;;84.7
;;;;;107;81.27;76.16;;80.69
;;;;;108;75.4;79.15;;74.62
;;;;;109;68.45;42.45;;66.73
;;;;;110;105.13;40.28;;56.98
;;;;;111;116.74;39.48;;45.72
;;;;;112;91.33;19.76;;32.53
;;;;;113;65.3;26.24;;17.89
;;;;;114;34.11;37.41;;4.56
;;;;;115;27.67;54.67;;-6.09
;;;;;116;60.22;69.1;;-15.74
;;;;;117;79.93;69.38;;-24.73
;;;;;118;80.21;67.35;;-32.02
;;;;;119;71.83;77.56;;-37.45
;;;;;120;64.63;72.57;;-41.23
;;;;;121;64.75;57.65;;-43.09
;;;;;122;59.11;54.09;;-42.94
;;;;;123;48;52.88;;-41.24
;;;;;124;48.96;45.2;;-38.59
;;;;;125;40.91;85.83;;-35.48
;;;;;126;15.84;168.07;;-32.21
;;;;;127;40.47;171.33;;-29.02
;;;;;128;86.18;77.25;;-26.33
;;;;;129;92.44;63.88;;-24.37
;;;;;130;81.24;72.19;;-22.93
;;;;;131;82.12;71.87;;-21.65
;;;;;132;67.3;56.84;;-20.46
;;;;;133;51.15;41.97;;-19.22
;;;;;134;38.17;29.96;;-17.25
;;;;;135;31.62;25.81;;-13.57
;;;;;136;33.01;25.14;;-7.27
;;;;;137;30.99;21.25;;1.75
;;;;;138;29.69;20.71;;12.38
;;;;;139;29.73;20.85;;24.04
;;;;;140;23.68;18.65;;37.29
;;;;;141;22.2;16.9;;51.24
;;;;;142;26.36;18.43;;64.1
;;;;;143;26.56;17.37;;75.54
;;;;;144;21.38;12.96;;85.85
;;;;;;145;;;94.85
;;;;;;146;;;102.63
;;;;;;147;;;109.31
;;;;;;148;;;113.16
;;;;;;149;;;112.47
;;;;;;150;;;107.85
;;;;;;151;;;101.58
;;;;;;152;;;95.64
;;;;;;153;;;90.98
;;;;;;154;;;88.03
;;;;;;155;;;86.66
;;;;;;156;;;86.5
;;;;;;157;;;86.69
;;;;;;158;;;86.5
;;;;;;159;;;86.03
;;;;;;160;;;85.45
;;;;;;161;;;84.21
;;;;;;162;;;81.01
;;;;;;163;;;75.08
;;;;;;164;;;66.58
;;;;;;165;;;54.84
;;;;;;166;;;40.28
;;;;;;167;;;25.19
;;;;;;168;;;10.69
;;;;;;169;;;-1.82
;;;;;;170;;;-11.94
;;;;;;171;;;-21.03
;;;;;;172;;;-29.35
;;;;;;173;;;-35.75
;;;;;;174;;;-38.88
;;;;;;175;;;-39.21
;;;;;;176;;;-38.61
;;;;;;177;;;-37.57
;;;;;;178;;;-35.46
;;;;;;179;;;-32.47
;;;;;;180;;;-29.31
;;;;;;181;;;-26.67
;;;;;;182;;;-24.74
;;;;;;183;;;-23.19
;;;;;;184;;;-22.11
;;;;;;185;;;-21.39
;;;;;;186;;;-19.86
;;;;;;187;;;-16.27
;;;;;;188;;;-9.98
;;;;;;189;;;-1.2
;;;;;;190;;;9.03
;;;;;;191;;;19.16
;;;;;;192;;;28.24
;;;;;;193;;;36.83
;;;;;;194;;;45.49
;;;;;;195;;;53.98
;;;;;;196;;;62.5
;;;;;;197;;;71.23
;;;;;;198;;;79.35
;;;;;;199;;;86.2
;;;;;;200;;;91.48
;;;;;;201;;;94.48
;;;;;;202;;;95.27
;;;;;;203;;;93.94
;;;;;;204;;;90.89
;;;;;;205;;;87.67
;;;;;;206;;;84.92
;;;;;;207;;;82.56
;;;;;;208;;;80.98
;;;;;;209;;;80.49
;;;;;;210;;;80.72
;;;;;;211;;;80.98
;;;;;;212;;;81.11
;;;;;;213;;;81.25
;;;;;;214;;;81.09
;;;;;;215;;;79.72
;;;;;;216;;;76.06
;;;;;;217;;;69.9
;;;;;;218;;;61.41
;;;;;;219;;;49.89
;;;;;;220;;;36.22
;;;;;;221;;;23.43
;;;;;;222;;;13.21
;;;;;;223;;;4.89
;;;;;;224;;;-3
;;;;;;225;;;-11.07
;;;;;;226;;;-18.78
;;;;;;227;;;-25.56
;;;;;;228;;;-31.49
;;;;;;229;;;-36.65
;;;;;;230;;;-40.03
;;;;;;231;;;-40.41
;;;;;;232;;;-38.85
;;;;;;233;;;-36.99
;;;;;;234;;;-35.04
;;;;;;235;;;-32.9
;;;;;;236;;;-30.65
;;;;;;237;;;-28.37
;;;;;;238;;;-26.54
;;;;;;239;;;-25.75
;;;;;;240;;;-25.58
;;;;;;241;;;-24.95
;;;;;;242;;;-22.98
;;;;;;243;;;-18.88
;;;;;;244;;;-12.13
;;;;;;245;;;-3.08
