;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_lateral_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_lateral_(right)
"biceps_brachii_(right)";156.49;313.26;5528.98;;0;55.56;17.61;0.05;81.46
"triceps_brachii_lateral_(right)";133.86;341.01;341.01;;1;57.34;18.29;;81.51
;;;;;2;59.54;19.7;;81.54
;;;;;3;55.26;16.78;;81.51
;;;;;4;49.4;16.2;;81.45
;;;;;5;50.18;17.64;;81.4
;;;;;6;51.15;16.79;;81.35
;;;;;7;51.92;17.15;;81.29
;;;;;8;52.47;17.78;;81.23
;;;;;9;47.1;17.36;;81.19
;;;;;10;41.92;14.99;;81.18
;;;;;11;40.37;12.62;;81.2
;;;;;12;45.99;20.65;;81.21
;;;;;13;66.75;27.29;;81.19
;;;;;14;65.3;27.2;;81.14
;;;;;15;92.17;139.61;;81.09
;;;;;16;131.32;152.5;;81.04
;;;;;17;131.29;95.41;;80.99
;;;;;18;169.87;158.36;;80.97
;;;;;19;192.51;179.88;;80.88
;;;;;20;137.22;113.4;;80.78
;;;;;21;88.29;118.31;;80.72
;;;;;22;119.93;136.71;;80.72
;;;;;23;146.51;84.68;;80.76
;;;;;24;139.82;130.23;;80.83
;;;;;25;209.97;211.02;;80.92
;;;;;26;201.08;175.73;;80.98
;;;;;27;117.71;128.02;;80.97
;;;;;28;120.47;185.35;;80.88
;;;;;29;114.48;142.57;;80.77
;;;;;30;142.48;77.33;;80.71
;;;;;31;262.82;233.58;;80.7
;;;;;32;276.02;246.91;;80.7
;;;;;33;154.12;126.31;;80.72
;;;;;34;140.42;129.1;;80.74
;;;;;35;178.3;133.75;;80.78
;;;;;36;163.07;108.48;;80.84
;;;;;37;264.88;233.94;;81
;;;;;38;262.18;242.33;;81.27
;;;;;39;114.45;159.12;;81.52
;;;;;40;134.92;206.54;;81.7
;;;;;41;192.57;175.49;;81.84
;;;;;42;210.79;114.1;;81.74
;;;;;43;258.05;192.33;;81.22
;;;;;44;234.63;176.66;;80.61
;;;;;45;140.02;197.99;;80.57
;;;;;46;143.62;209.1;;81.23
;;;;;47;189.86;110.66;;82.01
;;;;;48;187.33;157.42;;82.6
;;;;;49;271.49;263.11;;82.89
;;;;;50;261.18;227.46;;82.88
;;;;;51;96.93;139.81;;82.69
;;;;;52;159.73;177.8;;82.47
;;;;;53;178.96;129.08;;82.32
;;;;;54;141.53;104.09;;82.36
;;;;;55;264.19;211.9;;82.68
;;;;;56;268.54;209.05;;82.93
;;;;;57;131.73;100.11;;82.86
;;;;;58;161.9;153.35;;82.8
;;;;;59;152.1;151.67;;82.9
;;;;;60;148.18;108.25;;83.11
;;;;;61;234.93;158.22;;83.31
;;;;;62;255.46;226.73;;83.23
;;;;;63;179.74;199.08;;82.88
;;;;;64;194.35;153.47;;82.44
;;;;;65;188.43;161.69;;82.01
;;;;;66;111.71;81.03;;81.84
;;;;;67;179.46;130.7;;81.98
;;;;;68;255.13;341.01;;82.3
;;;;;69;219.86;318.73;;82.71
;;;;;70;80.85;107.42;;83.31
;;;;;71;138.88;144.39;;84.07
;;;;;72;159.12;121.68;;84.81
;;;;;73;153.55;197.05;;85.38
;;;;;74;295.52;338.46;;85.54
;;;;;75;313.26;289.85;;84.91
;;;;;76;199.19;72.64;;82.97
;;;;;77;180.33;52.21;;79.37
;;;;;78;175.44;44.23;;73.66
;;;;;79;158.01;35.83;;64.99
;;;;;80;212.59;31.66;;52.74
;;;;;;81;;;36.91
;;;;;;82;;;17.54
;;;;;;83;;;-5.29
;;;;;;84;;;-27.62
;;;;;;85;;;-44.12
;;;;;;86;;;-53.26
;;;;;;87;;;-56.64
;;;;;;88;;;-56
;;;;;;89;;;-50.64
;;;;;;90;;;-40.21
;;;;;;91;;;-25.88
;;;;;;92;;;-10.22
;;;;;;93;;;4.83
;;;;;;94;;;19.73
;;;;;;95;;;34.78
;;;;;;96;;;48.99
;;;;;;97;;;61.57
