;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";67.72;160.87;5528.98;;0;17.32;22.63;0.05;95.01
"triceps_brachii_long_(right)";46.38;101.61;19046.88;;1;17.24;23.68;;95.67
;;;;;2;19.7;37.74;;96.9
;;;;;3;20.13;36.88;;98.21
;;;;;4;17.64;25.72;;99.03
;;;;;5;17.64;28.22;;99.19
;;;;;6;17.18;28.38;;98.92
;;;;;7;30.43;30.82;;98.51
;;;;;8;42.73;52.96;;98.16
;;;;;9;34.2;50.26;;97.96
;;;;;10;18.35;22.89;;97.96
;;;;;11;19.48;24.95;;98.05
;;;;;12;20.44;25.04;;97.96
;;;;;13;19.84;22.26;;97.67
;;;;;14;19.18;21.44;;97.33
;;;;;15;19.05;22.17;;97.05
;;;;;16;20.52;24.16;;96.35
;;;;;17;21.25;23.97;;94.82
;;;;;18;19.65;22.64;;92.78
;;;;;19;20.73;22.86;;90.48
;;;;;20;21.76;24.38;;88.54
;;;;;21;21.92;22.85;;87.38
;;;;;22;20.88;22.99;;86.69
;;;;;23;18.09;24.61;;85.89
;;;;;24;19.96;24.85;;84.73
;;;;;25;21.96;24.05;;83.58
;;;;;26;21.8;22.46;;82.51
;;;;;27;31.63;23.44;;81.42
;;;;;28;36.15;35.42;;80.54
;;;;;29;58.8;60.73;;79.8
;;;;;30;118.55;67.75;;78.94
;;;;;31;128.16;51.44;;78.05
;;;;;32;92.43;43.19;;77.56
;;;;;33;74.35;41.46;;77.73
;;;;;34;53.16;32.94;;78.23
;;;;;35;35.14;38.31;;78.6
;;;;;36;71.21;64.34;;78.69
;;;;;37;93.01;65.89;;78.74
;;;;;38;96.79;50.51;;78.85
;;;;;39;104.08;51.08;;78.95
;;;;;40;78.77;41.06;;79.06
;;;;;41;36.13;32.09;;79.29
;;;;;42;41.02;63.42;;79.64
;;;;;43;42.11;78.65;;80.06
;;;;;44;88.66;60.54;;80.55
;;;;;45;131.97;43.23;;81.12
;;;;;46;124.53;46.62;;82.05
;;;;;47;89.77;45.72;;83.3
;;;;;48;64.38;36.31;;84.35
;;;;;49;49.7;32.59;;84.92
;;;;;50;46.11;50.46;;85.09
;;;;;51;39.75;74.51;;85
;;;;;52;78.58;67.46;;84.84
;;;;;53;109.07;57.1;;84.81
;;;;;54;109.42;59.8;;84.89
;;;;;55;108.21;55.12;;85.01
