;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";65.38;300.14;5528.98;;0;18.47;8.31;0.05;91.6
"triceps_brachii_long_(right)";49.63;162.71;19046.88;;1;17.53;8.21;;91.55
;;;;;2;17.69;8.1;;91.5
;;;;;3;17.3;7.93;;91.47
;;;;;4;17.76;7.74;;91.42
;;;;;5;18.52;8.07;;91.36
;;;;;6;17.46;8.05;;91.31
;;;;;7;17.55;8.36;;91.29
;;;;;8;19.88;8.47;;91.32
;;;;;9;19.8;8.29;;91.35
;;;;;10;18.09;8.75;;91.35
;;;;;11;20.6;9.55;;91.32
;;;;;12;21.71;9.06;;91.28
;;;;;13;19.16;7.32;;91.31
;;;;;14;17.54;7.5;;91.39
;;;;;15;18.48;8.12;;91.49
;;;;;16;19.83;7.86;;91.56
;;;;;17;20.16;7.82;;91.58
;;;;;18;20.93;7.52;;91.59
;;;;;19;20.25;8.07;;91.61
;;;;;20;18.42;8.55;;91.66
;;;;;21;18.64;8.85;;91.7
;;;;;22;17.69;32.09;;91.71
;;;;;23;16.11;73.24;;91.69
;;;;;24;45.17;143.43;;91.65
;;;;;25;112.68;155.32;;91.63
;;;;;26;148.22;94.92;;91.6
;;;;;27;127.57;40.83;;91.55
;;;;;28;76.91;85.35;;91.52
;;;;;29;40.48;120;;91.52
;;;;;30;264.86;104.86;;91.54
;;;;;31;300.14;65.13;;91.56
;;;;;32;155.39;40.15;;91.58
;;;;;33;66.58;56.07;;91.6
;;;;;34;40.71;99.11;;91.63
;;;;;35;26.83;90.9;;91.64
;;;;;36;27.95;47.29;;91.65
;;;;;37;81.57;41.5;;91.67
;;;;;38;119.22;38.13;;91.7
;;;;;39;106.84;41.17;;91.72
;;;;;40;69.25;57.24;;91.7
;;;;;41;58.77;159.46;;91.69
;;;;;42;49.41;162.71;;91.73
;;;;;43;62.4;71.47;;91.79
;;;;;44;86.51;48.23;;91.84
;;;;;45;88.27;77.46;;91.86
;;;;;46;87.06;80.91;;91.88
;;;;;47;67.03;74.7;;91.91
;;;;;48;48.29;94.93;;91.95
;;;;;49;67.23;110.06;;92
;;;;;50;129.05;90.55;;92.03
;;;;;51;149.75;38.46;;92.05
;;;;;52;95.61;39.95;;92.07
;;;;;53;29.02;68.65;;92.09
;;;;;54;30.9;87.14;;92.07
;;;;;55;46.08;111.59;;92.02
