;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";106.17;261.24;1621.75;;0;24.17;8.26;0.05;82.73
"triceps_brachii_long_(right)";50.47;187.01;19046.88;;1;23.66;8.83;;82.74
;;;;;2;28.25;10.41;;82.73
;;;;;3;28.87;10.32;;82.75
;;;;;4;24.27;8.59;;82.76
;;;;;5;23.35;7.93;;82.74
;;;;;6;22.81;7.67;;82.68
;;;;;7;21.7;8.17;;82.63
;;;;;8;23.43;7.59;;82.63
;;;;;9;24.04;7.79;;82.66
;;;;;10;22.11;8.54;;82.68
;;;;;11;21.41;8.03;;82.71
;;;;;12;19.62;8.2;;82.71
;;;;;13;20.17;8.54;;82.66
;;;;;14;23.26;8.71;;82.53
;;;;;15;23.21;7.92;;82.26
;;;;;16;20.83;8.24;;81.84
;;;;;17;22.42;9.2;;81.47
;;;;;18;23.27;8.39;;81.34
;;;;;19;21.99;8.19;;81.38
;;;;;20;21.35;8.44;;81.49
;;;;;21;21.56;8.62;;81.66
;;;;;22;21.3;9.3;;81.84
;;;;;23;21.02;9.3;;81.95
;;;;;24;20.39;19.72;;82.03
;;;;;25;36.63;28.63;;82.12
;;;;;26;181.37;62.06;;82.18
;;;;;27;245.12;68.18;;82.22
;;;;;28;219.52;39.11;;82.23
;;;;;29;147.78;29.74;;82.2
;;;;;30;61.05;39.24;;82.16
;;;;;31;91.12;167.94;;82.14
;;;;;32;144.92;169.21;;82.15
;;;;;33;231.54;60.9;;82.17
;;;;;34;259.95;53.56;;82.19
;;;;;35;175.26;28.64;;82.25
;;;;;36;56.91;45.88;;82.31
;;;;;37;72.06;161.91;;82.32
;;;;;38;135.03;165.85;;82.28
;;;;;39;204.83;63.53;;82.23
;;;;;40;233.03;34.75;;82.17
;;;;;41;174.29;20.38;;82.15
;;;;;42;78.61;26.82;;82.16
;;;;;43;88.38;143.98;;82.15
;;;;;44;161.52;163.25;;82.13
;;;;;45;186.47;85.79;;82.14
;;;;;46;227.79;36.72;;82.15
;;;;;47;206.26;27.45;;82.14
;;;;;48;79.94;18.84;;82.09
;;;;;49;63.06;115.49;;82.06
;;;;;50;98.24;182.4;;82.08
;;;;;51;191.43;145.58;;82.1
;;;;;52;248.13;43.34;;82.07
;;;;;53;242.55;33.27;;82.02
;;;;;54;171.58;28.05;;81.99
;;;;;55;52.82;60.63;;82
;;;;;56;86.9;180.36;;82
;;;;;57;154.7;176.44;;81.98
;;;;;58;187.85;54.33;;81.96
;;;;;59;233.06;43.92;;81.97
;;;;;60;200.04;30.69;;82
;;;;;61;99.67;25.73;;81.98
;;;;;62;117.25;154.31;;81.95
;;;;;63;144.61;187.01;;81.92
;;;;;64;173.45;112.95;;81.9
;;;;;65;195.93;47.42;;81.9
;;;;;66;220.51;39.09;;81.91
;;;;;67;170.37;53.26;;81.89
;;;;;68;85.36;155.48;;81.86
;;;;;69;147.61;159.37;;81.79
;;;;;70;206.64;70.45;;81.69
;;;;;71;248.8;44.31;;81.59
;;;;;72;209.63;33.32;;81.51
;;;;;73;108.69;37.45;;81.5
;;;;;74;87.6;111.36;;81.6
;;;;;75;137.26;129.96;;81.8
;;;;;76;201.94;82.42;;81.97
;;;;;77;261.24;46.74;;82.01
;;;;;78;232.54;36.91;;81.97
;;;;;79;110.7;29.18;;81.91
;;;;;80;69.9;71.05;;81.84
;;;;;81;119;93.32;;81.75
;;;;;82;164.9;69.57;;81.65
;;;;;83;191.71;36.55;;81.59
;;;;;84;185.73;31.84;;81.6
;;;;;85;124.35;23.78;;81.67
;;;;;86;55.5;13.82;;81.78
;;;;;87;51.71;12.46;;81.89
;;;;;88;39.88;10.6;;81.95
;;;;;89;37.8;10.03;;81.99
;;;;;90;36.55;11.03;;82.03
;;;;;91;30.96;11.25;;82.03
;;;;;92;30.19;10.24;;81.97
;;;;;93;30.26;9.6;;81.88
;;;;;94;28.96;9.46;;81.74
;;;;;95;28.3;9.01;;81.63
;;;;;96;29.41;8.54;;81.63
;;;;;97;27.63;8.75;;81.72
;;;;;98;26.83;9.1;;81.83
;;;;;99;28.37;9.2;;81.89
;;;;;100;27.09;9.33;;81.91
;;;;;;101;;;81.91
;;;;;;102;;;81.88
;;;;;;103;;;81.82
;;;;;;104;;;81.74
;;;;;;105;;;81.63
;;;;;;106;;;81.51
;;;;;;107;;;81.43
;;;;;;108;;;81.39
;;;;;;109;;;81.43
;;;;;;110;;;81.52
;;;;;;111;;;81.62
;;;;;;112;;;81.74
;;;;;;113;;;81.81
;;;;;;114;;;81.83
;;;;;;115;;;81.77
;;;;;;116;;;81.66
;;;;;;117;;;81.53
;;;;;;118;;;81.38
;;;;;;119;;;81.25
;;;;;;120;;;81.19
;;;;;;121;;;81.2
;;;;;;122;;;81.27
;;;;;;123;;;81.32
;;;;;;124;;;81.14
;;;;;;125;;;79.57
;;;;;;126;;;74.28
;;;;;;127;;;63.35
;;;;;;128;;;47
;;;;;;129;;;27.6
;;;;;;130;;;6.41
;;;;;;131;;;-15.76
;;;;;;132;;;-36.7
;;;;;;133;;;-54.06
;;;;;;134;;;-64.41
;;;;;;135;;;-67.38
;;;;;;136;;;-65.45
;;;;;;137;;;-58.66
;;;;;;138;;;-46.89
;;;;;;139;;;-31.16
