;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";69.38;173.66;5528.98;;0;33.27;10.39;0.05;67.09
"triceps_brachii_long_(right)";47.65;127.67;19046.88;;1;35.52;10.82;;67.12
;;;;;2;35.75;12.23;;67.13
;;;;;3;34.32;11.05;;67.13
;;;;;4;36.79;9.33;;67.15
;;;;;5;41.93;11.11;;67.22
;;;;;6;48.77;12.59;;67.29
;;;;;7;57.85;12.77;;67.32
;;;;;8;58.65;12.97;;67.3
;;;;;9;60.57;15.7;;67.26
;;;;;10;53.02;36.63;;67.22
;;;;;11;98.12;106.41;;67.22
;;;;;12;110.26;109.97;;67.27
;;;;;13;99.78;60.09;;67.34
;;;;;14;136.43;69.56;;67.4
;;;;;15;134.23;61.34;;67.39
;;;;;16;96.12;84.13;;67.37
;;;;;17;78.56;124.45;;67.38
;;;;;18;141.33;127.57;;67.4
;;;;;19;173.66;127.67;;67.32
;;;;;20;141.3;125.95;;67.2
;;;;;21;85.64;85.82;;67.16
;;;;;22;29.32;32.39;;67.22
;;;;;23;36.72;36.91;;67.31
;;;;;24;49.26;36.15;;67.39
;;;;;25;91.6;52.44;;67.41
;;;;;26;100.98;70.67;;67.43
;;;;;27;59.81;59.57;;67.5
;;;;;28;25.75;36.77;;67.63
;;;;;29;38.13;43.73;;67.61
;;;;;30;52.55;47.47;;67.38
;;;;;31;91.76;50.25;;67.07
;;;;;32;99.27;55.19;;66.93
;;;;;33;56.97;44.07;;67.14
;;;;;34;32.53;30.12;;67.79
;;;;;35;37.05;37.17;;68.85
;;;;;36;59.49;89.91;;70.16
;;;;;37;77.63;91.56;;71.57
;;;;;38;95.39;79.06;;72.81
;;;;;39;100.31;83.84;;73.67
;;;;;40;72.27;47.29;;74.13
