;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";34.11;89.24;5528.98;;0;36.49;7.26;0.05;70.18
"triceps_brachii_long_(right)";22.64;110.56;19046.88;;1;31.91;6.16;;70.09
;;;;;2;29.96;6.5;;69.85
;;;;;3;28.04;5.96;;69.24
;;;;;4;26.15;5.63;;68.46
;;;;;5;25.2;6.09;;67.85
;;;;;6;28.87;5.96;;67.39
;;;;;7;26.7;4.82;;66.97
;;;;;8;22.79;6.53;;66.37
;;;;;9;27.21;7.32;;65.52
;;;;;10;25.22;6.19;;64.68
;;;;;11;20.68;5.3;;64.21
;;;;;12;20.73;4.63;;64.26
;;;;;13;23.01;4.28;;64.69
;;;;;14;25.79;4.38;;65.08
;;;;;15;25.92;4.88;;65
;;;;;16;24.55;4.69;;64.16
;;;;;17;21.89;4.4;;63.07
;;;;;18;23.81;4.54;;62.39
;;;;;19;24.23;4.49;;61.79
;;;;;20;27.54;12.11;;60.79
;;;;;21;29.29;18.58;;59.75
;;;;;22;26.82;34.82;;59.2
;;;;;23;31.53;61.46;;59.2
;;;;;24;29.48;65.04;;59.58
;;;;;25;39.15;45.25;;59.95
;;;;;26;69.28;32.13;;59.75
;;;;;27;80.67;24;;58.81
;;;;;28;68.77;14.13;;57.77
;;;;;29;47.45;9.46;;57.33
;;;;;30;27.93;6.02;;57.06
;;;;;31;25.83;11.06;;56.69
;;;;;32;32.56;53.39;;56.4
;;;;;33;50.81;104.2;;55.79
;;;;;34;49.61;110.56;;54.71
;;;;;35;29.79;68.64;;53.41
;;;;;36;40.66;29.24;;52.45
;;;;;37;77.91;31.72;;52.13
;;;;;38;84.49;37.41;;52.26
;;;;;39;53.58;26.56;;52.36
;;;;;40;23.77;10.16;;52.08
;;;;;41;18.67;8.75;;51.66
;;;;;42;32.11;40.94;;51.57
;;;;;43;40.98;78.48;;51.73
;;;;;44;35.4;87.72;;51.88
;;;;;45;40.31;58.61;;52.17
;;;;;46;42.49;22.53;;52.85
;;;;;47;47.27;20.06;;53.57
;;;;;48;84.15;23.54;;53.47
;;;;;49;78.7;22.2;;53.06
;;;;;50;32.77;11.01;;53.32
;;;;;51;35.23;11.57;;54.05
;;;;;52;35.44;28.54;;55.01
;;;;;53;31.98;75.79;;55.94
;;;;;54;33.98;91.61;;56.54
;;;;;55;26.11;69.26;;56.72
;;;;;56;26.92;42.08;;56.76
;;;;;57;41.7;23.98;;56.98
;;;;;58;57.62;24.71;;57.53
;;;;;59;56.17;20.68;;58.41
;;;;;60;37.32;9.53;;59.31
;;;;;61;22.74;7.11;;59.86
;;;;;62;17.13;6.71;;60.12
;;;;;63;27.37;8.57;;60.32
;;;;;64;28.67;16.21;;60.55
;;;;;65;17.11;35.4;;60.83
;;;;;66;17.72;44.04;;61.07
;;;;;67;16.42;33.43;;61.17
;;;;;68;44.94;19.95;;61.17
;;;;;69;53.85;17.88;;61.13
;;;;;70;53.36;18.15;;61.1
;;;;;71;50.63;16.42;;61.16
;;;;;72;34.57;13.84;;61.28
;;;;;73;28.59;11.43;;61.32
;;;;;74;22.37;5.87;;61.13
;;;;;75;16.38;5.05;;60.8
;;;;;76;20.95;4.9;;60.48
;;;;;77;21.99;12.44;;60.32
;;;;;78;26.62;33.14;;60.38
;;;;;79;26.4;42.71;;60.55
;;;;;80;15.66;30.95;;60.7
;;;;;81;32.73;17.54;;60.82
;;;;;82;46.15;22.34;;60.93
;;;;;83;48.29;22.78;;61.04
;;;;;84;41.25;17.16;;61.14
;;;;;85;26.24;9;;61.23
;;;;;86;39.49;5.9;;61.32
;;;;;87;45.27;5.99;;61.39
;;;;;88;28.34;15.71;;61.45
;;;;;89;18.26;34.76;;61.49
;;;;;90;17.53;41.42;;61.47
;;;;;91;15.03;30.38;;61.42
;;;;;92;34.31;18.28;;61.34
;;;;;93;69.99;23.26;;61.24
;;;;;94;89.24;26.75;;61.16
;;;;;95;74.81;23.37;;61.13
;;;;;96;42.34;16.17;;61.15
;;;;;97;22.14;6.99;;61.19
;;;;;98;24.11;6.6;;61.2
;;;;;99;27.61;19.04;;61.17
;;;;;100;27.86;48.58;;61.21
;;;;;101;26.94;63.64;;61.36
;;;;;102;20.65;52.69;;61.65
;;;;;103;31.17;29.77;;62.07
;;;;;104;42.6;19.01;;62.57
;;;;;105;51.1;23.4;;62.93
;;;;;106;46.99;20.77;;62.73
;;;;;107;28.95;11.7;;61.46
;;;;;108;25;6.93;;58.35
;;;;;109;24.35;6.61;;52.33
;;;;;110;18.32;9.6;;42.95
;;;;;111;16.94;20.63;;30.38
;;;;;112;16.75;32.95;;16.64
;;;;;113;34.39;30.55;;3.61
;;;;;114;49.27;20.26;;-8.99
;;;;;115;50.44;19.56;;-20
;;;;;116;47.02;20.5;;-27.44
;;;;;117;42.24;16.95;;-31.77
;;;;;118;39.29;8.76;;-35.02
;;;;;119;34.47;7.75;;-38.05
;;;;;120;25.94;10.24;;-40.64
;;;;;121;19.57;18.89;;-42.71
;;;;;122;13.64;20.19;;-44.01
;;;;;123;11.44;17.32;;-44.58
;;;;;124;16.53;15.06;;-44.65
;;;;;125;39.45;15.2;;-44.28
;;;;;126;47.48;18.52;;-43.67
;;;;;127;44.99;17.92;;-42.97
;;;;;128;44.53;22.98;;-42.19
;;;;;129;34.83;22.66;;-41.4
;;;;;130;29.84;15.79;;-40.64
;;;;;131;28.23;11.9;;-39.97
;;;;;132;18.41;25.99;;-39.26
;;;;;133;17.62;52.2;;-37.9
;;;;;134;21.87;54.15;;-34.59
;;;;;135;32.7;32.11;;-28.28
;;;;;136;46.77;20.94;;-18.91
;;;;;137;45;18.96;;-6.93
;;;;;138;38.35;19.71;;6.81
;;;;;139;37.06;30.62;;20.97
;;;;;140;31.08;25.84;;34.06
;;;;;141;28.44;6.19;;45.05
;;;;;142;24.99;6.08;;54.2
;;;;;143;23.4;5.33;;62.44
;;;;;144;24.48;5.04;;69.91
;;;;;145;23.09;5.79;;76.11
;;;;;146;21.96;6.1;;80.97
;;;;;147;23.97;6.77;;85.28
;;;;;148;23.74;6.64;;89.09
;;;;;149;22.44;5.42;;91.56
;;;;;150;23.68;5.14;;92.31
;;;;;151;23.8;5.33;;91.75
;;;;;152;26.16;6.45;;90.65
;;;;;;153;;;89.56
;;;;;;154;;;88.68
;;;;;;155;;;88
;;;;;;156;;;87.43
;;;;;;157;;;86.89
;;;;;;158;;;86.17
;;;;;;159;;;84.97
;;;;;;160;;;83.25
;;;;;;161;;;80.75
;;;;;;162;;;76.25
;;;;;;163;;;68.57
;;;;;;164;;;57.34
;;;;;;165;;;42.94
;;;;;;166;;;26.94
;;;;;;167;;;12.01
;;;;;;168;;;-1.42
;;;;;;169;;;-15.03
;;;;;;170;;;-29.05
;;;;;;171;;;-42.11
;;;;;;172;;;-52.33
;;;;;;173;;;-59.58
;;;;;;174;;;-64.37
;;;;;;175;;;-66.17
;;;;;;176;;;-65.84
;;;;;;177;;;-64.72
;;;;;;178;;;-63.57
;;;;;;179;;;-62.42
;;;;;;180;;;-61.06
;;;;;;181;;;-60.04
;;;;;;182;;;-59.52
;;;;;;183;;;-59.24
;;;;;;184;;;-58
;;;;;;185;;;-54.79
;;;;;;186;;;-49.56
;;;;;;187;;;-42.25
;;;;;;188;;;-32.9
;;;;;;189;;;-21.71
;;;;;;190;;;-9.29
;;;;;;191;;;4
;;;;;;192;;;17.55
;;;;;;193;;;30.25
;;;;;;194;;;42.02
;;;;;;195;;;54.12
;;;;;;196;;;66.91
;;;;;;197;;;79.44
;;;;;;198;;;89.6
;;;;;;199;;;94.83
;;;;;;200;;;95.24
