;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";97.23;302.48;5528.98;;0;43.94;14.09;0.05;63.85
"triceps_brachii_long_(right)";63.66;167.13;19046.88;;1;38.58;13.81;;63.87
;;;;;2;43.85;15;;63.83
;;;;;3;43.42;14.02;;63.58
;;;;;4;42.44;14.17;;63.32
;;;;;5;47.94;14.37;;63.4
;;;;;6;45.49;12.88;;63.68
;;;;;7;45.89;14.55;;63.8
;;;;;8;50.07;18.02;;63.77
;;;;;9;47.99;20.29;;63.75
;;;;;10;64.02;53.77;;63.82
;;;;;11;69;70.82;;63.93
;;;;;12;76.29;82.96;;63.97
;;;;;13;95.5;101.3;;63.94
;;;;;14;99.28;120.76;;63.92
;;;;;15;89.69;115.06;;63.88
;;;;;16;146.3;69.58;;63.77
;;;;;17;141.68;32.73;;63.65
;;;;;18;82.7;42.97;;63.61
;;;;;19;104.94;65.37;;63.61
;;;;;20;102.05;80.96;;63.58
;;;;;21;73.42;67.16;;63.52
;;;;;22;47.45;36.64;;63.49
;;;;;23;66;34.68;;63.46
;;;;;24;89.92;50.34;;63.46
;;;;;25;114.7;75.59;;63.41
;;;;;26;161.14;76.55;;63.3
;;;;;27;148.04;55.98;;63.19
;;;;;28;74.16;39.14;;63.09
;;;;;29;66.04;28.72;;63.05
;;;;;30;93.22;54.54;;63.11
;;;;;31;113.38;99.82;;63.25
;;;;;32;161.64;111.02;;63.41
;;;;;33;158.03;80.26;;63.54
;;;;;34;87.54;42.33;;63.61
;;;;;35;224.21;35.71;;63.61
;;;;;36;230.01;55.07;;63.55
;;;;;37;148.73;121.76;;63.5
;;;;;38;187.66;134.57;;63.55
;;;;;39;165.63;87.61;;63.69
;;;;;40;107.54;54.12;;63.82
;;;;;41;62.17;77.17;;63.78
;;;;;42;93.8;84.29;;63.53
;;;;;43;112.47;75.92;;63.2
;;;;;44;111.03;96.13;;62.93
;;;;;45;88.26;85.9;;62.73
;;;;;46;46.91;51.88;;62.53
;;;;;47;89.6;111.21;;62.52
;;;;;48;106.72;125.51;;63.08
;;;;;49;111.09;92.35;;64.27
;;;;;50;117.82;75.86;;65.68
;;;;;51;106.28;45.42;;67.04
;;;;;52;86.98;37.02;;68.82
;;;;;53;89.21;36.28;;71.52
;;;;;54;102.28;45.21;;74.12
;;;;;55;87.34;74.45;;74.46
;;;;;56;98.2;122.19;;70.84
;;;;;57;86.94;104.88;;62.06
;;;;;58;38.38;28.23;;46.43
;;;;;59;36.32;34.81;;25.9
;;;;;60;84.33;86.27;;4.18
;;;;;61;213.48;105.93;;-17.69
;;;;;62;302.48;121.94;;-36.61
;;;;;63;268.44;113.26;;-47.55
;;;;;64;152.73;56.5;;-49.66
;;;;;65;80.2;44.31;;-46.52
;;;;;66;80.44;66.87;;-41.58
;;;;;67;101.42;102.81;;-35.6
;;;;;68;138.95;167.13;;-27.28
;;;;;69;161.93;162.53;;-16.19
;;;;;70;127.43;84.69;;-3.42
;;;;;71;67.07;40.6;;9.84
;;;;;72;58.54;30.9;;22.94
;;;;;73;49.45;32;;35.43
;;;;;74;40.1;31.74;;47.23
;;;;;75;42.64;27.36;;58.8
;;;;;76;43.51;25.75;;70.25
;;;;;77;34.84;29.27;;81.19
;;;;;78;33.69;31.78;;91.06
;;;;;79;38.34;30.9;;99
;;;;;80;44.06;30.26;;103.77
;;;;;;81;;;103
;;;;;;82;;;98.02
;;;;;;83;;;91.98
;;;;;;84;;;85.3
;;;;;;85;;;77.83
;;;;;;86;;;68.15
;;;;;;87;;;56.3
;;;;;;88;;;44.07
;;;;;;89;;;33.38
;;;;;;90;;;23.77
;;;;;;91;;;14.39
;;;;;;92;;;6.39
;;;;;;93;;;-1.76
;;;;;;94;;;-11.21
;;;;;;95;;;-19.79
;;;;;;96;;;-25.54
;;;;;;97;;;-28.01
;;;;;;98;;;-27.13
;;;;;;99;;;-22.99
;;;;;;100;;;-16.19
;;;;;;101;;;-7.32
;;;;;;102;;;3.5
;;;;;;103;;;15.69
;;;;;;104;;;28.14
;;;;;;105;;;40.48
;;;;;;106;;;52.54
;;;;;;107;;;63.57
;;;;;;108;;;72.98
;;;;;;109;;;81.14
;;;;;;110;;;87.97
;;;;;;111;;;92.38
;;;;;;112;;;93.11
;;;;;;113;;;89.76
;;;;;;114;;;84.02
;;;;;;115;;;77.59
;;;;;;116;;;69.74
;;;;;;117;;;59.34
;;;;;;118;;;47.16
;;;;;;119;;;34.7
;;;;;;120;;;22.32
;;;;;;121;;;11.48
;;;;;;122;;;2.95
;;;;;;123;;;-5.34
;;;;;;124;;;-14.11
;;;;;;125;;;-22.61
;;;;;;126;;;-29.54
;;;;;;127;;;-33.13
;;;;;;128;;;-32.82
;;;;;;129;;;-29.47
;;;;;;130;;;-23.4
;;;;;;131;;;-14.69
;;;;;;132;;;-3.92
;;;;;;133;;;7.98
;;;;;;134;;;19.9
;;;;;;135;;;31.27
;;;;;;136;;;42.41
;;;;;;137;;;53.36
;;;;;;138;;;63.47
;;;;;;139;;;72.55
;;;;;;140;;;79.97
;;;;;;141;;;84.33
;;;;;;142;;;84.8
;;;;;;143;;;82.35
;;;;;;144;;;78.09
;;;;;;145;;;72.82
;;;;;;146;;;66.12
;;;;;;147;;;56.73
;;;;;;148;;;45.79
;;;;;;149;;;34.73
;;;;;;150;;;23.89
;;;;;;151;;;14.64
;;;;;;152;;;7.1
;;;;;;153;;;-1.59
;;;;;;154;;;-13.02
;;;;;;155;;;-26.23
;;;;;;156;;;-37.25
;;;;;;157;;;-42.64
;;;;;;158;;;-42.67
;;;;;;159;;;-38.42
;;;;;;160;;;-30.92
;;;;;;161;;;-20.86
;;;;;;162;;;-8.65
;;;;;;163;;;4.38
;;;;;;164;;;16.95
;;;;;;165;;;28.64
;;;;;;166;;;39.26
;;;;;;167;;;48.9
;;;;;;168;;;58.02
;;;;;;169;;;67.01
;;;;;;170;;;75.57
;;;;;;171;;;81.43
;;;;;;172;;;83.09
;;;;;;173;;;81.62
;;;;;;174;;;78.16
;;;;;;175;;;72.85
;;;;;;176;;;65.15
;;;;;;177;;;55.36
;;;;;;178;;;44.46
;;;;;;179;;;33.37
;;;;;;180;;;22.29
;;;;;;181;;;11.9
;;;;;;182;;;2.41
;;;;;;183;;;-8.26
;;;;;;184;;;-21.01
;;;;;;185;;;-34.53
;;;;;;186;;;-46.34
;;;;;;187;;;-53.09
;;;;;;188;;;-51.88
;;;;;;189;;;-43.4
;;;;;;190;;;-30.48
;;;;;;191;;;-15.14
;;;;;;192;;;0.8
;;;;;;193;;;15.31
;;;;;;194;;;27.71
;;;;;;195;;;39.34
;;;;;;196;;;50.6
;;;;;;197;;;60.4
;;;;;;198;;;69.42
;;;;;;199;;;79.49
;;;;;;200;;;87.83
;;;;;;201;;;90.6
;;;;;;202;;;86.71
;;;;;;203;;;79.3
;;;;;;204;;;72.57
;;;;;;205;;;65.32
;;;;;;206;;;55.8
;;;;;;207;;;44.49
;;;;;;208;;;32.29
;;;;;;209;;;20.21
;;;;;;210;;;9.91
;;;;;;211;;;2.03
;;;;;;212;;;-5.25
;;;;;;213;;;-13.75
