;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";70.82;164.19;5528.98;;0;42.54;6.54;0.05;75.59
"triceps_brachii_long_(right)";29.32;152.11;19046.88;;1;43.17;6.78;;75.53
;;;;;2;52.14;7.48;;75.48
;;;;;3;51.49;7.21;;75.31
;;;;;4;42.51;6.95;;75.05
;;;;;5;38.77;6.48;;74.88
;;;;;6;38.65;5.98;;74.86
;;;;;7;40.23;6.71;;74.94
;;;;;8;43.13;7.33;;75.06
;;;;;9;43.15;6.86;;75.15
;;;;;10;40.64;6.24;;75.26
;;;;;11;40.05;6.47;;75.54
;;;;;12;39.74;7.37;;75.98
;;;;;13;46.6;7.5;;76.42
;;;;;14;51.48;7.13;;76.67
;;;;;15;45.15;9.5;;76.79
;;;;;16;32.73;24.14;;77.16
;;;;;17;85.02;89.42;;77.81
;;;;;18;89.63;152.11;;78.27
;;;;;19;107.29;137.06;;78.34
;;;;;20;164.19;63.36;;78.18
;;;;;21;158.08;31.02;;77.97
;;;;;22;114.66;17.32;;77.75
;;;;;23;91.43;13.35;;77.52
;;;;;24;72.38;22.36;;77.31
;;;;;25;49.2;25.22;;77.16
;;;;;26;79.2;37.63;;77.05
;;;;;27;91.5;53.05;;76.99
;;;;;28;72.75;54.91;;76.93
;;;;;29;93.65;43.44;;76.81
;;;;;30;119.74;24.66;;76.62
;;;;;31;121.55;19.54;;76.31
;;;;;32;103.42;18.96;;75.88
;;;;;33;80.19;14.6;;75.54
;;;;;34;66.16;12.77;;75.5
;;;;;35;65.54;28.55;;75.63
;;;;;36;83.6;41.14;;75.67
;;;;;37;95.31;41.06;;75.55
;;;;;38;100.29;37.03;;75.38
;;;;;39;108.3;42.1;;75.43
;;;;;40;110.15;39.87;;75.83
;;;;;41;116.98;23.74;;76.34
;;;;;42;113.43;14.39;;76.68
;;;;;43;93.64;15.04;;76.83
;;;;;44;78.42;16.78;;77.03
;;;;;45;58.73;14.39;;77.5
