;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";74.49;204.46;5528.98;;0;39.77;6.47;0.05;59.08
"triceps_brachii_long_(right)";21.49;131.65;19046.88;;1;40.45;5.91;;59.28
;;;;;2;38.24;5.64;;59.51
;;;;;3;37.17;5.49;;59.63
;;;;;4;35.35;5.17;;59.8
;;;;;5;34.52;4.98;;59.97
;;;;;6;35.67;5.01;;60
;;;;;7;34.05;5.22;;60.04
;;;;;8;32.77;5.49;;60.17
;;;;;9;34.52;5.52;;60.25
;;;;;10;35.01;5.05;;60.19
;;;;;11;33.62;4.97;;60.12
;;;;;12;36.57;4.99;;60.17
;;;;;13;39.35;5.12;;60.33
;;;;;14;37.2;5.17;;60.46
;;;;;15;32.27;4.91;;60.47
;;;;;16;32.72;4.92;;60.43
;;;;;17;35.24;5.36;;60.45
;;;;;18;34.16;5.36;;60.53
;;;;;19;31.93;5.01;;60.53
;;;;;20;42.53;5.21;;60.49
;;;;;21;38.64;24.87;;60.51
;;;;;22;49.25;129.3;;60.63
;;;;;23;68.28;131.65;;60.69
;;;;;24;97.01;43.13;;60.62
;;;;;25;113.96;27.76;;60.55
;;;;;26;104.36;13.68;;60.59
;;;;;27;115.44;12.38;;60.68
;;;;;28;131.14;30.49;;60.73
;;;;;29;107.89;30.55;;60.73
;;;;;30;57.97;12.2;;60.72
;;;;;31;34.42;18.71;;60.69
;;;;;32;45.97;23.44;;60.63
;;;;;33;61.25;20.66;;60.59
;;;;;34;48.63;22.75;;60.57
;;;;;35;22.95;24.1;;60.56
;;;;;36;67.95;20.03;;60.56
;;;;;37;107.17;18.33;;60.54
;;;;;38;135.52;16.04;;60.5
;;;;;39;166.68;16.83;;60.46
;;;;;40;146.16;27.42;;60.45
;;;;;41;79.15;23.89;;60.42
;;;;;42;48.28;21.47;;60.39
;;;;;43;56.79;24.51;;60.35
;;;;;44;66.38;16.97;;60.32
;;;;;45;47.8;19.79;;60.3
;;;;;46;24;37.47;;60.27
;;;;;47;49.35;39.81;;60.24
;;;;;48;87.25;25.17;;60.28
;;;;;49;105.24;17.55;;60.37
;;;;;50;118.26;16.13;;60.46
;;;;;51;123.76;25.17;;60.47
;;;;;52;92.44;23.8;;60.48
;;;;;53;48.03;18.05;;60.5
;;;;;54;43.54;27.93;;60.52
;;;;;55;45.12;27.03;;60.52
;;;;;56;36.69;40.69;;60.56
;;;;;57;42.03;76.38;;60.66
;;;;;58;68.84;67.35;;60.76
;;;;;59;87.62;13.21;;60.83
;;;;;60;97.39;9.22;;60.88
;;;;;61;102.13;18.07;;60.85
;;;;;62;94.92;20.14;;60.72
;;;;;63;73.1;11.63;;60.58
;;;;;64;59.48;7.45;;60.45
;;;;;65;65.21;18.01;;60.35
;;;;;66;96.29;19.44;;60.34
;;;;;67;84.89;25.73;;60.32
;;;;;68;21.79;37.15;;60.19
;;;;;69;22.9;34.48;;60.01
;;;;;70;59.63;22.58;;59.87
;;;;;71;115.18;19.01;;59.82
;;;;;72;157.05;19.21;;59.82
;;;;;73;150.7;29.57;;59.87
;;;;;74;99.73;27.66;;60
;;;;;75;50.04;12.18;;60.15
;;;;;76;27.68;22.73;;60.27
;;;;;77;58.68;20.78;;60.36
;;;;;78;59.75;15.74;;60.44
;;;;;79;26.5;38.26;;60.54
;;;;;80;21.22;47.74;;60.67
;;;;;81;77.48;36.62;;60.81
;;;;;82;195.96;23.82;;60.88
;;;;;83;204.46;19.69;;60.91
;;;;;84;160.58;28.03;;60.99
;;;;;85;162.94;28.85;;61.07
;;;;;86;105.3;12.7;;61.03
;;;;;87;46.55;19.25;;60.98
;;;;;88;32.95;21.05;;60.95
;;;;;89;45.41;13.47;;60.89
;;;;;90;68.14;12.14;;60.8
;;;;;91;55.67;17.45;;60.75
;;;;;92;32.17;23.61;;60.74
;;;;;93;151.69;28.68;;60.75
;;;;;94;197.48;30.86;;60.81
;;;;;95;169.96;27.51;;60.88
;;;;;96;136.85;19.86;;60.98
;;;;;97;91;10.04;;61.15
;;;;;98;50.97;6.27;;61.32
;;;;;99;49.66;17.49;;61.37
;;;;;100;58.72;19.27;;61.32
;;;;;101;73.51;11.96;;61.27
;;;;;102;133.94;12.55;;61.26
;;;;;103;145.59;12.96;;61.26
;;;;;104;99.25;10.72;;61.24
;;;;;105;129.26;10.58;;61.23
;;;;;106;140.85;34.63;;61.29
;;;;;107;99.19;38.68;;61.41
;;;;;108;73.79;19.62;;61.55
;;;;;109;55.51;4.92;;62.12
;;;;;110;40.99;6.75;;63.97
;;;;;111;36.77;24.83;;66.92
;;;;;112;62.18;24.74;;69.16
;;;;;113;76.21;12.08;;68.52
;;;;;114;82.48;13.58;;63.07
;;;;;115;101.32;12.54;;51.88
;;;;;116;113.49;13.42;;33.65
;;;;;117;128.86;15.5;;8.21
;;;;;118;149.68;89.99;;-17.14
;;;;;119;124.66;89.57;;-34.81
;;;;;120;67.68;9.19;;-46.12
;;;;;121;41.52;13.26;;-54.43
;;;;;122;38.18;43.25;;-60.68
;;;;;123;41.87;42.78;;-64.94
;;;;;124;57.91;20.7;;-67.32
;;;;;125;56.08;30.46;;-68
;;;;;126;51.87;31.19;;-67.05
;;;;;127;88.53;21.78;;-65.16
;;;;;128;119.87;15.87;;-62.86
;;;;;129;127.3;17.93;;-60.03
;;;;;130;119.54;56.41;;-56.51
;;;;;131;99.45;55.16;;-52.25
;;;;;132;67.05;7.98;;-47.14
;;;;;133;50.88;5.28;;-40.88
;;;;;134;51.08;5.24;;-33.12
;;;;;135;46.75;5.27;;-23.9
;;;;;136;43.38;4.96;;-13.05
;;;;;137;50.24;4.63;;-0.55
;;;;;138;50.53;5;;11.8
;;;;;139;45.31;5.03;;21.87
;;;;;140;41.8;4.89;;29.8
;;;;;141;44.36;4.7;;37.37
;;;;;142;49.96;4.51;;45.24
;;;;;143;50.91;4.84;;52.87
;;;;;144;48.5;5.42;;59.88
;;;;;;145;;;66.61
;;;;;;146;;;71.82
;;;;;;147;;;73.77
;;;;;;148;;;73.56
;;;;;;149;;;73.05
;;;;;;150;;;73.13
;;;;;;151;;;73.55
;;;;;;152;;;73.66
;;;;;;153;;;73.55
;;;;;;154;;;73.72
;;;;;;155;;;74.1
;;;;;;156;;;73.68
;;;;;;157;;;71.85
;;;;;;158;;;69.27
;;;;;;159;;;66.91
;;;;;;160;;;65.06
;;;;;;161;;;63.35
;;;;;;162;;;61.49
;;;;;;163;;;59.2
;;;;;;164;;;56.21
;;;;;;165;;;52.52
;;;;;;166;;;47.9
;;;;;;167;;;41.42
;;;;;;168;;;32
;;;;;;169;;;18.95
;;;;;;170;;;3.87
;;;;;;171;;;-10.2
;;;;;;172;;;-21.95
;;;;;;173;;;-31.47
;;;;;;174;;;-38.98
;;;;;;175;;;-44.85
;;;;;;176;;;-49.49
;;;;;;177;;;-53.1
;;;;;;178;;;-55.9
;;;;;;179;;;-58.1
;;;;;;180;;;-60.1
;;;;;;181;;;-62.01
;;;;;;182;;;-63.72
;;;;;;183;;;-65.39
;;;;;;184;;;-67
;;;;;;185;;;-68.55
;;;;;;186;;;-70.08
;;;;;;187;;;-71.28
;;;;;;188;;;-71.83
;;;;;;189;;;-71.58
;;;;;;190;;;-70.44
;;;;;;191;;;-68.45
;;;;;;192;;;-65.68
;;;;;;193;;;-61.96
;;;;;;194;;;-56.83
;;;;;;195;;;-49.46
;;;;;;196;;;-39.33
;;;;;;197;;;-26.95
;;;;;;198;;;-13.1
;;;;;;199;;;1.31
;;;;;;200;;;14.46
;;;;;;201;;;25.58
;;;;;;202;;;35.47
;;;;;;203;;;44.97
;;;;;;204;;;54.18
;;;;;;205;;;61.79
;;;;;;206;;;66.3
;;;;;;207;;;67.78
;;;;;;208;;;67.72
;;;;;;209;;;67.82
;;;;;;210;;;68.83
;;;;;;211;;;70.11
;;;;;;212;;;71.06
;;;;;;213;;;71.68
;;;;;;214;;;72.23
;;;;;;215;;;72.74
;;;;;;216;;;72.78
;;;;;;217;;;72.19
;;;;;;218;;;71.07
;;;;;;219;;;69.51
;;;;;;220;;;67.84
;;;;;;221;;;66.12
;;;;;;222;;;64.62
;;;;;;223;;;62.9
;;;;;;224;;;58.92
;;;;;;225;;;51.69
;;;;;;226;;;40.11
;;;;;;227;;;23.45
;;;;;;228;;;4.05
;;;;;;229;;;-13.38
;;;;;;230;;;-26.52
;;;;;;231;;;-36.7
;;;;;;232;;;-44.82
;;;;;;233;;;-51.15
;;;;;;234;;;-56.02
;;;;;;235;;;-59.96
;;;;;;236;;;-63.22
;;;;;;237;;;-65.44
;;;;;;238;;;-66.56
;;;;;;239;;;-67.27
;;;;;;240;;;-68.12
;;;;;;241;;;-69.26
;;;;;;242;;;-70.56
;;;;;;243;;;-71.83
;;;;;;244;;;-72.92
;;;;;;245;;;-73.21
;;;;;;246;;;-72.17
;;;;;;247;;;-69.91
;;;;;;248;;;-66.68
;;;;;;249;;;-62.45
;;;;;;250;;;-57.18
;;;;;;251;;;-50.57
;;;;;;252;;;-41.9
;;;;;;253;;;-30.56
;;;;;;254;;;-16.95
;;;;;;255;;;-2.92
;;;;;;256;;;9.3
;;;;;;257;;;19.31
;;;;;;258;;;27.94
;;;;;;259;;;35.29
;;;;;;260;;;41.93
;;;;;;261;;;49.28
;;;;;;262;;;58.18
;;;;;;263;;;66.05
;;;;;;264;;;69.58
;;;;;;265;;;69.31
;;;;;;266;;;67.96
;;;;;;267;;;67.66
;;;;;;268;;;68.47
;;;;;;269;;;69.44
;;;;;;270;;;70.2
;;;;;;271;;;70.93
;;;;;;272;;;71.63
;;;;;;273;;;71.9
;;;;;;274;;;71.56
;;;;;;275;;;70.66
;;;;;;276;;;69.44
;;;;;;277;;;68.41
;;;;;;278;;;67.94
;;;;;;279;;;67.18
;;;;;;280;;;65.16
;;;;;;281;;;61.83
;;;;;;282;;;57.02
;;;;;;283;;;50.1
;;;;;;284;;;41.08
;;;;;;285;;;30.74
;;;;;;286;;;19.13
;;;;;;287;;;6.4
;;;;;;288;;;-6.51
;;;;;;289;;;-18.61
;;;;;;290;;;-28.64
;;;;;;291;;;-35.92
;;;;;;292;;;-41.19
;;;;;;293;;;-45.43
;;;;;;294;;;-49.04
;;;;;;295;;;-51.82
;;;;;;296;;;-53.59
;;;;;;297;;;-54.45
;;;;;;298;;;-53.9
;;;;;;299;;;-51.51
;;;;;;300;;;-47.28
;;;;;;301;;;-40.99
;;;;;;302;;;-32.94
;;;;;;303;;;-23.51
;;;;;;304;;;-13.06
;;;;;;305;;;-2.5
;;;;;;306;;;6.96
;;;;;;307;;;14.44
;;;;;;308;;;20.58
;;;;;;309;;;26.55
;;;;;;310;;;32.21
;;;;;;311;;;37.05
;;;;;;312;;;41.65
;;;;;;313;;;47.03
;;;;;;314;;;53.01
;;;;;;315;;;58.5
;;;;;;316;;;62.96
;;;;;;317;;;65.86
;;;;;;318;;;67.18
;;;;;;319;;;68.18
;;;;;;320;;;69.72
;;;;;;321;;;71.42
;;;;;;322;;;72.91
;;;;;;323;;;74.36
;;;;;;324;;;75.64
;;;;;;325;;;76.61
;;;;;;326;;;77.41
;;;;;;327;;;78.14
;;;;;;328;;;78.63
;;;;;;329;;;78.4
;;;;;;330;;;77.33
;;;;;;331;;;75.84
;;;;;;332;;;74.23
;;;;;;333;;;72.17
;;;;;;334;;;69.43
;;;;;;335;;;65.69
;;;;;;336;;;60.2
;;;;;;337;;;52.36
;;;;;;338;;;41.97
;;;;;;339;;;28.7
;;;;;;340;;;13.34
;;;;;;341;;;-2.08
;;;;;;342;;;-16.18
;;;;;;343;;;-27.54
;;;;;;344;;;-35.87
;;;;;;345;;;-42.16
;;;;;;346;;;-46.94
;;;;;;347;;;-50.43
;;;;;;348;;;-53.11
;;;;;;349;;;-55.43
;;;;;;350;;;-57.54
;;;;;;351;;;-59.35
;;;;;;352;;;-60.98
;;;;;;353;;;-62.53
;;;;;;354;;;-63.96
;;;;;;355;;;-65.26
;;;;;;356;;;-66.43
;;;;;;357;;;-67.4
;;;;;;358;;;-68
;;;;;;359;;;-67.96
;;;;;;360;;;-66.97
;;;;;;361;;;-64.71
;;;;;;362;;;-60.84
;;;;;;363;;;-55.11
;;;;;;364;;;-47.14
;;;;;;365;;;-36.37
;;;;;;366;;;-22.02
;;;;;;367;;;-4.57
;;;;;;368;;;11.72
;;;;;;369;;;24.29
;;;;;;370;;;34.13
;;;;;;371;;;42.16
;;;;;;372;;;48.71
;;;;;;373;;;53.35
;;;;;;374;;;56.22
;;;;;;375;;;58.12
;;;;;;376;;;59.66
;;;;;;377;;;60.99
;;;;;;378;;;62.22
;;;;;;379;;;63.39
;;;;;;380;;;64.57
;;;;;;381;;;65.85
;;;;;;382;;;67.21
;;;;;;383;;;68.53
;;;;;;384;;;69.61
;;;;;;385;;;70.25
;;;;;;386;;;70.19
;;;;;;387;;;69.31
;;;;;;388;;;67.85
;;;;;;389;;;65.75
;;;;;;390;;;62.25
;;;;;;391;;;56.58
;;;;;;392;;;48.46
;;;;;;393;;;39.42
;;;;;;394;;;30.59
;;;;;;395;;;22.06
;;;;;;396;;;13.93
;;;;;;397;;;5.59
;;;;;;398;;;-3.22
;;;;;;399;;;-12.01
;;;;;;400;;;-19.92
;;;;;;401;;;-26.75
;;;;;;402;;;-33.22
;;;;;;403;;;-39.1
;;;;;;404;;;-43.77
;;;;;;405;;;-47.32
;;;;;;406;;;-50.04
;;;;;;407;;;-52.11
;;;;;;408;;;-53.79
;;;;;;409;;;-55.45
;;;;;;410;;;-57.2
;;;;;;411;;;-58.97
;;;;;;412;;;-60.68
;;;;;;413;;;-62.15
;;;;;;414;;;-63.22
;;;;;;415;;;-63.6
;;;;;;416;;;-63.01
;;;;;;417;;;-61.01
;;;;;;418;;;-57.08
;;;;;;419;;;-49.96
;;;;;;420;;;-37.92
;;;;;;421;;;-22.65
;;;;;;422;;;-7.88
;;;;;;423;;;5.54
;;;;;;424;;;17.09
;;;;;;425;;;26.1
;;;;;;426;;;33
;;;;;;427;;;39.01
;;;;;;428;;;45.29
;;;;;;429;;;51.03
;;;;;;430;;;55.48
;;;;;;431;;;58.83
;;;;;;432;;;61.91
;;;;;;433;;;65.04
;;;;;;434;;;67.37
;;;;;;435;;;68.85
;;;;;;436;;;70.35
;;;;;;437;;;72
;;;;;;438;;;73.55
;;;;;;439;;;74.96
;;;;;;440;;;76.16
;;;;;;441;;;77.25
;;;;;;442;;;78.24
;;;;;;443;;;78.73
;;;;;;444;;;78.54
;;;;;;445;;;77.9
;;;;;;446;;;76.72
;;;;;;447;;;75.05
;;;;;;448;;;73.09
;;;;;;449;;;71.01
;;;;;;450;;;68.52
;;;;;;451;;;65.41
;;;;;;452;;;62.11
;;;;;;453;;;58.69
;;;;;;454;;;54.57
;;;;;;455;;;49.44
;;;;;;456;;;43.49
;;;;;;457;;;36.35
;;;;;;458;;;28.08
;;;;;;459;;;18.27
;;;;;;460;;;6.78
;;;;;;461;;;-4.76
;;;;;;462;;;-15.38
;;;;;;463;;;-24.74
;;;;;;464;;;-32.41
;;;;;;465;;;-38.32
;;;;;;466;;;-43.43
;;;;;;467;;;-48.12
;;;;;;468;;;-51.8
;;;;;;469;;;-54.25
;;;;;;470;;;-55.76
;;;;;;471;;;-56.76
;;;;;;472;;;-57.38
;;;;;;473;;;-57.71
;;;;;;474;;;-57.76
;;;;;;475;;;-57.49
;;;;;;476;;;-56.79
;;;;;;477;;;-55.63
;;;;;;478;;;-53.48
;;;;;;479;;;-49.58
;;;;;;480;;;-42.13
;;;;;;481;;;-28.65
;;;;;;482;;;-9.27
;;;;;;483;;;10.91
;;;;;;484;;;25.92
;;;;;;485;;;35.34
;;;;;;486;;;41.58
;;;;;;487;;;46
;;;;;;488;;;49.07
;;;;;;489;;;51.04
;;;;;;490;;;52.48
;;;;;;491;;;53.98
;;;;;;492;;;55.69
;;;;;;493;;;57.43
;;;;;;494;;;59.02
;;;;;;495;;;60.46
;;;;;;496;;;61.92
;;;;;;497;;;63.51
;;;;;;498;;;65.06
;;;;;;499;;;66.35
;;;;;;500;;;67.31
;;;;;;501;;;67.87
;;;;;;502;;;68.06
;;;;;;503;;;67.91
;;;;;;504;;;67.53
;;;;;;505;;;67.19
;;;;;;506;;;66.29
;;;;;;507;;;64.27
;;;;;;508;;;61.38
;;;;;;509;;;57.35
;;;;;;510;;;51.68
;;;;;;511;;;44.37
;;;;;;512;;;35.84
;;;;;;513;;;26.89
;;;;;;514;;;17.72
;;;;;;515;;;8.16
;;;;;;516;;;-1.48
;;;;;;517;;;-9.93
;;;;;;518;;;-15.86
;;;;;;519;;;-19.07
;;;;;;520;;;-19.83
;;;;;;521;;;-17.92
;;;;;;522;;;-13.05
;;;;;;523;;;-5.99
;;;;;;524;;;2.25
;;;;;;525;;;10.95
;;;;;;526;;;19.68
;;;;;;527;;;27.97
;;;;;;528;;;35.18
;;;;;;529;;;41.11
;;;;;;530;;;46
;;;;;;531;;;49.88
;;;;;;532;;;52.45
;;;;;;533;;;54.12
;;;;;;534;;;55.67
;;;;;;535;;;57.41
;;;;;;536;;;59.57
;;;;;;537;;;62.33
;;;;;;538;;;65.83
;;;;;;539;;;69.95
;;;;;;540;;;73.67
