;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";105.13;312.4;1621.75;;0;23.68;11.89;0.05;62.29
"triceps_brachii_long_(right)";54.6;120.62;19046.88;;1;23.54;12.23;;62.2
;;;;;2;23.87;11.61;;62.15
;;;;;3;21.96;11.35;;62.13
;;;;;4;21.82;11.65;;62.08
;;;;;5;22.44;11.18;;61.99
;;;;;6;24.52;11.87;;61.89
;;;;;7;27.74;12.95;;61.8
;;;;;8;26.42;14.26;;61.73
;;;;;9;26.15;14.31;;61.71
;;;;;10;29.96;13.27;;61.77
;;;;;11;63.59;18.43;;61.79
;;;;;12;63.04;17.93;;61.73
;;;;;13;34.84;14.42;;61.69
;;;;;14;34.06;15.81;;61.71
;;;;;15;28.12;14.53;;61.78
;;;;;16;25.95;32.7;;61.88
;;;;;17;47.19;70.22;;61.95
;;;;;18;124.01;99.94;;61.96
;;;;;19;175.49;87.24;;61.93
;;;;;20;172.76;61.8;;61.92
;;;;;21;155.89;59.83;;61.94
;;;;;22;114.14;35.16;;61.93
;;;;;23;66.5;53.25;;61.88
;;;;;24;91.87;120.62;;61.84
;;;;;25;173.15;115.1;;61.86
;;;;;26;187.41;46.63;;61.84
;;;;;27;147.55;43.07;;61.77
;;;;;28;113.27;37.4;;61.71
;;;;;29;54.62;44.76;;61.74
;;;;;30;56.19;66.45;;61.85
;;;;;31;125.75;62.28;;61.97
;;;;;32;152.23;64.93;;62.08
;;;;;33;116.81;65.74;;62.18
;;;;;34;83.3;39.58;;62.24
;;;;;35;60.1;36.35;;62.26
;;;;;36;64.24;72.3;;62.27
;;;;;37;258.26;82.29;;62.29
;;;;;38;312.4;82.6;;62.29
;;;;;39;195.76;72.95;;62.3
;;;;;40;80.81;39.6;;62.3
;;;;;41;70.67;46.13;;62.28
;;;;;42;76.13;106.95;;62.26
;;;;;43;132.47;107.39;;62.23
;;;;;44;169.57;63.08;;62.12
;;;;;45;152.34;59.41;;61.92
;;;;;46;106.5;43.91;;61.79
;;;;;47;71.74;58.12;;61.85
;;;;;48;109.57;64.08;;62.05
;;;;;49;182.7;74.14;;62.27
;;;;;50;183.37;82.49;;62.46
;;;;;51;113.33;60.28;;62.6
;;;;;52;75.13;44.75;;62.63
;;;;;53;65.77;56.21;;62.53
;;;;;54;113.53;78.65;;62.36
;;;;;55;197.54;87.13;;62.22
;;;;;56;183.25;74.33;;62.08
;;;;;57;104.42;58.92;;61.93
;;;;;58;87.75;52.95;;61.8
;;;;;59;73.72;58.68;;61.71
;;;;;60;102.04;77.23;;61.62
;;;;;61;125.58;77.01;;61.47
;;;;;62;128.53;64.76;;61.32
;;;;;63;190.07;76.91;;61.46
;;;;;64;172.48;69.22;;61.83
;;;;;65;66.75;87.76;;62.19
;;;;;66;127.3;111.65;;62.43
;;;;;67;186.93;92.16;;62.41
;;;;;68;170.46;74.05;;62.21
;;;;;69;103.21;61.43;;62.05
;;;;;70;79.26;50.26;;62.04
;;;;;71;74.39;72.68;;62.14
;;;;;72;136.03;69.68;;62.26
;;;;;73;174.96;72.41;;62.33
;;;;;74;152.26;79.88;;62.34
;;;;;75;157.66;58.61;;62.28
;;;;;76;145.8;39.72;;62.2
;;;;;77;94.76;30.32;;62.12
;;;;;78;76.28;25.7;;62.06
;;;;;79;60.6;21.78;;61.99
;;;;;80;69.04;21.63;;61.99
;;;;;;81;;;62.08
;;;;;;82;;;62.21
;;;;;;83;;;62.28
;;;;;;84;;;62.25
;;;;;;85;;;62.22
;;;;;;86;;;62.26
;;;;;;87;;;62.24
;;;;;;88;;;62.02
;;;;;;89;;;61.02
;;;;;;90;;;57.12
;;;;;;91;;;48.31
;;;;;;92;;;35.67
;;;;;;93;;;20.53
;;;;;;94;;;3.89
;;;;;;95;;;-12.53
;;;;;;96;;;-26.73
;;;;;;97;;;-37.38
;;;;;;98;;;-44.34
;;;;;;99;;;-47.16
;;;;;;100;;;-45.78
;;;;;;101;;;-40.12
;;;;;;102;;;-30.31
;;;;;;103;;;-17.8
;;;;;;104;;;-5.61
;;;;;;105;;;5.55
;;;;;;106;;;17.19
;;;;;;107;;;28.59
;;;;;;108;;;38.23
;;;;;;109;;;46.09
;;;;;;110;;;53.07
;;;;;;111;;;59.08
;;;;;;112;;;63.72
;;;;;;113;;;66.91
;;;;;;114;;;68.64
;;;;;;115;;;69.22
;;;;;;116;;;68.66
;;;;;;117;;;67.11
;;;;;;118;;;64.74
;;;;;;119;;;60.68
;;;;;;120;;;53.99
;;;;;;121;;;44.66
;;;;;;122;;;33.96
;;;;;;123;;;22.57
;;;;;;124;;;10.75
;;;;;;125;;;-1.64
