;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";49.34;149.12;5528.98;;0;18.14;4.5;0.05;73.29
"triceps_brachii_long_(right)";28.37;248.81;19046.88;;1;20.89;4.61;;73.13
;;;;;2;18.56;4.56;;73.04
;;;;;3;17.92;4.66;;73.03
;;;;;4;19.08;4.48;;73.07
;;;;;5;18.73;4.15;;73.13
;;;;;6;19.36;4.45;;73.15
;;;;;7;19.87;4.65;;73.16
;;;;;8;19.6;4.23;;73.16
;;;;;9;19.59;4.23;;73.11
;;;;;10;20.99;4.81;;73
;;;;;11;21.8;4.62;;72.89
;;;;;12;20.9;4.22;;72.87
;;;;;13;19.33;4.54;;72.91
;;;;;14;16.99;5.13;;72.93
;;;;;15;17.22;5.03;;72.94
;;;;;16;19.94;4.67;;72.93
;;;;;17;23.79;5.23;;72.89
;;;;;18;22.37;5.06;;72.86
;;;;;19;18.49;4.19;;72.87
;;;;;20;19.73;13.91;;72.89
;;;;;21;28.9;16.86;;72.87
;;;;;22;54.1;11.12;;72.84
;;;;;23;60.4;44.24;;72.87
;;;;;24;144.6;46.13;;72.85
;;;;;25;149.12;15.04;;72.69
;;;;;26;69.44;11.75;;72.56
;;;;;27;57.15;11.93;;72.55
;;;;;28;41.92;7.55;;72.55
;;;;;29;30.96;7.44;;72.52
;;;;;30;31.62;10.05;;72.54
;;;;;31;31.61;10.06;;72.57
;;;;;32;40.23;18.74;;72.58
;;;;;33;42.86;52.3;;72.57
;;;;;34;45.65;53.82;;72.56
;;;;;35;70.55;23.45;;72.55
;;;;;36;82.74;12.8;;72.57
;;;;;37;72.26;11.19;;72.61
;;;;;38;56.24;11.57;;72.62
;;;;;39;61.06;13.99;;72.61
;;;;;40;76.71;11.72;;72.56
;;;;;41;59.62;47.2;;72.51
;;;;;42;52.99;69.98;;72.5
;;;;;43;55.07;105.68;;72.54
;;;;;44;54.24;157.15;;72.56
;;;;;45;56.46;131.91;;72.55
;;;;;46;57;38.91;;72.53
;;;;;47;100.14;22.98;;72.56
;;;;;48;93.68;14.57;;72.61
;;;;;49;49.41;14.27;;72.68
;;;;;50;44.19;11.73;;72.76
;;;;;51;35.48;7.25;;72.76
;;;;;52;25.81;8.79;;72.67
;;;;;53;23.94;8.92;;73.09
;;;;;54;71.1;155.17;;73.73
;;;;;55;72.9;248.81;;73.09
;;;;;56;28.85;209.03;;71.47
;;;;;57;21.83;89.75;;70.68
;;;;;58;89.18;51.05;;71.23
;;;;;59;135.37;24.63;;72.02
;;;;;60;123.76;11.34;;72.17
;;;;;61;80.53;12.61;;71.81
;;;;;62;59.72;12.89;;71.54
;;;;;63;46.83;8.23;;71.57
;;;;;64;29.65;9.08;;71.74
;;;;;65;42.87;22.72;;71.88
;;;;;66;44.68;62.81;;71.99
;;;;;67;31.28;70;;72.05
;;;;;68;26.63;44.77;;71.97
;;;;;69;90.73;27.44;;71.77
;;;;;70;119.52;14.79;;71.57
;;;;;71;99.93;9.05;;71.43
;;;;;72;70.33;8.7;;71.33
;;;;;73;48.41;8.61;;71.28
;;;;;74;40.85;7.16;;71.29
;;;;;75;23.83;9.05;;71.31
;;;;;76;22.79;9.25;;71.25
;;;;;77;28.31;14.75;;71.18
;;;;;78;26.32;24.75;;71.19
;;;;;79;20.02;24.99;;71.27
;;;;;80;14.24;18.18;;71.37
;;;;;81;40.2;16.79;;71.45
;;;;;82;101.1;15.97;;71.5
;;;;;83;126.82;17.39;;71.55
;;;;;84;96.36;17.32;;71.6
;;;;;85;62.93;13.17;;71.63
;;;;;86;57.69;8.65;;71.59
;;;;;87;41.64;7.52;;71.54
;;;;;88;31.32;8.49;;71.56
;;;;;89;28.05;79.85;;71.63
;;;;;90;21.22;91.73;;71.71
;;;;;91;16.89;59.88;;71.84
;;;;;92;44.12;41.99;;72.08
;;;;;93;70.85;21.82;;72.5
;;;;;94;68.18;19.22;;72.95
;;;;;95;58.19;15.82;;73.2
;;;;;96;66.81;11.66;;73.24
;;;;;97;59.94;7.85;;73.23
;;;;;98;36.44;6.62;;73.25
;;;;;99;21.21;6.91;;73.24
;;;;;100;42.39;19.08;;73.14
;;;;;101;47.79;161.8;;72.97
;;;;;102;29.52;177.96;;72.82
;;;;;103;28.03;80.23;;72.69
;;;;;104;46.17;25.11;;72.51
;;;;;105;59.9;11.35;;72.33
;;;;;106;60.81;7.82;;72.22
;;;;;107;72.07;13.41;;72.26
;;;;;108;72.94;13.89;;72.56
;;;;;109;46.86;8.47;;72.9
;;;;;110;38.76;8.78;;72.29
;;;;;111;44.08;19.85;;68.81
;;;;;112;36.77;61.66;;60.91
;;;;;113;27.77;74.08;;49.06
;;;;;114;23.54;48.02;;35.08
;;;;;115;38.73;20.38;;20.61
;;;;;116;59.34;13.97;;7.57
;;;;;117;76.59;10.56;;-2.9
;;;;;118;80.41;12.55;;-11.46
;;;;;119;86.55;13.55;;-18.66
;;;;;120;78.03;10.51;;-24.29
;;;;;121;52.67;36.67;;-27.32
;;;;;122;41.2;42.62;;-27.52
;;;;;123;23.06;36.95;;-26.1
;;;;;124;18.17;35.42;;-23.91
;;;;;125;19.36;35.41;;-21.65
;;;;;126;76.37;30.51;;-21.89
;;;;;127;96.49;15.31;;-24.87
;;;;;128;105.3;23.06;;-26.9
;;;;;129;112.27;21.95;;-24.48
;;;;;130;77.62;13.32;;-16.36
;;;;;131;43;9.21;;-4.22
;;;;;132;39.6;6.72;;10.62
;;;;;133;34.13;6.7;;26.47
;;;;;134;30.95;10.02;;40.83
;;;;;135;28.27;10.27;;52.74
;;;;;136;28.32;6.54;;62.1
;;;;;137;24.9;5.57;;69.18
;;;;;138;23.5;5.26;;74.88
;;;;;139;25.71;5.09;;80.61
;;;;;140;28.61;5.12;;86.81
;;;;;;141;;;92.46
;;;;;;142;;;96.22
;;;;;;143;;;97.11
;;;;;;144;;;95.48
;;;;;;145;;;93
;;;;;;146;;;91.14
;;;;;;147;;;90.03
;;;;;;148;;;89.2
;;;;;;149;;;88.44
;;;;;;150;;;87.73
;;;;;;151;;;87.17
;;;;;;152;;;86.83
;;;;;;153;;;86.74
;;;;;;154;;;86.95
;;;;;;155;;;87.1
;;;;;;156;;;86.54
;;;;;;157;;;84.34
;;;;;;158;;;79.56
;;;;;;159;;;73.02
;;;;;;160;;;67.12
;;;;;;161;;;63.12
;;;;;;162;;;60.29
;;;;;;163;;;57.75
;;;;;;164;;;54.75
;;;;;;165;;;50.5
;;;;;;166;;;44.9
;;;;;;167;;;37.74
;;;;;;168;;;28.26
;;;;;;169;;;16.38
;;;;;;170;;;2.94
;;;;;;171;;;-10.17
;;;;;;172;;;-23.28
;;;;;;173;;;-38.11
;;;;;;174;;;-49.98
;;;;;;175;;;-54.65
;;;;;;176;;;-54.82
;;;;;;177;;;-53.06
;;;;;;178;;;-49.82
;;;;;;179;;;-45.72
;;;;;;180;;;-41.3
;;;;;;181;;;-36.78
;;;;;;182;;;-32.03
;;;;;;183;;;-26.7
;;;;;;184;;;-20.76
;;;;;;185;;;-14.59
;;;;;;186;;;-8.66
;;;;;;187;;;-2.96
;;;;;;188;;;2.92
;;;;;;189;;;9.14
;;;;;;190;;;15.53
;;;;;;191;;;22.23
;;;;;;192;;;30.11
;;;;;;193;;;39.09
;;;;;;194;;;48.08
;;;;;;195;;;56.44
;;;;;;196;;;64.12
;;;;;;197;;;71.18
;;;;;;198;;;77.61
;;;;;;199;;;83.51
;;;;;;200;;;88.92
;;;;;;201;;;93.1
;;;;;;202;;;95.55
;;;;;;203;;;97.06
;;;;;;204;;;98.56
;;;;;;205;;;101.19
;;;;;;206;;;105.4
;;;;;;207;;;108.44
;;;;;;208;;;107.52
;;;;;;209;;;104.57
;;;;;;210;;;102.31
;;;;;;211;;;100.23
;;;;;;212;;;97.48
;;;;;;213;;;94.63
;;;;;;214;;;91.93
;;;;;;215;;;88.39
;;;;;;216;;;82.46
;;;;;;217;;;72.79
;;;;;;218;;;57.59
;;;;;;219;;;37.81
;;;;;;220;;;17.71
;;;;;;221;;;-0.28
;;;;;;222;;;-15.96
;;;;;;223;;;-30.88
;;;;;;224;;;-46.09
;;;;;;225;;;-58.74
;;;;;;226;;;-65.72
;;;;;;227;;;-68.65
;;;;;;228;;;-70.53
;;;;;;229;;;-72.1
;;;;;;230;;;-72.78
;;;;;;231;;;-73.07
;;;;;;232;;;-73.05
;;;;;;233;;;-71.55
;;;;;;234;;;-68.23
;;;;;;235;;;-63.57
;;;;;;236;;;-57.82
;;;;;;237;;;-51.2
;;;;;;238;;;-44.21
;;;;;;239;;;-37.37
;;;;;;240;;;-30.96
;;;;;;241;;;-24.66
;;;;;;242;;;-17.33
;;;;;;243;;;-8.56
;;;;;;244;;;0.98
;;;;;;245;;;11.38
;;;;;;246;;;22.53
;;;;;;247;;;34.46
;;;;;;248;;;47.2
;;;;;;249;;;59.69
;;;;;;250;;;70.81
;;;;;;251;;;79.96
;;;;;;252;;;87.74
;;;;;;253;;;94.68
;;;;;;254;;;100.21
;;;;;;255;;;103.15
;;;;;;256;;;103.55
;;;;;;257;;;102.98
;;;;;;258;;;102.48
;;;;;;259;;;101.98
;;;;;;260;;;101.31
;;;;;;261;;;100.75
;;;;;;262;;;100.43
;;;;;;263;;;100.14
;;;;;;264;;;99.75
;;;;;;265;;;99.33
;;;;;;266;;;98.96
;;;;;;267;;;98.52
;;;;;;268;;;97.57
;;;;;;269;;;96.05
;;;;;;270;;;94.16
;;;;;;271;;;91.74
;;;;;;272;;;88.65
;;;;;;273;;;84.93
;;;;;;274;;;80.07
;;;;;;275;;;72.98
;;;;;;276;;;63.33
;;;;;;277;;;51.85
;;;;;;278;;;39.64
;;;;;;279;;;27.61
;;;;;;280;;;16.21
;;;;;;281;;;4.73
;;;;;;282;;;-9.01
