;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";76.19;305.93;5528.98;;0;21.19;5.4;0.05;66.89
"triceps_brachii_long_(right)";24.09;84.84;19046.88;;1;22.58;4.77;;66.79
;;;;;2;27.7;4.56;;66.63
;;;;;3;28.73;4.52;;66.44
;;;;;4;25.38;4.72;;66.28
;;;;;5;23.26;6.44;;66.23
;;;;;6;20.53;6.39;;66.29
;;;;;7;20.22;5.27;;66.43
;;;;;8;19.96;4.81;;66.57
;;;;;9;22.54;4.1;;66.56
;;;;;10;26.06;4.33;;66.4
;;;;;11;25.09;3.99;;66.22
;;;;;12;25.49;4.03;;66.17
;;;;;13;27.61;4.36;;66.26
;;;;;14;25.95;4.36;;66.35
;;;;;15;25.23;4.29;;66.36
;;;;;16;25.62;4.62;;66.25
;;;;;17;24.09;4.31;;66.01
;;;;;18;19.13;23.23;;65.75
;;;;;19;60.23;62.67;;65.72
;;;;;20;83.58;62.37;;65.92
;;;;;21;210.28;33.27;;66.2
;;;;;22;266.26;29.3;;66.42
;;;;;23;202.55;24.14;;66.54
;;;;;24;109.03;18.94;;66.58
;;;;;25;36.76;7.32;;66.58
;;;;;26;27.9;8.75;;66.58
;;;;;27;59.88;13.9;;66.56
;;;;;28;61.85;13.24;;66.52
;;;;;29;142.19;27.38;;66.49
;;;;;30;172.83;30.08;;66.54
;;;;;31;106.08;15.67;;66.62
;;;;;32;40.06;9.8;;66.68
;;;;;33;32.43;7.93;;66.7
;;;;;34;27;7.59;;66.68
;;;;;35;42.08;23.64;;66.67
;;;;;36;41.54;54.74;;66.65
;;;;;37;153.38;62.65;;66.62
;;;;;38;221.84;43.24;;66.56
;;;;;39;178.23;23.9;;66.47
;;;;;40;80.09;15.93;;66.4
;;;;;41;29.29;12.59;;66.36
;;;;;42;28.36;10.45;;66.35
;;;;;43;50.31;25.8;;66.33
;;;;;44;49.83;77.93;;66.31
;;;;;45;64.14;78.94;;66.29
;;;;;46;146.64;46.95;;66.3
;;;;;47;148.91;47.78;;66.33
;;;;;48;82.7;33.56;;66.35
;;;;;49;54.04;19.18;;66.34
;;;;;50;26.83;12.61;;66.32
;;;;;51;51.56;16.83;;66.3
;;;;;52;58.92;55.37;;66.27
