;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";80.16;265.21;5528.98;;0;33.46;7.65;0.05;75.76
"triceps_brachii_long_(right)";61.14;180.55;19046.88;;1;30.17;7.69;;76.06
;;;;;2;26.33;7.47;;76.08
;;;;;3;29.17;7.43;;75.94
;;;;;4;29.11;7.16;;75.78
;;;;;5;26.71;6.26;;75.68
;;;;;6;26.72;5.93;;75.63
;;;;;7;26.44;5.57;;75.56
;;;;;8;23.99;6.48;;75.38
;;;;;9;21.38;7.54;;75.19
;;;;;10;29.06;7.71;;75.17
;;;;;11;34.42;7.32;;75.26
;;;;;12;39.08;8.16;;75.32
;;;;;13;36.82;8.71;;75.33
;;;;;14;35.24;8.63;;75.37
;;;;;15;34.91;7.97;;75.49
;;;;;16;25.32;6.74;;75.58
;;;;;17;26.57;7.2;;75.57
;;;;;18;35.48;7.51;;75.53
;;;;;19;37.82;7.57;;75.56
;;;;;20;61.92;12.1;;75.67
;;;;;21;65.03;12.5;;75.78
;;;;;22;47.05;8.83;;75.8
;;;;;23;37.61;40.66;;75.78
;;;;;24;36.32;97.82;;75.81
;;;;;25;47.03;106.6;;75.86
;;;;;26;170.26;72.37;;75.87
;;;;;27;204.1;104.93;;75.86
;;;;;28;163.52;121.97;;75.86
;;;;;29;151.33;76.38;;75.84
;;;;;30;111.64;28.88;;75.79
;;;;;31;51.34;85.36;;75.78
;;;;;32;23.46;97.49;;75.79
;;;;;33;35.05;61.3;;75.76
;;;;;34;100.19;38.16;;75.71
;;;;;35;131.52;96.42;;75.68
;;;;;36;229.06;110.66;;75.62
;;;;;37;244.63;60.71;;75.55
;;;;;38;124.84;65.11;;75.5
;;;;;39;16.9;84.21;;75.44
;;;;;40;25.18;80.36;;75.34
;;;;;41;92.22;64;;75.24
;;;;;42;148.04;40.76;;75.16
;;;;;43;149.06;138.97;;75.11
;;;;;44;140.48;143.1;;75.11
;;;;;45;123.83;47.76;;75.16
;;;;;46;64.33;41.56;;75.25
;;;;;47;22.02;166.14;;75.35
;;;;;48;24.49;167.98;;75.42
;;;;;49;77.1;56.55;;75.46
;;;;;50;138.51;39.08;;75.45
