;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";76.13;168.69;5528.98;;0;22.33;19.46;0.05;70.79
"triceps_brachii_long_(right)";23.88;45.77;19046.88;;1;19.83;16.29;;70.43
;;;;;2;17.37;14.68;;70.16
;;;;;3;17.75;14.56;;69.97
;;;;;4;21.92;16.09;;69.7
;;;;;5;23.7;16.07;;69.28
;;;;;6;21.41;20.03;;68.8
;;;;;7;21.5;22.76;;68.34
;;;;;8;22.66;19.42;;67.96
;;;;;9;22.48;16.74;;67.81
;;;;;10;21.21;15.45;;67.91
;;;;;11;20.51;15.06;;68.19
;;;;;12;19.8;15.05;;68.56
;;;;;13;20.48;17.08;;68.98
;;;;;14;21.11;18.24;;69.42
;;;;;15;19.84;16.47;;69.8
;;;;;16;18.37;16.6;;69.99
;;;;;17;18.08;15.65;;69.91
;;;;;18;18.69;14.76;;69.54
;;;;;19;20.46;11.76;;68.92
;;;;;20;33.3;14.35;;68.18
;;;;;21;74.26;25.25;;67.5
;;;;;22;69.82;35.22;;67
;;;;;23;20.08;37.18;;66.73
;;;;;24;97.43;31.66;;66.59
;;;;;25;142.49;29.3;;66.42
;;;;;26;151.04;34.54;;66.19
;;;;;27;132.63;34.29;;65.98
;;;;;28;85.92;24.83;;65.94
;;;;;29;46.5;16.6;;66.14
;;;;;30;36.71;12.57;;66.51
;;;;;31;55.64;18.07;;66.95
;;;;;32;68.16;21.05;;67.33
;;;;;33;50;19.79;;67.46
;;;;;34;15.22;18.43;;67.27
;;;;;35;76.62;20.92;;66.92
;;;;;36;131.32;28.91;;66.66
;;;;;37;161.61;33;;66.7
;;;;;38;126.38;27.91;;67.07
;;;;;39;44.97;22.42;;67.59
;;;;;40;30.56;19.87;;68.03
;;;;;41;26.05;12.48;;68.3
;;;;;42;51.73;17.07;;68.47
;;;;;43;70.59;22.98;;68.52
;;;;;44;54.16;22.06;;68.42
;;;;;45;15.97;19.37;;68.24
;;;;;46;82.18;24.78;;68.12
;;;;;47;132.95;28.9;;68.14
;;;;;48;133.66;28.37;;68.24
;;;;;49;134.68;29.17;;68.42
;;;;;50;111.33;25.22;;68.61
;;;;;51;40.37;17.82;;68.76
;;;;;52;30.04;13.1;;68.87
;;;;;53;35.04;11.81;;68.91
;;;;;54;67.62;17.75;;68.96
;;;;;55;87.49;22.32;;69
;;;;;56;64.44;23.14;;69.06
;;;;;57;126.26;25.25;;69.2
;;;;;58;165.67;26.11;;69.38
;;;;;59;133.9;26.91;;69.52
;;;;;60;107.25;28.12;;69.55
;;;;;61;87.35;25.62;;69.48
;;;;;62;65.55;22.23;;69.37
;;;;;63;54.81;16.07;;69.16
;;;;;64;49.03;12.45;;68.9
;;;;;65;85.16;17.39;;68.71
;;;;;66;112.69;18.77;;68.6
;;;;;67;90.22;19.34;;68.54
;;;;;68;140.15;32.73;;68.54
;;;;;69;168.69;35.31;;68.66
;;;;;70;130.67;27.5;;68.82
;;;;;71;109.54;24.27;;68.93
;;;;;72;153.36;22.63;;68.98
;;;;;73;143.03;23.81;;69.04
;;;;;74;66.85;21.81;;69.11
;;;;;75;59.44;16.53;;69.11
;;;;;76;89.44;16.2;;69.02
;;;;;77;108.09;19.41;;68.85
;;;;;78;70.06;19.18;;68.61
;;;;;79;107.19;20.69;;68.43
;;;;;80;160.77;30.93;;68.34
;;;;;81;148.72;32.76;;68.32
;;;;;82;127.82;28.43;;68.34
;;;;;83;159.1;26.89;;68.33
;;;;;84;130.79;24.2;;68.26
;;;;;85;28.95;21.36;;68.17
;;;;;86;22.31;14.6;;68.21
;;;;;87;41.69;14.82;;68.37
;;;;;88;111.47;18.87;;68.5
;;;;;89;109.68;39.2;;68.5
;;;;;90;42.2;45.77;;68.45
;;;;;91;114.6;35.08;;68.42
