;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_lateral_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_lateral_(right)
;;;;;;156;;;84.04
;;;;;;157;;;81.62
;;;;;;158;;;78.95
;;;;;;159;;;75.83
;;;;;;160;;;72.13
;;;;;;161;;;67.59
;;;;;;162;;;61.91
;;;;;;163;;;55.05
;;;;;;164;;;47.15
;;;;;;165;;;38.7
;;;;;;166;;;30.41
;;;;;;167;;;22.38
;;;;;;168;;;14.81
;;;;;;169;;;7.63
;;;;;;170;;;0.78
;;;;;;171;;;-5.72
;;;;;;172;;;-12.1
;;;;;;173;;;-18.54
;;;;;;174;;;-24.97
;;;;;;175;;;-30.35
;;;;;;176;;;-33.46
;;;;;;177;;;-34.4
;;;;;;178;;;-34.12
;;;;;;179;;;-32.77
;;;;;;180;;;-30.33
;;;;;;181;;;-26.94
;;;;;;182;;;-22.4
;;;;;;183;;;-16.94
;;;;;;184;;;-11.81
;;;;;;185;;;-7.16
;;;;;;186;;;-2.09
;;;;;;187;;;3.55
;;;;;;188;;;9.5
;;;;;;189;;;15.89
;;;;;;190;;;22.74
;;;;;;191;;;29.92
;;;;;;192;;;37.1
;;;;;;193;;;44.04
;;;;;;194;;;50.48
;;;;;;195;;;56.22
;;;;;;196;;;61.33
;;;;;;197;;;65.86
;;;;;;198;;;69.96
;;;;;;199;;;73.92
;;;;;;200;;;78.1
;;;;;;201;;;82.22
;;;;;;202;;;86.02
;;;;;;203;;;89.66
;;;;;;204;;;92.73
;;;;;;205;;;94.38
;;;;;;206;;;94.25
;;;;;;207;;;92.33
;;;;;;208;;;89.13
;;;;;;209;;;85.36
;;;;;;210;;;81.12
;;;;;;211;;;76.36
;;;;;;212;;;71.22
;;;;;;213;;;65.57
;;;;;;214;;;59.3
;;;;;;215;;;52.19
;;;;;;216;;;44.42
;;;;;;217;;;36.35
;;;;;;218;;;28.76
;;;;;;219;;;22.02
;;;;;;220;;;15.49
;;;;;;221;;;9.2
;;;;;;222;;;2.54
;;;;;;223;;;-4.26
;;;;;;224;;;-10.57
;;;;;;225;;;-16.39
;;;;;;226;;;-21.79
;;;;;;227;;;-26.74
;;;;;;228;;;-30.41
;;;;;;229;;;-32.52
;;;;;;230;;;-33.3
;;;;;;231;;;-32.81
;;;;;;232;;;-31.19
;;;;;;233;;;-28.68
;;;;;;234;;;-25.26
;;;;;;235;;;-20.72
;;;;;;236;;;-15.31
;;;;;;237;;;-10.19
;;;;;;238;;;-5.42
;;;;;;239;;;-0.3
;;;;;;240;;;5.01
;;;;;;241;;;10.46
;;;;;;242;;;16.08
;;;;;;243;;;21.96
;;;;;;244;;;27.88
;;;;;;245;;;33.69
;;;;;;246;;;39.31
;;;;;;247;;;44.62
;;;;;;248;;;49.7
;;;;;;249;;;54.44
;;;;;;250;;;58.85
;;;;;;251;;;62.94
;;;;;;252;;;66.52
;;;;;;253;;;69.44
;;;;;;254;;;71.88
;;;;;;255;;;74.17
;;;;;;256;;;76.32
;;;;;;257;;;78.44
;;;;;;258;;;80.56
;;;;;;259;;;82.52
;;;;;;260;;;84.53
;;;;;;261;;;86.41
;;;;;;262;;;87.64
;;;;;;263;;;87.91
;;;;;;264;;;87.21
;;;;;;265;;;85.69
;;;;;;266;;;83.34
;;;;;;267;;;80.24
;;;;;;268;;;76.59
;;;;;;269;;;72.58
;;;;;;270;;;68.29
;;;;;;271;;;63.62
;;;;;;272;;;58.57
;;;;;;273;;;52.88
;;;;;;274;;;46.3
;;;;;;275;;;39.32
;;;;;;276;;;32.43
;;;;;;277;;;25.76
;;;;;;278;;;19.13
;;;;;;279;;;12.47
;;;;;;280;;;5.5
;;;;;;281;;;-0.97
;;;;;;282;;;-6.47
;;;;;;283;;;-11.74
;;;;;;284;;;-16.94
;;;;;;285;;;-21.97
;;;;;;286;;;-26.32
;;;;;;287;;;-29.55
;;;;;;288;;;-31.45
;;;;;;289;;;-31.86
;;;;;;290;;;-30.95
;;;;;;291;;;-28.99
;;;;;;292;;;-25.8
;;;;;;293;;;-21.08
;;;;;;294;;;-15.36
;;;;;;295;;;-9.76
;;;;;;296;;;-4.33
;;;;;;297;;;1.67
;;;;;;298;;;8.51
;;;;;;299;;;15.95
;;;;;;300;;;23.64
;;;;;;301;;;31.17
;;;;;;302;;;38.3
;;;;;;303;;;44.74
;;;;;;304;;;50.33
;;;;;;305;;;55.31
;;;;;;306;;;59.85
;;;;;;307;;;64.06
;;;;;;308;;;67.89
;;;;;;309;;;71.13
;;;;;;310;;;73.83
;;;;;;311;;;76.14
;;;;;;312;;;78.38
;;;;;;313;;;80.63
;;;;;;314;;;82.72
;;;;;;315;;;84.84
;;;;;;316;;;87.11
;;;;;;317;;;89.19
;;;;;;318;;;90.56
;;;;;;319;;;90.67
;;;;;;320;;;89.34
;;;;;;321;;;86.93
;;;;;;322;;;83.7
;;;;;;323;;;79.75
;;;;;;324;;;75.44
;;;;;;325;;;71.02
;;;;;;326;;;66.27
;;;;;;327;;;60.67
;;;;;;328;;;54.16
;;;;;;329;;;47.07
;;;;;;330;;;39.9
;;;;;;331;;;32.93
;;;;;;332;;;26.04
;;;;;;333;;;20
;;;;;;334;;;15.05
;;;;;;335;;;10.67
;;;;;;336;;;6.77
;;;;;;337;;;2.64
;;;;;;338;;;-2.2
;;;;;;339;;;-8.08
;;;;;;340;;;-14.99
;;;;;;341;;;-21.79
;;;;;;342;;;-27.05
;;;;;;343;;;-30.08
;;;;;;344;;;-31.11
;;;;;;345;;;-30.73
;;;;;;346;;;-29.27
;;;;;;347;;;-26.99
;;;;;;348;;;-24.15
;;;;;;349;;;-20.93
;;;;;;350;;;-17.39
;;;;;;351;;;-13.75
;;;;;;352;;;-10.43
;;;;;;353;;;-7.48
;;;;;;354;;;-4.56
;;;;;;355;;;-1.6
;;;;;;356;;;1.48
;;;;;;357;;;4.77
;;;;;;358;;;8.25
;;;;;;359;;;11.99
;;;;;;360;;;16.01
;;;;;;361;;;20.5
;;;;;;362;;;25.52
;;;;;;363;;;30.99
;;;;;;364;;;36.7
;;;;;;365;;;42.14
;;;;;;366;;;47.15
;;;;;;367;;;51.97
;;;;;;368;;;56.47
;;;;;;369;;;60.56
;;;;;;370;;;64.42
;;;;;;371;;;67.96
;;;;;;372;;;71.13
;;;;;;373;;;74.48
;;;;;;374;;;78.31
;;;;;;375;;;82.25
;;;;;;376;;;85.84
;;;;;;377;;;88.47
;;;;;;378;;;89.62
;;;;;;379;;;89.2
;;;;;;380;;;87.45
;;;;;;381;;;84.9
;;;;;;382;;;81.9
;;;;;;383;;;78.43
;;;;;;384;;;74.62
;;;;;;385;;;70.77
;;;;;;386;;;66.77
;;;;;;387;;;62.44
;;;;;;388;;;57.48
;;;;;;389;;;51.59
;;;;;;390;;;44.95
;;;;;;391;;;38.03
;;;;;;392;;;31.29
;;;;;;393;;;24.66
;;;;;;394;;;18.03
;;;;;;395;;;11.21
;;;;;;396;;;4.21
;;;;;;397;;;-2.34
;;;;;;398;;;-8.05
;;;;;;399;;;-13.13
;;;;;;400;;;-17.96
;;;;;;401;;;-22.53
;;;;;;402;;;-26.49
;;;;;;403;;;-29.05
;;;;;;404;;;-29.98
;;;;;;405;;;-29.92
;;;;;;406;;;-28.97
;;;;;;407;;;-26.97
;;;;;;408;;;-23.85
;;;;;;409;;;-19.43
;;;;;;410;;;-14.23
;;;;;;411;;;-9.61
;;;;;;412;;;-5.53
;;;;;;413;;;-1.02
;;;;;;414;;;3.93
;;;;;;415;;;9.19
;;;;;;416;;;14.68
;;;;;;417;;;20.35
;;;;;;418;;;26.27
;;;;;;419;;;32.22
;;;;;;420;;;38.15
;;;;;;421;;;44.17
;;;;;;422;;;50.1
;;;;;;423;;;55.71
;;;;;;424;;;60.82
;;;;;;425;;;65.46
;;;;;;426;;;69.67
;;;;;;427;;;73.12
;;;;;;428;;;75.83
;;;;;;429;;;78.3
;;;;;;430;;;80.66
;;;;;;431;;;82.75
;;;;;;432;;;84.56
;;;;;;433;;;85.99
;;;;;;434;;;86.75
;;;;;;435;;;86.61
;;;;;;436;;;85.5
;;;;;;437;;;83.27
;;;;;;438;;;79.92
;;;;;;439;;;75.89
;;;;;;440;;;71.4
;;;;;;441;;;66.26
;;;;;;442;;;60.27
;;;;;;443;;;53.46
;;;;;;444;;;46.44
;;;;;;445;;;39.37
;;;;;;446;;;32.45
;;;;;;447;;;25.86
;;;;;;448;;;19.29
;;;;;;449;;;12.85
;;;;;;450;;;6.77
;;;;;;451;;;1.34
;;;;;;452;;;-3.67
;;;;;;453;;;-8.86
;;;;;;454;;;-14.3
;;;;;;455;;;-19.47
;;;;;;456;;;-23.73
;;;;;;457;;;-26.38
;;;;;;458;;;-27.68
;;;;;;459;;;-28.57
;;;;;;460;;;-29.15
;;;;;;461;;;-28.74
;;;;;;462;;;-27.23
;;;;;;463;;;-25.03
;;;;;;464;;;-22.47
;;;;;;465;;;-19.69
;;;;;;466;;;-16.77
;;;;;;467;;;-13.68
;;;;;;468;;;-10.23
;;;;;;469;;;-5.79
;;;;;;470;;;-0.03
;;;;;;471;;;6.56
;;;;;;472;;;13.37
;;;;;;473;;;20.1
;;;;;;474;;;26.75
;;;;;;475;;;33.09
;;;;;;476;;;39.06
;;;;;;477;;;44.48
;;;;;;478;;;48.94
;;;;;;479;;;52.49
;;;;;;480;;;55.46
;;;;;;481;;;58.2
;;;;;;482;;;60.89
;;;;;;483;;;63.62
;;;;;;484;;;66.16
;;;;;;485;;;68.4
;;;;;;486;;;70.55
;;;;;;487;;;72.75
;;;;;;488;;;74.93
;;;;;;489;;;77.01
;;;;;;490;;;78.99
;;;;;;491;;;80.85
;;;;;;492;;;82.38
;;;;;;493;;;82.79
;;;;;;494;;;81.48
;;;;;;495;;;78.53
;;;;;;496;;;74.58
;;;;;;497;;;70.01
;;;;;;498;;;64.66
;;;;;;499;;;58.36
;;;;;;500;;;51.03
;;;;;;501;;;43.12
;;;;;;502;;;35.64
;;;;;;503;;;28.55
;;;;;;504;;;21.08
;;;;;;505;;;13.62
;;;;;;506;;;6.48
;;;;;;507;;;-0.23
;;;;;;508;;;-6.55
;;;;;;509;;;-12.6
;;;;;;510;;;-18.14
;;;;;;511;;;-23.19
;;;;;;512;;;-27.28
;;;;;;513;;;-29.63
;;;;;;514;;;-30.48
;;;;;;515;;;-30.82
;;;;;;516;;;-31.02
;;;;;;517;;;-30.69
;;;;;;518;;;-29.48
;;;;;;519;;;-27.45
;;;;;;520;;;-24.64
;;;;;;521;;;-20.9
;;;;;;522;;;-16.55
;;;;;;523;;;-12.35
;;;;;;524;;;-8.34
;;;;;;525;;;-3.86
;;;;;;526;;;1.53
;;;;;;527;;;7.64
;;;;;;528;;;14.11
;;;;;;529;;;20.78
;;;;;;530;;;27.6
;;;;;;531;;;34.18
;;;;;;532;;;40.31
;;;;;;533;;;46.29
;;;;;;534;;;51.98
;;;;;;535;;;57.08
;;;;;;536;;;61.63
;;;;;;537;;;65.87
;;;;;;538;;;69.78
;;;;;;539;;;73.04
;;;;;;540;;;75.68
;;;;;;541;;;77.66
;;;;;;542;;;79.3
;;;;;;543;;;81.15
;;;;;;544;;;83.09
;;;;;;545;;;84.95
;;;;;;546;;;86.5
;;;;;;547;;;87.27
;;;;;;548;;;86.89
;;;;;;549;;;84.97
;;;;;;550;;;81.58
;;;;;;551;;;77.44
;;;;;;552;;;72.91
;;;;;;553;;;67.73
;;;;;;554;;;61.59
;;;;;;555;;;54.49
;;;;;;556;;;46.2
;;;;;;557;;;37.52
;;;;;;558;;;30.28
;;;;;;559;;;24.43
;;;;;;560;;;18.92
;;;;;;561;;;13.48
;;;;;;562;;;8.25
;;;;;;563;;;3.16
;;;;;;564;;;-2.39
;;;;;;565;;;-7.96
;;;;;;566;;;-12.3
;;;;;;567;;;-15.32
;;;;;;568;;;-17.41
;;;;;;569;;;-18.81
;;;;;;570;;;-19.96
;;;;;;571;;;-21.35
;;;;;;572;;;-22.69
;;;;;;573;;;-23.41
;;;;;;574;;;-23.29
;;;;;;575;;;-22.39
;;;;;;576;;;-20.73
;;;;;;577;;;-18.36
;;;;;;578;;;-15.74
;;;;;;579;;;-13.16
;;;;;;580;;;-10.16
;;;;;;581;;;-6.78
;;;;;;582;;;-3.27
;;;;;;583;;;0.61
;;;;;;584;;;4.95
;;;;;;585;;;9.73
;;;;;;586;;;15.14
;;;;;;587;;;21.35
;;;;;;588;;;27.96
;;;;;;589;;;34.61
;;;;;;590;;;41.03
;;;;;;591;;;46.98
;;;;;;592;;;52.37
;;;;;;593;;;57.21
;;;;;;594;;;61.73
;;;;;;595;;;65.92
;;;;;;596;;;69.76
;;;;;;597;;;73.67
;;;;;;598;;;77.81
;;;;;;599;;;82.05
;;;;;;600;;;86.64
;;;;;;601;;;91.29
;;;;;;602;;;94.73
;;;;;;603;;;95.8
;;;;;;604;;;94.38
;;;;;;605;;;90.92
;;;;;;606;;;86.24
;;;;;;607;;;80.94
;;;;;;608;;;75.11
;;;;;;609;;;68.99
;;;;;;610;;;62.49
;;;;;;611;;;55.05
;;;;;;612;;;46.39
;;;;;;613;;;37.47
;;;;;;614;;;29.19
;;;;;;615;;;21.82
;;;;;;616;;;15.23
;;;;;;617;;;9.44
;;;;;;618;;;4.55
;;;;;;619;;;0.13
;;;;;;620;;;-3.89
;;;;;;621;;;-7.57
;;;;;;622;;;-11.11
;;;;;;623;;;-14.42
;;;;;;624;;;-17.41
;;;;;;625;;;-20.46
;;;;;;626;;;-23.51
;;;;;;627;;;-25.8
;;;;;;628;;;-26.82
;;;;;;629;;;-26.62
;;;;;;630;;;-25.54
;;;;;;631;;;-23.74
;;;;;;632;;;-21.35
;;;;;;633;;;-18.4
;;;;;;634;;;-15.06
;;;;;;635;;;-11.8
;;;;;;636;;;-8.58
;;;;;;637;;;-5.19
;;;;;;638;;;-1.59
;;;;;;639;;;2.46
;;;;;;640;;;7.04
;;;;;;641;;;11.75
;;;;;;642;;;16.67
;;;;;;643;;;22.17
;;;;;;644;;;27.87
;;;;;;645;;;33.44
;;;;;;646;;;38.69
;;;;;;647;;;43.47
;;;;;;648;;;47.86
;;;;;;649;;;51.92
;;;;;;650;;;55.81
;;;;;;651;;;59.77
;;;;;;652;;;63.76
;;;;;;653;;;67.56
;;;;;;654;;;71.23
;;;;;;655;;;74.85
;;;;;;656;;;78.61
;;;;;;657;;;82.78
;;;;;;658;;;87.43
;;;;;;659;;;92.86
;;;;;;660;;;98.48
;;;;;;661;;;102.32
;;;;;;662;;;103.63
;;;;;;663;;;103.27
;;;;;;664;;;102.28
;;;;;;665;;;101.42
;;;;;;666;;;100.91
;;;;;;667;;;100.64
;;;;;;668;;;100.43
;;;;;;669;;;100.13
;;;;;;670;;;99.82
;;;;;;671;;;99.53
;;;;;;672;;;99.27
;;;;;;673;;;99.05
;;;;;;674;;;98.82
;;;;;;675;;;98.55
;;;;;;676;;;98.35
;;;;;;677;;;98.3
;;;;;;678;;;98.29
;;;;;;679;;;98.23
;;;;;;680;;;98.14
;;;;;;681;;;98.01
;;;;;;682;;;97.86
;;;;;;683;;;97.72
;;;;;;684;;;97.63
;;;;;;685;;;97.6
